"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Adam Scott","6","70","70","69","69","278","-14","198750","11","12","9","6","44","24","287.8","3","54","21","29.5","118","6","0","-3","-11","1","19","45","7","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Adam Scott","8","67","66","71","66","270","-10","119000","12","5","27","8","26","47","315.5","3","50","16","28.3","113","27","1","-5","-6","0","16","50","6","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Adam Scott","12","68","69","70","69","276","-4","94800","22","23","35","12","34","33","300.4","5","51","6","28.8","115","39","5","-3","-6","0","19","42","7","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Adam Scott","25","75","73","72","73","293","5","76000","42","21","21","25","28","24","290.9","44","43","21","28.5","114","23","6","5","-6","1","12","45","9","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Adam Scott","3","62","68","71","76","277","-11","421600","1","1","1","3","42","9","298.6","14","48","34","28.8","115","20","4","-3","-12","2","19","39","12","60"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Adam Scott","14","69","72","76","72","289","1","148500","2","3","16","14","33","42","298.4","6","48","8","30.5","122","42","3","4","-6","0","15","43","12","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Adam Scott","38","77","67","69","73","286","-2","38000","133","64","28","38","34","53","298.3","6","48","28","28.8","115","47","4","-1","-5","0","18","41","10","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Adam Scott","1","71","68","66","66","271","-9","1152000","64","36","11","1","37","8","290.3","52","52","10","28.8","115","28","-5","-1","-3","0","17","48","6","100"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Adam Scott","4","69","70","68","71","278","-10","272800","11","10","4","4","45","6","307.9","16","48","22","27","108","15","4","-3","-11","1","20","41","8","40"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Adam Scott","9","73","67","73","69","282","2","211715","68","14","16","9","36","54","301.6","9","44","24","29.5","118","20","4","1","-3","0","10","50","12","30"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Adam Scott","5","68","73","69","66","276","-12","359639","3","15","7","5","40","5","315.4","3","57","1","29.5","118","41","-3","0","-9","1","20","43","6","40"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Adam Scott","8","69","68","65","71","273","-7","170000","14","12","4","8","29","33","314","10","41","42","25.5","102","1","0","-3","-4","0","16","47","9","30"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Adam Scott","15","71","69","66","69","275","-9","127889","54","26","13","15","28","72","304.3","4","50","14","28.5","114","35","-3","0","-6","0","16","49","7","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Adam Scott","15","69","65","75","68","277","-7","132000","32","1","23","15","33","51","297.6","3","51","12","29","116","43","0","-5","-2","1","16","45","9","20"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Adam Scott","16","73","68","68","67","276","-8","112229","65","33","27","16","36","46","313.3","3","55","1","30.3","121","68","1","-1","-8","1","15","47","9","20"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Adam Scott","8","71","66","69","66","272","-8","232000","29","8","10","8","31","40","319.6","6","53","7","29.3","117","34","3","-8","-3","0","20","41","10","30"
"2014","14-Sep-14","40434","Tour Championship","","East Lake G.C.","7307","70","Tour Championship","Adam Scott","9","69","72","65","70","276","-4","231667","11","16","10","9","32","9","305.8","3","49","7","28.8","115","16","2","0","-6","0","20","39","10","30"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Adam Scott","12","70","72","71","70","283","-5","108000","8","15","15","12","31","5","0","0","41","6","22.5","90","54","-1","-2","-2","1","16","46","7","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Adam Scott","4","70","68","75","71","284","-4","365000","8","3","8","4","26","54","311","8","51","3","28.5","114","24","0","3","-7","0","17","44","9","40"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Adam Scott","35","68","73","69","72","282","-6","29098","7","40","29","35","36","61","308.4","1","57","3","32","128","69","5","0","-11","1","15","47","7","10"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Adam Scott","38","72","69","74","74","289","1","40000","31","12","25","38","37","25","308.5","8","44","44","29.3","117","23","7","3","-9","1","14","45","9","10"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Adam Scott","38","72","69","69","75","285","-3","44000","60","27","17","38","41","8","306.4","5","51","10","30","120","66","-1","3","-5","0","19","40","10","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Adam Scott","24","72","66","66","70","274","-6","57200","86","25","10","24","34","30","293.3","6","55","9","29.8","119","50","2","-3","-5","0","15","49","7","20"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Adam Scott","4","70","71","72","64","277","-3","407037","26","21","19","4","42","29","336.9","1","55","5","31.5","126","15","3","-2","-4","0","14","47","11","40"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Adam Scott","10","70","67","70","71","278","-10","216143","24","4","6","10","50","18","313","6","61","5","32.3","129","73","-2","-5","-3","0","19","45","7","30"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Adam Scott","45","72","69","71","73","285","5","55000","44","26","33","45","22","59","332.5","10","36","58","26.8","107","7","-1","8","-2","0","12","45","13","10"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Adam Scott","63","67","69","71","71","278","-2","11502","35","42","59","63","32","51","309.3","4","48","61","30","120","38","3","2","-7","2","14","41","14","5"
"2016","1-Nov-15","40847","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Adam Scott","2","68","66","66","63","263","-25","756000","16","9","8","2","45","2","0","0","59","9","28","112","10","-3","-8","-14","3","24","40","5","75"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Adam Scott","70","75","76","72","70","293","5","42000","75","77","72","70","20","77","0","0","45","61","29.8","119","53","2","6","-3","1","15","39","12","5"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Adam Scott","56","68","68","68","69","273","-7","12818","52","47","52","56","30","44","318.8","5","52","33","29.3","117","54","-3","3","-7","0","16","48","7","5"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Adam Scott","2","68","68","67","67","270","-14","598400","12","7","5","2","27","55","301.1","8","52","6","28.3","113","25","-1","-4","-9","1","21","42","7","75"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Adam Scott","1","70","65","66","70","271","-9","1098000","23","4","1","1","39","10","305.9","7","55","1","29.5","118","49","1","-4","-6","1","17","47","6","100"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Adam Scott","1","68","66","73","69","276","-12","1620000","4","1","2","1","28","42","304.5","16","53","3","28.8","115","20","-1","-1","-10","1","22","39","8","100"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Adam Scott","12","67","73","70","69","279","-9","123480","2","25","18","12","38","44","303.9","9","50","10","27.8","111","26","-4","2","-7","1","18","46","4","20"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Adam Scott","42","76","72","75","76","299","11","37000","59","42","34","42","30","57","296.3","3","37","52","30","120","22","6","7","-2","0","10","41","21","10"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Adam Scott","17","73","70","72","71","286","-2","95526","75","35","19","17","27","49","299.1","10","51","3","30.3","121","69","2","1","-5","0","17","42","11","20"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Adam Scott","12","73","65","75","68","281","-7","212625","103","20","23","12","32","55","297.6","20","48","36","28.3","113","16","-1","2","-8","1","18","44","7","20"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Adam Scott","55","72","69","71","70","282","2","15008","74","57","63","55","35","18","304","6","49","32","30","120","54","3","2","-3","0","14","43","14","5"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Adam Scott","18","71","69","72","74","286","6","120978","18","11","12","18","27","63","283.8","42","47","22","30.8","123","44","1","3","2","0","10","47","14","20"
"2016","3-Jul-16","41092","WGC - Bridgestone Invitational","WGC-Bridgestone Invitational","Firestone C.C. (South)","","70","WGC - Bridgestone Invitational","Adam Scott","10","71","68","73","68","280","0","167750","26","6","18","10","23","36","323","13","44","9","28.8","115","38","1","3","-4","0","12","48","12","30"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Adam Scott","43","69","73","76","71","289","5","31322","22","27","50","43","33","52","300.4","8","50","7","31.3","125","79","0","8","-3","0","10","50","9","10"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Adam Scott","18","70","67","69","69","275","-5","121000","36","13","14","18","34","43","312.5","1","53","29","30.3","121","39","3","-7","-1","1","11","52","8","20"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Adam Scott","4","69","72","65","71","277","-7","351333","11","26","3","4","25","76","301.6","22","54","2","30.5","122","62","2","-4","-5","1","16","44","11","40"
"2016","5-Sep-16","41156","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7297","71","Deutsche Bank Championship","Adam Scott","4","67","71","70","65","273","-11","408000","7","30","23","4","35","51","310.5","3","57","3","29.5","118","49","-2","-5","-4","0","18","47","7","40"
"2016","11-Sep-16","41162","BMW Championship","","Crooked Stick G.C.","7567","72","BMW Championship","Adam Scott","4","69","69","67","71","276","-12","323850","16","10","5","4","34","40","309","16","58","1","29.8","119","52","-3","-5","-4","1","15","51","5","40"
"2016","25-Sep-16","41176","Tour Championship","","East Lake G.C.","7385","70","Tour Championship","Adam Scott","8","69","71","71","65","276","-4","263500","11","11","14","8","29","14","305.9","10","54","3","30","120","25","-4","5","-5","1","16","45","7","30"
"2017","23-Oct-16","41204","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Adam Scott","10","70","69","66","70","275","-13","150000","26","24","9","10","40","18","0","0","55","19","29","116","31","0","-2","-11","0","22","41","9","30"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Adam Scott","14","69","80","64","66","279","-9","118500","14","61","26","14","34","29","0","0","51","17","28.5","114","19","-1","-4","-4","1","21","38","10","20"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Adam Scott","11","68","69","68","70","275","-9","154000","19","11","5","11","26","64","298.9","8","49","7","28.5","114","48","-1","-1","-7","0","14","53","5","20"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Adam Scott","14","68","69","71","68","276","-4","102400","24","17","39","14","29","60","305.9","8","45","35","27.8","111","17","2","-2","-4","0","16","46","8","20"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Adam Scott","45","73","76","68","68","285","1","59000","47","68","53","45","35","34","307.9","14","42","53","28.8","115","33","-1","7","-5","0","15","42","14","10"
"2017","9-Apr-17","41372","Masters","","Augusta National G.C.","7435","72","Masters","Adam Scott","9","75","69","69","73","286","-2","308000","41","10","7","9","36","27","0","0","53","4","31","124","43","-4","6","-4","0","16","43","12","30"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Adam Scott","36","71","74","72","70","287","-1","34563","31","56","55","36","28","62","300.5","10","46","26","29","116","43","-1","0","0","0","14","46","11","10"
"2017","14-May-17","41407","The Players Championship","","TPC Sawgrass","7189","72","The Players Championship","Adam Scott","6","70","72","71","70","283","-5","339938","18","23","13","6","36","35","294.8","11","49","11","28.8","115","17","1","-3","-3","0","17","45","8","30"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Adam Scott","31","76","66","71","74","287","-1","52744","82","24","27","31","28","74","304.9","14","42","51","27.8","111","19","1","2","-4","1","15","42","12","10"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Adam Scott","10","71","64","71","68","274","-6","143200","65","11","22","10","30","41","304.4","15","51","7","29.8","119","68","-4","3","-5","1","14","48","8","30"
"2017","23-Jul-17","41477","British Open","","Royal Birkdale G.C.","7156","70","British Open","Adam Scott","22","69","74","70","67","280","0","88000","26","35","43","22","28","27","316.1","4","48","11","30.3","121","59","1","2","-3","0","9","54","9","20"
"2017","6-Aug-17","41491","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Adam Scott","13","68","71","69","68","276","-4","123500","9","13","16","13","25","49","315.9","33","44","31","28.5","114","33","0","1","-5","0","17","42","13","20"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Adam Scott","61","71","76","74","71","292","8","21300","25","70","68","61","31","52","320.1","5","43","30","29.8","119","49","-1","13","-4","0","12","44","12","5"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","Adam Scott","25","72","75","70","71","288","0","81400","51","56","28","25","41","32","0","0","52","27","31.8","127","46","1","2","-3","0","13","47","11","20"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Adam Scott","50","72","72","74","74","292","4","51875","48","49","49","50","27","66","0","0","53","11","32.8","131","77","1","8","-5","0","13","44","14","10"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Adam Scott","53","72","72","71","71","286","2","16437","61","64","54","53","25","62","304.3","20","49","3","30.3","121","74","2","4","-4","1","10","48","12","5"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Adam Scott","13","73","72","67","69","281","1","123750","69","59","21","13","31","60","305.3","12","47","14","28.8","115","31","4","3","-6","0","17","41","11","20"
"2018","11-Mar-18","41708","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Adam Scott","16","70","73","66","72","281","-3","77296","8","38","11","16","31","16","311.8","8","50","2","29.5","118","69","1","3","-7","0","15","46","10","20"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Adam Scott","41","73","70","72","71","286","-2","30305","69","38","51","41","38","35","308.6","3","48","33","29.5","118","53","5","-3","-4","1","14","45","10","10"
