"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Andrew Loupe","27","63","73","76","73","285","-2","46860","1","3","18","27","39","21","282.9","19","47","33","29","116","22","4","-1","-5","0","16","43","12","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Andrew Loupe","12","70","70","65","69","274","-14","77000","32","33","10","12","28","71","307.8","4","55","12","28.3","113","20","-2","-3","-9","1","19","46","5","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Andrew Loupe","4","67","70","70","75","282","-6","272800","1","2","2","4","28","56","301.5","7","43","21","26.8","107","11","0","-2","-4","0","19","41","11","40"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Andrew Loupe","48","70","73","72","71","286","2","15335","20","37","50","48","42","3","274.5","35","38","67","27","108","16","3","-1","0","0","12","47","12","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Andrew Loupe","52","71","70","71","73","285","-3","15477","54","47","59","52","26","74","314.5","1","47","57","28.3","113","25","3","-1","-5","0","16","45","9","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Andrew Loupe","45","75","65","68","71","279","-1","18304","113","47","37","45","20","75","319.3","1","46","46","28.3","113","18","1","1","-3","1","16","41","12","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Andrew Loupe","39","74","70","69","76","289","5","25350","83","50","21","39","23","74","329.8","1","50","8","31","124","68","5","-2","2","0","14","39","19","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Andrew Loupe","26","69","69","67","70","275","-5","44236","53","35","19","26","29","72","305","16","47","54","28.3","113","17","4","-1","-8","1","18","39","13","10"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Andrew Loupe","24","65","68","70","68","271","-9","41009","4","16","26","24","30","65","325","2","58","5","30.3","121","62","3","-8","-4","0","17","48","6","20"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Andrew Loupe","41","71","69","67","68","275","-5","19600","78","67","48","41","37","51","297.8","4","55","29","29.8","119","27","-3","1","-3","0","17","45","8","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Andrew Loupe","69","72","69","76","73","290","2","7960","70","35","71","69","24","63","295.8","9","49","53","30","120","48","3","-3","2","0","15","42","13","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Andrew Loupe","60","71","66","70","75","282","-5","14892","88","31","40","60","27","64","319.3","3","48","53","29.3","117","41","1","1","-7","1","13","48","10","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Andrew Loupe","46","69","65","69","70","273","-4","18460","33","19","40","46","26","66","294.5","20","48","36","29","116","44","3","0","-7","1","18","39","12","10"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Andrew Loupe","6","68","70","68","65","271","-13","122938","13","31","22","6","35","57","312.6","2","51","45","27","108","2","-1","-9","-3","1","21","41","8","30"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Andrew Loupe","10","68","72","63","74","277","-11","128571","13","29","2","10","26","61","306.5","17","55","9","29","116","43","-4","3","-10","0","23","38","10","30"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Andrew Loupe","10","66","71","70","67","274","-14","106600","6","18","19","10","29","54","296","6","55","25","28.3","113","8","-4","-3","-7","0","21","44","7","30"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Andrew Loupe","3","66","66","67","68","267","-21","301600","7","3","5","3","26","69","310.6","3","54","15","25.8","103","5","-4","-8","-9","1","26","40","3","60"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Andrew Loupe","49","66","75","75","78","294","6","15528","1","27","50","49","17","70","312.6","2","48","14","31.3","125","59","1","12","-7","2","13","36","19","10"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Andrew Loupe","41","68","72","72","73","285","-2","22652","23","34","36","41","34","55","294.5","27","48","25","28.5","114","38","1","7","-10","2","14","42","12","10"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Andrew Loupe","63","70","72","68","76","286","2","14416","39","62","41","63","25","65","306.1","1","40","66","28.5","114","32","3","6","-7","1","14","40","16","5"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Andrew Loupe","14","71","68","74","67","280","0","97600","40","14","43","14","26","71","307.6","6","46","22","27.8","111","10","-3","5","-2","0","17","41","12","20"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Andrew Loupe","46","67","72","78","69","286","-2","18496","10","12","67","46","25","70","315.3","1","41","70","27.8","111","8","3","5","-10","0","18","40","12","10"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Andrew Loupe","4","65","71","74","71","281","-7","287438","1","1","5","4","21","73","302.6","6","47","13","28.3","113","27","2","-1","-8","0","20","41","9","40"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Andrew Loupe","82","70","66","77","0","213","3","12775","87","46","82","0","15","0","294.8","0","33","0","29","87","0","-1","4","0","1","9","33","9","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Andrew Loupe","16","64","70","67","71","272","-12","69600","1","9","8","16","32","72","319.9","1","49","60","27.8","111","8","-5","-5","-2","0","21","43","7","20"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Andrew Loupe","10","68","70","72","69","279","-9","182000","13","11","10","10","29","62","308.8","2","49","43","28","112","9","-2","-2","-5","0","20","42","9","30"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Andrew Loupe","69","72","69","81","75","297","9","12400","70","26","72","69","21","75","307.4","1","43","36","29.3","117","64","3","7","-1","1","11","44","12","5"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Andrew Loupe","35","70","69","69","74","282","2","36565","32","16","9","35","28","61","317","9","41","56","27.5","110","5","2","-3","3","1","14","45","7","10"
