"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Anirban Lahiri","35","74","70","75","68","287","-1","34510","54","42","64","35","34","46","0","0","44","61","27.8","111","7","5","3","-9","1","16","42","9","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Anirban Lahiri","52","74","72","70","73","289","1","16415","54","53","47","52","42","12","0","0","52","25","30.3","121","54","1","8","-8","0","16","43","9","5"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Anirban Lahiri","28","74","70","74","70","288","0","68500","42","27","34","28","38","13","0","0","46","32","29.3","117","44","2","2","-4","0","15","45","9","10"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Anirban Lahiri","71","80","76","74","77","307","19","42625","71","71","70","71","27","41","282.3","70","38","62","29","116","37","4","15","0","0","11","38","17","5"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Anirban Lahiri","49","71","75","74","72","292","4","25600","18","50","50","49","35","38","307","9","49","16","31.8","127","54","1","8","-5","1","5","57","7","10"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Anirban Lahiri","44","73","69","66","72","280","-4","17413","78","67","27","44","32","62","267.4","69","45","40","27.8","111","38","1","5","-10","1","13","50","6","10"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Anirban Lahiri","30","69","70","71","72","282","-6","63075","18","14","26","30","45","56","292.4","49","54","50","30.3","121","19","-1","-3","-2","0","16","46","10","10"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Anirban Lahiri","53","77","72","67","71","287","7","48167","72","72","55","53","29","11","325.4","21","42","21","29","116","58","1","7","-1","0","12","43","15","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Anirban Lahiri","5","70","67","70","68","275","-13","367500","15","4","8","5","41","5","295.3","29","49","28","27.3","109","15","-3","-1","-9","0","23","40","8","40"
"2016","1-Nov-15","40847","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Anirban Lahiri","21","70","67","67","70","274","-14","78400","33","21","16","21","35","48","0","0","55","29","28.8","115","26","0","-6","-8","1","19","45","7","20"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Anirban Lahiri","40","70","75","66","71","282","-6","58500","42","61","40","40","29","59","0","0","48","50","27.8","111","14","-2","-2","-2","0","19","42","9","10"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Anirban Lahiri","28","64","68","71","71","274","-14","38570","1","3","19","28","38","24","302.8","19","53","25","27.8","111","42","0","-8","-6","1","21","42","7","10"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Anirban Lahiri","33","66","74","71","69","280","-4","35913","4","37","39","33","28","56","300.4","18","42","58","27.5","110","9","2","-2","-4","0","17","43","11","10"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Anirban Lahiri","39","72","67","69","73","281","-3","27200","75","28","26","39","27","55","281.3","49","44","44","28.8","115","37","1","3","-7","1","14","44","13","10"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Anirban Lahiri","28","70","70","71","79","290","2","79429","11","9","7","28","29","36","295.8","34","46","29","29.8","119","38","2","5","-5","0","14","43","14","10"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Anirban Lahiri","42","76","73","75","75","299","11","37000","59","47","38","42","38","26","277","39","34","56","27.5","110","1","5","5","1","0","9","47","14","10"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Anirban Lahiri","48","72","69","70","0","211","-5","16968","80","51","48","0","29","38","285.7","39","33","78","27.7","83","16","2","-2","-5","0","10","39","5","10"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Anirban Lahiri","41","66","77","72","75","290","2","22642","3","35","19","41","28","41","284","39","43","41","29","116","47","3","3","-4","0","12","46","14","10"
"2016","22-May-16","41050","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Anirban Lahiri","46","72","65","71","66","274","-6","21267","123","59","68","46","35","25","281.3","43","47","47","27.3","109","18","-2","-1","-3","1","18","41","10","10"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Anirban Lahiri","6","65","70","68","68","271","-9","216913","2","9","9","6","40","3","295.1","22","50","23","27.5","110","8","1","-6","-4","1","20","39","11","30"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Anirban Lahiri","61","70","72","69","75","286","-2","18360","44","62","51","61","35","56","291.8","30","48","40","29.3","117","63","2","1","-5","1","15","43","11","5"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Anirban Lahiri","71","71","71","75","70","287","3","13662","72","67","74","71","27","65","294.4","30","42","76","28.5","114","14","1","3","-1","0","11","48","12","5"
"2016","3-Jul-16","41092","WGC - Bridgestone Invitational","WGC-Bridgestone Invitational","Firestone C.C. (South)","","70","WGC - Bridgestone Invitational","Anirban Lahiri","33","68","74","73","70","285","5","76000","5","22","30","33","21","46","320.1","19","46","4","30.5","122","56","1","7","-3","0","12","43","17","10"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Anirban Lahiri","68","69","72","76","79","296","12","19848","22","22","43","68","33","52","289.5","29","43","40","31","124","74","1","11","0","0","6","50","14","5"
"2017","23-Oct-16","41204","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Anirban Lahiri","3","66","66","65","72","269","-19","406000","5","2","1","3","38","32","0","0","59","4","27.3","109","5","-5","-10","-4","1","28","37","3","60"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Anirban Lahiri","28","69","67","66","72","274","-10","45550","36","24","14","28","38","36","278.3","56","49","47","28","112","27","-3","-1","-6","0","20","42","10","10"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Anirban Lahiri","13","68","67","70","65","270","-12","99750","63","36","45","13","36","55","294.4","17","56","22","29.3","117","20","1","-7","-6","0","19","46","7","20"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Anirban Lahiri","25","69","72","64","73","278","-10","41502","34","69","13","25","36","38","289.8","31","50","31","26.8","107","14","2","-5","-7","0","22","41","6","20"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Anirban Lahiri","64","70","67","76","73","286","2","14840","50","11","59","64","24","66","282.6","37","38","67","27.8","111","21","-3","7","-2","0","17","37","17","5"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Anirban Lahiri","11","65","68","71","71","275","-5","147200","3","4","8","11","36","26","295.3","34","45","35","28","112","22","-1","1","-5","2","11","49","10","20"
