"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Ben Martin","16","69","68","66","71","274","-10","75000","19","18","7","16","34","24","302.1","21","55","17","30.3","121","54","-1","-6","-3","1","17","45","9","20"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Ben Martin","31","69","70","68","69","276","-8","35580","24","47","36","31","37","30","291.4","12","51","34","28.3","113","22","-2","1","-7","1","15","48","7","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Ben Martin","38","67","69","68","70","274","-6","22400","12","25","27","38","31","16","297","27","46","43","28.3","113","27","1","-2","-5","0","15","48","9","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Ben Martin","3","68","67","70","66","271","-17","238000","4","4","10","3","39","20","291.8","23","54","17","27.8","111","11","-2","-6","-9","1","20","46","5","60"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Ben Martin","3","69","68","71","67","275","-9","336400","5","1","3","3","36","41","282.8","14","48","9","27.8","111","25","0","-4","-5","0","16","51","4","60"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Ben Martin","15","62","67","73","75","277","-11","119000","1","1","4","15","37","25","297.5","27","51","31","27.8","111","15","2","-6","-7","1","20","43","5","20"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Ben Martin","50","71","73","69","75","288","0","16643","23","47","38","50","34","8","299.1","33","47","19","30","120","64","-1","3","-2","0","16","41","14","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Ben Martin","21","70","68","69","69","276","-4","58453","42","23","25","21","34","18","298.4","27","45","51","28.3","113","18","0","0","-4","0","10","56","6","20"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Ben Martin","49","72","72","65","78","287","-1","15149","45","64","11","49","35","53","304.3","22","50","7","29.5","118","63","3","3","-7","0","17","43","9","10"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Ben Martin","13","69","67","74","65","275","-5","102467","41","16","43","13","35","18","280.9","35","48","12","27.3","109","20","3","-6","-2","1","15","46","8","20"
