"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Billy Hurley III","9","69","66","69","68","272","-12","135000","19","6","12","9","38","6","289.9","50","58","4","30","120","50","-2","-8","-2","0","17","50","5","30"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Billy Hurley III","48","69","70","66","73","278","-6","15264","51","58","30","48","38","4","301.5","50","58","16","31.5","126","67","-3","2","-5","0","14","51","6","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Billy Hurley III","65","69","69","72","72","282","-2","12420","24","34","59","65","40","17","270.3","56","53","21","30.3","121","64","3","-3","-2","0","12","50","10","5"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Billy Hurley III","38","67","69","69","69","274","-6","22400","12","25","40","38","34","6","297.4","26","49","23","29","116","50","-1","4","-9","1","15","47","7","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Billy Hurley III","52","70","71","74","69","284","0","15467","35","40","69","52","38","4","276","67","43","42","28.3","113","36","1","4","-5","0","16","44","8","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Billy Hurley III","5","70","67","67","69","273","-7","240000","57","23","9","5","41","9","271.9","65","50","10","28.5","114","35","-3","1","-5","0","13","54","4","40"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Billy Hurley III","31","70","69","73","72","284","0","34469","20","4","22","31","38","25","267.9","59","43","27","28.5","114","49","-3","6","-3","0","11","51","9","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Billy Hurley III","80","71","71","73","0","215","-1","12104","54","67","80","0","33","0","267.5","0","37","0","29","87","0","-3","3","-1","0","15","28","8","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Billy Hurley III","16","70","69","68","68","275","-5","100050","45","41","27","16","33","24","284.1","64","47","28","28.3","113","27","-1","-2","-2","0","14","50","7","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Billy Hurley III","30","71","67","70","69","277","-3","37200","64","23","37","30","37","8","282.1","70","50","24","29.5","118","46","0","-1","-2","0","12","51","9","10"
