"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Blayne Barber","39","73","67","74","70","284","-4","23400","80","22","54","39","29","54","292.4","47","50","35","29.3","117","40","1","2","-7","0","16","44","12","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Blayne Barber","9","71","71","70","66","278","-10","100000","47","52","37","9","31","35","281.6","41","53","24","28.3","113","9","-1","-2","-7","0","16","51","4","30"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Blayne Barber","9","66","68","72","67","273","-11","141171","7","9","17","9","31","66","286","23","46","52","26","104","3","-4","0","-7","2","17","43","10","30"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Blayne Barber","60","66","69","71","71","277","-3","12152","12","30","56","60","39","3","299.5","31","54","6","31","124","68","7","-7","-3","0","14","47","11","5"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Blayne Barber","48","69","72","67","68","276","-12","14036","56","91","63","48","35","41","287.1","49","54","12","28","112","49","0","0","-12","0","23","39","9","10"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Blayne Barber","12","74","71","71","65","281","-3","147400","84","61","45","12","32","18","295.4","24","38","42","26.8","107","10","-1","4","-6","0","15","45","12","20"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Blayne Barber","58","75","69","72","71","287","7","13664","118","59","56","58","35","25","283.4","33","44","32","30","120","58","2","6","-1","0","9","48","14","5"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Blayne Barber","49","72","65","74","73","284","-4","15393","73","10","39","49","46","5","284.3","45","52","16","28.8","115","26","5","-2","-7","0","19","42","7","10"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Blayne Barber","57","71","69","75","70","285","-3","14454","65","52","67","57","37","26","276.6","60","53","30","30.3","121","61","2","-2","-3","0","13","51","7","5"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Blayne Barber","8","67","70","64","70","271","-17","193200","10","23","3","8","43","16","282.5","37","52","35","26","104","4","2","-11","-8","0","24","43","3","30"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Blayne Barber","10","69","67","68","68","272","-12","84000","25","15","12","10","42","6","295.4","27","50","52","28","112","9","-3","-2","-7","1","19","43","9","30"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Blayne Barber","91","68","74","79","0","221","5","9512","17","72","91","0","22","0","302.3","0","30","0","28","84","0","1","3","1","0","17","19","14","5"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Blayne Barber","39","69","72","71","68","280","-8","14402","42","67","58","39","39","7","274.3","42","50","60","28.3","113","8","0","-5","-3","0","18","46","7","10"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Blayne Barber","75","70","70","70","0","210","-2","10488","85","68","75","0","34","0","286","0","39","0","30.7","92","0","0","1","-3","0","6","44","4","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Blayne Barber","34","66","70","67","72","275","-13","28058","7","24","19","34","38","24","290.8","47","55","9","28.5","114","57","-1","-3","-9","1","16","51","3","10"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Blayne Barber","45","68","71","68","76","283","-1","18590","12","21","10","45","35","22","296.4","32","49","16","30.8","123","65","1","8","-10","2","15","39","14","10"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Blayne Barber","3","70","66","69","70","275","-5","353800","23","5","3","3","41","7","296.4","23","48","15","28.8","115","28","0","-2","-3","0","16","46","9","60"
