"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Bo Van Pelt","19","72","77","69","65","283","-5","81900","30","66","62","19","34","46","0","0","56","4","29","116","31","-2","5","-8","1","21","37","8","20"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bo Van Pelt","21","77","67","66","71","281","-7","75100","72","38","18","21","32","50","0","0","55","12","29.8","119","54","1","-4","-4","0","19","41","12","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Bo Van Pelt","48","70","68","67","69","274","-14","13817","80","63","45","48","35","61","292.6","36","53","47","29.5","118","75","1","-3","-12","2","16","48","6","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Bo Van Pelt","26","69","73","71","75","288","0","45880","4","16","14","26","32","33","292.6","21","43","21","28.3","113","45","0","1","-1","0","13","46","13","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Bo Van Pelt","48","69","70","73","74","286","2","15335","5","4","22","48","36","41","276.6","28","41","44","28.3","113","44","2","1","-1","0","11","50","9","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Bo Van Pelt","25","74","63","73","70","280","-8","54230","114","12","41","25","37","25","295.3","31","49","46","28.5","114","29","-1","0","-7","2","18","40","10","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Bo Van Pelt","26","71","70","70","73","284","-4","69500","48","25","14","26","38","22","286.5","32","48","28","28.3","113","28","-1","-2","-1","0","13","51","7","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Bo Van Pelt","14","67","68","70","70","275","-5","102400","6","4","11","14","32","26","299.5","21","51","16","29.8","119","54","-2","2","-5","0","17","44","10","20"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Bo Van Pelt","19","72","72","66","73","283","-5","65238","45","64","14","19","39","24","285.8","63","49","13","28.3","113","36","-3","2","-4","0","18","43","9","20"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Bo Van Pelt","63","72","72","75","79","298","18","20775","50","44","51","63","37","45","282","45","42","44","31.5","126","57","4","13","1","0","4","50","14","5"
