"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Boo Weekley","33","67","74","72","73","286","-2","40425","4","25","27","33","41","6","0","0","54","8","31","124","73","1","1","-4","0","14","46","12","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Boo Weekley","11","70","67","69","69","275","-13","116667","15","2","7","11","45","1","0","0","59","2","29.3","117","44","1","-9","-5","0","19","48","4","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Boo Weekley","22","67","69","73","66","275","-5","52800","22","17","36","22","45","4","286.8","10","58","5","31.3","125","60","3","-5","-3","1","15","45","10","20"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Boo Weekley","26","71","74","70","73","288","-4","68000","18","24","26","26","51","2","273.9","12","64","1","33.8","135","30","3","-3","-4","1","11","52","7","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Boo Weekley","29","67","67","70","68","272","-8","38080","12","11","27","29","24","60","294.8","34","44","56","27","108","12","3","-5","-6","0","19","43","9","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Boo Weekley","41","68","67","73","71","279","-1","22200","22","9","42","41","40","14","288.9","25","46","34","29","116","43","2","-1","-2","0","12","49","11","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Boo Weekley","54","75","75","78","73","301","13","51000","42","34","56","54","32","6","303","7","45","8","31.5","126","66","7","8","-2","0","8","46","15","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Boo Weekley","84","74","71","77","0","222","9","9804","98","64","84","0","27","0","270","0","34","0","32","96","0","5","5","-1","0","5","36","12","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Boo Weekley","53","73","73","73","68","287","3","13326","77","68","74","53","37","36","277.5","22","43","27","29.5","118","70","2","2","-1","0","10","50","11","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Boo Weekley","29","71","70","71","69","281","-7","44200","54","47","59","29","44","1","300.8","16","54","12","29.5","118","53","5","-3","-9","0","17","46","8","10"
