"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Brad Fritsch","48","67","70","67","70","274","-14","13817","20","48","34","48","46","2","295.8","27","51","65","27.3","109","21","-2","-2","-10","0","22","42","8","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brad Fritsch","10","69","70","72","71","282","-6","135217","17","11","6","10","27","49","279","54","43","56","27","108","3","2","0","-8","0","13","52","7","30"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Brad Fritsch","29","71","68","67","73","279","-9","21306","44","25","15","29","38","29","288.5","31","44","69","26.3","105","1","0","-5","-4","0","19","45","7","10"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Brad Fritsch","59","72","69","71","70","282","2","15180","89","67","69","59","28","50","296.5","40","50","11","30.5","122","69","-4","9","-3","0","14","43","14","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Brad Fritsch","13","70","68","63","69","270","-14","80571","63","35","11","13","35","69","300.3","24","57","9","29","116","48","-6","-6","-2","0","18","50","4","20"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Brad Fritsch","9","72","68","67","64","271","-9","153900","106","63","28","9","35","38","295.5","3","46","30","27.3","109","14","0","-4","-5","1","15","48","8","30"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Brad Fritsch","8","69","63","65","70","267","-13","148400","49","7","2","8","33","50","313.1","10","53","26","28.8","115","18","0","-8","-5","1","15","52","4","30"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Brad Fritsch","46","70","74","72","72","288","8","37090","26","44","39","46","39","50","305.9","43","49","46","32.3","129","34","1","10","-3","0","11","43","17","10"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Brad Fritsch","29","71","70","68","72","281","-7","26705","69","51","24","29","16","76","298.1","29","47","57","28.5","114","25","1","3","-11","1","16","44","11","10"
"2017","20-Nov-16","41232","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Brad Fritsch","74","72","64","74","0","210","-2","11280","131","50","74","0","33","0","291.8","0","39","0","29.7","89","0","1","0","-3","1","13","29","10","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brad Fritsch","67","67","76","72","76","291","3","13601","3","48","52","67","31","30","286.3","37","51","20","31.5","126","67","2","4","-3","0","16","40","13","5"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brad Fritsch","33","74","68","69","71","282","-5","38040","84","43","28","33","42","20","281.1","33","47","56","28.8","115","15","2","3","-10","0","15","47","10","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Brad Fritsch","44","71","70","71","67","279","-9","9324","71","69","65","44","36","50","277.6","67","49","65","28.3","113","14","1","-2","-8","0","19","44","8","10"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Brad Fritsch","69","74","69","76","78","297","9","12400","118","47","59","69","28","64","287.5","53","40","57","28.8","115","53","2","12","-5","0","8","50","11","5"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Brad Fritsch","71","73","71","74","78","296","8","14775","81","44","58","71","30","59","278","58","36","74","28","112","24","1","11","-4","0","14","38","18","5"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Brad Fritsch","43","70","67","72","68","277","-3","19870","76","27","52","43","33","60","298.9","32","50","28","29.8","119","50","-1","-2","0","0","17","41","14","10"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Brad Fritsch","50","67","66","70","71","274","-6","13549","34","19","33","50","37","33","309.4","19","50","63","29.5","118","29","-3","3","-6","1","14","48","8","10"
