"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Brendon De Jonge","53","72","71","73","75","291","3","15908","30","38","46","53","33","53","0","0","46","49","29","116","31","0","7","-4","1","10","48","11","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Brendon De Jonge","16","67","71","70","65","273","-7","85250","22","26","30","16","44","8","278.9","31","53","25","29.8","119","33","0","-5","-2","0","16","47","9","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brendon De Jonge","51","68","71","69","68","276","-4","12902","25","66","64","51","33","9","294.8","34","49","23","29.8","119","64","2","-1","-5","0","12","52","8","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Brendon De Jonge","18","69","68","66","66","269","-19","74328","48","48","25","18","37","38","293.6","32","55","24","28.3","113","43","-4","-2","-13","1","19","50","2","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Brendon De Jonge","53","66","73","70","74","283","-1","14285","10","38","34","53","33","38","296.8","49","50","37","30.5","122","59","0","3","-4","0","11","51","10","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Brendon De Jonge","63","66","64","76","78","284","4","12660","6","2","24","63","41","9","284.3","38","47","26","27.8","111","20","-1","8","-3","0","18","36","14","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Brendon De Jonge","54","76","79","74","72","301","13","51000","53","59","61","54","32","6","284.3","56","43","21","30.3","121","58","5","11","-3","0","9","45","15","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Brendon De Jonge","36","73","72","71","74","290","2","28572","65","43","30","36","36","15","291.5","23","45","9","29","116","62","1","0","1","0","10","51","10","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Brendon De Jonge","37","71","73","72","71","287","-1","28160","76","70","42","37","36","25","278.8","69","47","49","29.8","119","49","0","5","-6","0","11","52","8","10"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Brendon De Jonge","37","74","72","76","73","295","7","40500","40","26","38","37","44","4","285","42","42","29","29","116","16","2","6","-1","0","12","44","13","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Brendon De Jonge","6","80","62","68","69","279","-9","239775","155","30","11","6","32","19","294","46","42","52","26.5","106","7","0","-5","-4","1","17","45","8","30"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Brendon De Jonge","70","69","74","75","76","294","6","20000","19","52","68","70","30","65","274.5","64","43","63","27.8","111","16","6","6","-6","1","13","42","11","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Brendon De Jonge","29","73","68","67","69","277","-3","43944","106","67","38","29","38","2","297.5","36","47","28","28.5","114","37","-2","3","-4","0","12","51","9","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Brendon De Jonge","30","70","68","70","69","277","-3","37200","42","23","37","30","38","4","294.4","38","52","10","29.8","119","54","1","-2","-2","0","14","49","7","10"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Brendon De Jonge","28","73","69","69","73","284","-4","38647","64","37","20","28","47","3","289.8","46","47","31","29","116","51","9","-8","-5","0","18","41","12","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Brendon De Jonge","28","68","70","73","76","287","7","59588","2","5","10","28","49","1","282.1","44","45","18","30.5","122","42","2","8","-3","0","12","42","17","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Brendon De Jonge","42","70","66","71","68","275","-5","22320","76","28","44","42","45","4","287.4","56","48","46","28.8","115","38","2","-4","-3","0","12","53","7","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Brendon De Jonge","8","71","68","71","73","283","-1","188500","27","11","5","8","38","9","306.9","18","42","57","27.5","110","3","-1","5","-5","0","15","45","10","30"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Brendon De Jonge","64","70","69","68","73","280","0","13585","71","49","43","64","40","26","289.6","49","52","14","31","124","73","1","0","-1","0","11","51","9","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Brendon De Jonge","45","65","75","65","71","276","-8","13872","7","57","26","45","45","8","297","33","49","51","27.8","111","18","-3","-3","-2","0","20","40","12","10"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Brendon De Jonge","37","72","69","70","69","280","0","64500","46","36","36","37","33","16","285.8","63","45","26","28.3","113","31","0","3","-3","0","12","50","9","10"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Brendon De Jonge","40","70","70","72","70","282","-2","33500","35","26","50","40","48","1","284.9","52","50","14","30","120","60","-1","4","-5","0","14","47","10","10"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Brendon De Jonge","61","66","72","72","75","285","1","17120","2","16","30","61","43","5","275.5","46","46","43","29.5","118","57","-1","5","-3","0","12","49","9","5"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Brendon De Jonge","74","77","67","74","0","218","5","15280","89","63","74","0","27","0","293.3","0","34","0","29","87","0","2","5","-2","2","8","32","9","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Brendon De Jonge","31","72","71","70","70","283","-5","33300","63","63","41","31","35","15","294.3","39","47","52","27.5","110","7","2","-2","-5","1","14","46","11","10"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Brendon De Jonge","42","70","68","69","69","276","-8","20495","53","30","42","42","35","27","306.1","36","54","28","30.5","122","65","1","-7","-2","1","15","47","9","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Brendon De Jonge","2","68","64","69","65","266","-14","492800","29","2","4","1","41","25","282.8","48","60","4","30","120","34","-3","-6","-5","0","18","50","4","75"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Brendon De Jonge","13","70","73","65","71","279","-9","123667","23","35","9","13","38","29","0","0","57","5","29.8","119","42","-2","-2","-5","0","18","46","7","20"
