"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Brian Gay","47","72","72","74","72","290","2","18223","30","42","62","47","35","40","0","0","47","39","29.3","117","37","2","1","-1","0","10","51","10","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Brian Gay","46","71","72","72","70","285","-3","52500","28","31","44","46","35","31","0","0","38","73","26","104","1","2","-3","-2","0","12","51","9","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Brian Gay","4","63","72","66","67","268","-12","227333","2","10","3","4","35","58","261.3","71","50","43","27.3","109","2","-1","-10","-1","0","20","44","8","40"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Brian Gay","45","70","71","67","70","278","-6","18060","44","65","44","45","39","21","262.8","70","47","67","27.8","111","13","-1","1","-6","0","15","50","5","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Brian Gay","13","70","76","65","70","281","-11","130000","11","25","16","13","47","15","260","29","60","2","30.8","123","17","-5","-2","-4","1","18","45","7","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brian Gay","32","71","68","67","67","273","-7","30987","88","66","48","32","31","16","293.4","37","42","64","26.3","105","5","3","-5","-5","1","16","47","5","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Brian Gay","61","69","71","71","74","285","1","13206","40","48","54","61","35","24","282.5","76","44","67","28","112","10","-1","-3","5","0","11","51","9","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brian Gay","45","70","70","72","76","288","1","18499","58","25","18","45","36","38","262.3","59","49","19","30.3","121","53","1","2","-2","0","8","55","9","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Brian Gay","77","75","69","75","0","219","6","10431","115","46","77","0","29","0","258.2","0","30","0","28.3","85","0","6","1","-1","0","9","32","11","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Brian Gay","56","73","71","73","76","293","5","13826","65","33","37","56","36","15","273.1","66","34","66","27","108","17","0","4","1","1","8","49","13","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Brian Gay","43","71","70","71","76","288","0","18374","76","27","16","43","32","53","274","74","46","54","28.3","113","9","-1","4","-3","0","12","51","6","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Brian Gay","68","70","74","74","72","290","6","11716","20","50","67","68","31","72","257.1","75","39","60","27.8","111","25","4","2","0","0","11","48","9","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Brian Gay","57","71","67","72","71","281","1","15663","68","25","52","57","29","43","279.1","69","39","72","27.3","109","7","0","3","-2","0","12","48","11","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Brian Gay","57","71","69","72","69","281","1","14336","64","47","66","57","37","8","280.3","74","45","51","29.3","117","40","1","0","0","0","10","51","11","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Brian Gay","71","70","66","72","73","281","1","12214","76","28","55","71","38","44","273.6","73","39","76","27.8","111","15","1","-1","1","0","12","50","8","5"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Brian Gay","64","70","69","74","75","288","4","13780","47","21","53","64","30","52","273.3","68","37","66","26.5","106","3","4","2","-2","0","14","43","12","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Brian Gay","58","72","74","68","73","287","0","15610","91","111","54","58","40","23","282.5","54","38","67","26.8","107","7","2","-2","0","0","10","54","6","5"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Brian Gay","36","73","69","68","0","210","-6","28029","104","61","36","0","32","17","264.8","80","36","61","27.7","83","16","-2","-1","-3","0","11","38","5","10"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Brian Gay","6","66","70","70","66","272","-8","223200","4","6","12","6","30","33","273.4","70","35","72","23.8","95","1","-2","-1","-5","0","18","44","10","30"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Brian Gay","68","72","66","69","75","282","-2","13398","104","46","46","68","28","53","292.6","69","47","65","28","112","12","1","1","-4","1","17","40","11","5"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Brian Gay","28","70","69","71","64","274","-10","45550","52","47","63","28","41","17","268","69","53","20","28.8","115","43","-3","-4","-3","0","18","46","8","10"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brian Gay","13","69","64","67","67","267","-13","102857","74","24","16","13","39","4","311.6","25","56","12","29.5","118","51","1","-8","-6","1","15","52","4","20"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Brian Gay","47","71","69","73","66","279","-5","17715","54","48","70","47","38","4","290.4","67","50","43","28.3","113","10","1","-1","-5","0","16","47","8","10"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Brian Gay","66","70","73","72","0","215","0","14184","13","53","66","0","26","0","270","0","31","0","28","84","0","1","4","-5","0","10","36","6","5"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Brian Gay","60","68","69","73","74","284","4","14016","24","17","56","60","37","19","276.4","64","43","48","28.5","114","32","4","5","-5","0","11","48","11","5"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Brian Gay","6","68","70","69","67","274","-10","217750","19","25","16","6","39","5","270","61","45","36","26","104","4","0","-5","-5","0","21","40","11","30"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Brian Gay","6","68","72","71","70","281","-7","200725","6","17","11","6","41","3","284.1","60","45","20","26.3","105","4","-2","3","-8","0","19","41","12","30"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Brian Gay","52","70","72","71","77","290","2","17314","15","20","19","52","39","9","272.8","67","44","41","28.5","114","31","-1","5","-2","0","9","54","7","5"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Brian Gay","50","72","70","67","71","280","0","18090","72","69","42","50","31","27","268.5","71","45","37","28.5","114","39","2","1","-3","0","10","53","8","10"
"2017","28-May-17","41421","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Brian Gay","34","69","69","71","72","281","1","34106","24","11","18","34","32","25","285.6","56","44","42","29.3","117","53","0","2","-1","0","11","49","12","10"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Brian Gay","43","70","71","69","74","284","4","24850","32","31","18","43","32","40","276.1","73","38","70","28.3","113","18","1","5","-2","0","9","51","11","10"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Brian Gay","72","67","72","72","73","284","4","14058","16","56","67","72","43","7","280.8","73","44","65","29.5","118","49","4","2","-2","0","7","54","11","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Brian Gay","3","69","63","68","65","265","-19","182000","41","4","6","3","39","34","282","65","57","15","27.5","110","8","-3","-6","-10","1","21","47","2","60"
