"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Brian Stuard","58","71","71","70","70","282","-2","11050","50","66","64","58","36","13","298.9","26","55","17","31.3","125","66","4","-3","-3","0","14","46","12","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Brian Stuard","15","68","65","70","68","271","-13","87150","37","9","15","15","32","36","306.9","35","62","2","31","124","57","-1","-4","-8","1","16","50","5","20"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Brian Stuard","2","65","70","65","67","267","-17","648000","2","11","5","2","40","17","291","14","55","10","27.5","110","10","-3","-5","-9","0","24","42","5","75"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Brian Stuard","6","65","65","71","67","268","-12","201600","3","1","6","6","29","32","300.1","17","45","48","26.8","107","7","1","-7","-6","1","19","43","9","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Brian Stuard","5","67","66","66","65","264","-24","228000","20","8","7","5","41","17","281.5","73","61","2","27.8","111","33","-3","-8","-13","0","28","40","4","40"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Brian Stuard","28","70","73","69","74","286","-2","38023","29","50","13","28","31","24","269.3","70","42","61","27","108","3","1","3","-6","0","16","43","12","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Brian Stuard","53","73","68","69","73","283","-1","14285","105","63","40","53","36","19","286.5","69","45","62","27.8","111","5","0","5","-6","1","15","43","10","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Brian Stuard","24","72","68","65","72","277","-3","45400","101","66","17","24","44","4","270.1","68","39","66","26.8","107","4","0","-1","-2","0","12","53","5","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Brian Stuard","43","66","71","73","71","281","-7","11223","1","16","42","43","42","8","277.8","56","46","62","28.5","114","25","-2","-1","-4","0","16","47","9","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Brian Stuard","60","72","74","74","71","291","3","13454","61","66","76","60","40","14","274.1","71","46","44","30.5","122","59","2","10","-9","0","18","36","15","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Brian Stuard","5","69","72","68","68","277","-7","220400","5","22","7","5","41","7","276.1","32","42","35","26.3","105","7","-2","-2","-3","0","14","51","7","40"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Brian Stuard","17","67","76","69","70","282","-6","135333","4","52","24","17","37","34","277.9","55","44","59","26.5","106","1","3","-2","-7","0","19","41","11","20"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Brian Stuard","32","66","65","71","70","272","-8","29327","9","3","18","32","38","21","295.9","56","54","21","29.5","118","35","-2","-2","-4","1","17","44","9","10"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Brian Stuard","74","73","70","73","0","216","3","15120","90","68","74","0","30","0","263.2","0","31","0","29","87","0","4","-1","0","1","6","36","11","5"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Brian Stuard","16","72","71","65","68","276","-8","112229","51","50","21","16","40","16","285","60","51","21","28","112","12","-4","-2","-2","0","16","48","8","20"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Brian Stuard","36","71","69","71","70","281","1","36057","29","20","34","36","42","3","295.4","54","42","56","28","112","8","3","-7","5","0","14","44","13","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Brian Stuard","13","67","72","72","68","279","-9","123667","2","12","18","13","36","41","0","0","52","25","29","116","23","-4","-2","-3","0","18","45","9","20"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Brian Stuard","71","69","70","75","71","285","1","12017","45","58","69","71","47","1","275.4","55","37","76","27","108","17","1","4","-4","0","15","41","16","5"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Brian Stuard","10","72","68","67","67","274","-10","157500","87","27","20","10","45","3","273.9","72","48","33","27.5","110","16","-1","-4","-5","0","14","54","4","30"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Brian Stuard","53","70","72","76","73","291","3","14317","30","50","69","53","36","7","276.1","66","46","32","29.5","118","45","-2","4","1","0","13","43","16","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Brian Stuard","21","67","70","66","71","274","-13","63835","19","31","10","21","43","10","281.8","52","50","42","27","108","5","0","-6","-7","0","20","45","7","20"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Brian Stuard","39","71","71","71","73","286","2","29480","33","26","26","39","40","1","279.9","60","28","74","25.3","101","2","3","4","-5","0","11","49","11","10"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Brian Stuard","64","74","75","78","72","299","11","13082","32","55","73","64","35","20","269.9","73","34","67","28.8","115","43","4","8","-1","0","8","45","19","5"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Brian Stuard","55","73","68","69","72","282","-2","13334","78","48","43","55","37","32","261.5","74","46","38","27.8","111","38","-2","4","-4","0","12","51","8","5"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Brian Stuard","65","69","69","74","71","283","-5","14283","32","36","67","65","43","16","266.6","67","55","20","29.8","119","68","4","-5","-4","0","15","49","6","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Brian Stuard","38","70","70","73","71","284","-4","27690","30","19","39","38","32","16","290.4","64","51","11","28.5","114","40","4","-1","-7","0","14","48","10","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Brian Stuard","62","71","69","70","71","281","1","13910","74","51","62","62","33","37","268.5","60","45","65","29","116","34","3","-3","1","0","10","52","9","5"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Brian Stuard","61","68","75","74","73","290","2","13454","12","64","61","61","45","9","275","65","52","6","30.3","121","68","7","3","-8","1","13","44","12","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Brian Stuard","74","68","70","76","77","291","11","11640","20","30","70","74","31","38","276.9","72","36","74","28.3","113","49","5","5","1","0","9","49","8","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Brian Stuard","25","64","67","71","71","273","-7","41234","2","2","15","25","38","45","275.8","61","51","30","28.8","115","26","-3","0","-4","0","15","49","8","20"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Brian Stuard","18","66","68","68","70","272","-12","59220","10","11","12","18","46","15","274.3","47","55","19","28.3","113","25","-5","-2","-5","0","22","41","8","20"
