"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Bryson DeChambeau","15","71","70","70","74","285","5","152234","18","16","9","15","32","40","291.5","24","43","44","29.5","118","8","-1","5","1","0","13","44","12","20"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Bryson DeChambeau","64","70","71","71","74","286","2","14214","55","47","46","64","34","29","280.9","67","43","74","28.5","114","14","-1","7","-4","0","14","44","12","5"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Bryson DeChambeau","47","72","66","68","70","276","-4","16573","113","43","33","47","28","73","315.9","4","40","72","26.3","105","1","-2","-2","0","0","17","42","13","10"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Bryson DeChambeau","36","72","66","70","67","275","-9","31086","104","46","57","36","32","26","301.9","54","51","48","28.8","115","28","-3","-1","-5","0","22","40","7","10"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Bryson DeChambeau","66","70","68","69","74","281","-3","14420","52","39","48","66","39","28","292.8","17","48","59","29.5","118","60","-2","6","-7","0","10","56","5","5"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Bryson DeChambeau","49","69","67","66","70","272","-8","14430","74","57","38","49","31","44","307.4","43","47","59","28.5","114","28","-1","0","-7","2","14","47","8","10"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Bryson DeChambeau","27","67","70","72","73","282","-2","39346","6","8","12","27","31","41","301.5","7","47","18","28.3","113","32","2","-1","-3","1","17","39","13","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Bryson DeChambeau","2","68","65","70","67","270","-18","224000","17","1","4","2","32","64","302.8","6","58","12","28.3","113","14","-4","-3","-11","0","23","44","5","75"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Bryson DeChambeau","44","71","68","78","69","286","-2","21756","66","17","54","44","37","35","293.8","19","45","65","28.3","113","14","1","-1","-2","0","13","49","9","10"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Bryson DeChambeau","26","67","72","66","70","275","-5","46278","19","55","15","26","36","33","299.8","28","51","20","29.8","119","50","-1","0","-4","0","17","44","10","10"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Bryson DeChambeau","17","67","71","74","66","278","-2","99400","8","10","35","17","36","16","314.5","13","46","28","28.3","113","18","-1","3","-4","0","19","38","13","20"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Bryson DeChambeau","14","70","66","71","65","272","-8","124250","72","22","32","14","38","37","310.8","29","53","14","28.3","113","12","3","-7","-4","0","19","43","9","20"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Bryson DeChambeau","1","66","65","70","65","266","-18","1008000","7","2","5","1","42","32","302","21","57","11","28.5","114","23","-6","-4","-8","0","24","42","6","100"
"2017","6-Aug-17","41491","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Bryson DeChambeau","60","75","69","71","72","287","7","47500","69","52","49","60","27","35","310.1","46","40","57","29","116","47","0","8","-1","0","9","49","12","5"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Bryson DeChambeau","33","73","71","72","71","287","3","47000","44","29","37","33","35","30","300.8","35","47","10","30","120","56","2","9","-8","2","12","41","15","10"
"2017","4-Sep-17","41520","Dell Technologies Championship","","TPC Boston","7342","71","Dell Technologies Championship","Bryson DeChambeau","30","69","67","72","73","281","-3","54338","12","6","19","30","31","68","290.6","33","44","60","27.5","110","9","1","0","-4","0","17","42","12","10"
"2017","17-Sep-17","41533","BMW Championship","","Conway Farms G.C.","7208","71","BMW Championship","Bryson DeChambeau","33","68","70","69","69","276","-8","45250","24","35","34","33","25","64","304.6","42","47","36","27.5","110","29","4","-4","-8","0","16","48","8","10"
"2018","8-Oct-17","41554","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Bryson DeChambeau","17","73","69","67","72","281","-7","70849","87","55","21","17","32","24","304.9","32","53","13","29.8","119","50","1","0","-8","1","16","45","9","20"
"2018","5-Nov-17","41582","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Bryson DeChambeau","7","67","72","71","67","277","-7","211933","6","15","10","7","31","35","317.6","20","60","1","31.5","126","70","2","-5","-4","0","16","47","9","30"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Bryson DeChambeau","14","70","68","70","66","274","-10","117150","56","32","29","14","28","76","295.8","6","52","24","28.5","114","21","-3","2","-9","1","16","49","5","20"
