"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Bubba Watson","31","78","69","65","73","285","-3","44450","74","63","24","31","38","21","0","0","51","16","30","120","57","0","1","-4","1","15","46","6","10"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bubba Watson","8","68","69","69","68","274","-14","161667","4","2","7","8","32","50","0","0","55","12","28.5","114","31","-1","-7","-6","1","18","48","4","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Bubba Watson","23","70","73","73","69","285","-3","54290","29","50","47","23","31","24","309.9","1","56","1","31.5","126","70","2","1","-6","1","13","49","6","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Bubba Watson","2","64","66","68","71","269","-15","545600","1","1","1","2","37","13","334.1","1","52","25","27.8","111","5","-1","-8","-6","0","22","43","7","75"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Bubba Watson","1","70","71","64","64","269","-15","1206000","35","40","6","1","35","8","318.5","1","51","3","27","108","15","-3","-4","-8","1","22","43","3","100"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Bubba Watson","2","73","72","72","68","285","-3","753000","23","9","9","2","21","63","312","3","41","38","27.3","109","3","0","6","-9","1","11","50","10","75"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Bubba Watson","1","69","68","74","69","280","-8","1620000","2","1","1","1","40","13","305.6","1","50","5","29","116","16","-1","1","-8","1","15","47","9","100"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Bubba Watson","48","69","72","70","76","287","-1","24073","19","25","14","48","35","44","306.1","1","50","12","29","116","52","5","5","-11","1","18","39","11","10"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Bubba Watson","3","66","69","69","72","276","-12","421600","2","2","1","3","39","24","316","4","50","7","28.3","113","36","1","-3","-10","2","22","35","12","60"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Bubba Watson","31","67","72","67","68","274","-6","32296","28","69","34","31","34","68","312.3","1","48","46","28","112","25","0","-7","1","0","14","51","6","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Bubba Watson","16","68","67","69","69","273","-7","91186","31","8","12","16","42","12","322.9","2","51","22","30","120","60","3","-3","-7","0","18","43","11","20"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Bubba Watson","37","69","70","73","68","280","0","64500","14","25","42","37","31","22","326.8","2","48","13","29.8","119","58","0","0","0","0","12","49","10","10"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Bubba Watson","64","70","72","73","72","287","3","18950","35","53","70","64","33","59","313.6","2","42","65","28.8","115","39","0","8","-5","1","10","48","11","5"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Bubba Watson","30","68","70","71","71","280","-4","46500","13","16","23","30","32","57","296.3","4","48","27","28.3","113","24","1","1","-6","0","15","48","7","10"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Bubba Watson","29","72","71","69","67","279","-5","50867","51","50","40","29","40","16","317.1","1","49","25","29","116","40","-2","1","-4","0","16","47","7","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Bubba Watson","2","70","66","66","66","268","-12","864000","20","5","3","2","31","40","322.9","3","54","5","29.8","119","42","0","-6","-6","1","17","47","7","75"
"2014","14-Sep-14","40434","Tour Championship","","East Lake G.C.","7307","70","Tour Championship","Bubba Watson","14","67","73","67","73","280","0","190000","3","14","11","14","31","13","316.9","1","51","2","30.3","121","27","4","-2","-2","0","17","42","10","20"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bubba Watson","1","71","67","69","70","277","-11","1400000","19","3","3","1","28","16","0","0","36","18","20.8","83","19","0","3","-14","1","25","33","10","100"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Bubba Watson","10","70","69","68","70","277","-15","160000","18","12","7","10","40","27","300.6","1","53","29","29","116","7","0","-5","-10","0","22","43","7","30"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Bubba Watson","2","65","71","69","65","270","-14","470400","2","4","8","2","38","20","309.3","4","49","25","28.8","115","46","-2","-4","-8","1","16","51","4","75"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Bubba Watson","14","70","69","70","73","282","-2","110550","17","6","7","14","25","59","301","15","38","42","26.8","107","10","0","5","-7","1","11","50","9","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Bubba Watson","3","71","69","70","71","281","-7","540000","13","4","2","3","26","54","325.1","2","45","25","28","112","11","-2","2","-7","3","11","48","10","60"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Bubba Watson","38","71","71","73","74","289","1","40000","18","19","25","38","36","30","315.5","3","49","16","30.8","123","47","3","10","-12","2","15","38","15","10"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Bubba Watson","42","71","70","69","76","286","-2","31400","40","27","17","42","33","53","305.6","6","48","30","29.3","117","52","-1","3","-4","0","17","41","13","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Bubba Watson","1","62","67","68","67","264","-16","1152000","1","1","2","1","30","70","318.5","1","50","38","26.8","107","1","1","-12","-5","1","17","51","3","100"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Bubba Watson","13","67","68","68","67","270","-10","107944","27","26","17","13","37","57","298.1","18","56","14","29.5","118","49","-3","-5","-2","1","17","46","7","20"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Bubba Watson","2","68","67","68","69","272","-16","626400","17","6","2","2","28","43","339.5","1","55","2","29","116","61","-2","2","-16","3","23","34","11","75"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Bubba Watson","2","70","66","69","66","271","-9","930000","22","2","4","2","26","29","362.1","1","52","1","29.3","117","62","3","-7","-5","0","18","45","9","75"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Bubba Watson","21","72","71","70","68","281","-7","97667","39","37","36","21","31","60","310.8","2","53","4","29.5","118","61","1","-3","-5","1","17","42","12","20"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Bubba Watson","3","65","68","67","69","269","-11","561000","1","1","3","3","23","70","331.5","1","54","5","28.8","115","14","-4","-4","-3","0","19","46","6","60"
"2015","7-Sep-15","40792","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7242","71","Deutsche Bank Championship","Bubba Watson","29","73","69","71","68","281","-3","54863","59","42","53","29","35","40","338.4","1","48","23","30","120","59","2","-2","-3","0","15","45","12","10"
"2015","20-Sep-15","40805","BMW Championship","","Conway Farms G.C.","7198","71","BMW Championship","Bubba Watson","10","65","70","72","65","272","-12","206250","2","19","27","10","28","65","299.8","13","57","3","29.3","117","55","-2","-5","-5","1","23","36","11","30"
"2015","27-Sep-15","40812","Tour Championship","","East Lake G.C.","7307","70","Tour Championship","Bubba Watson","5","70","71","68","67","276","-4","302500","17","12","8","5","30","16","290.3","6","43","17","27.5","110","5","0","0","-4","0","13","50","9","40"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Bubba Watson","35","68","73","68","72","281","-7","63000","16","37","25","35","34","31","0","0","53","25","30.5","122","62","2","0","-9","2","12","50","7","10"
"2016","10-Jan-16","40917","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Bubba Watson","10","69","68","73","67","277","-15","148000","7","8","15","10","33","32","320.9","2","61","8","31.3","125","27","0","-5","-10","0","23","41","8","30"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Bubba Watson","14","69","69","73","66","277","-7","117000","30","13","39","14","31","44","314.5","4","53","2","30","120","57","-1","-1","-5","1","18","41","11","20"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Bubba Watson","70","73","68","74","0","215","0","13300","114","47","70","0","36","0","306.8","0","35","0","29","87","0","1","1","-2","2","8","35","6","5"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Bubba Watson","1","66","68","67","68","269","-15","1224000","2","3","1","1","28","50","295.3","18","51","7","28.3","113","25","-4","-2","-9","0","20","47","5","100"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Bubba Watson","2","69","69","71","68","277","-11","1018000","8","5","4","2","27","47","316.8","2","58","1","30.8","123","53","0","-1","-10","1","17","47","6","75"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Bubba Watson","37","75","75","76","71","297","9","50250","54","57","48","37","36","39","293.5","4","42","37","29.8","119","16","7","7","-5","0","12","40","19","10"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Bubba Watson","43","69","71","74","74","288","0","33670","33","48","34","43","29","70","299.3","15","48","36","29.5","118","42","1","4","-5","1","10","49","12","10"
