"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2017","23-Oct-16","41204","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Byeong Hun An","39","72","72","70","67","281","-7","28000","57","60","57","39","28","76","0","0","51","46","29","116","31","-3","-1","-3","0","18","45","7","10"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Byeong Hun An","63","74","75","76","71","296","8","45250","57","61","69","63","15","77","0","0","51","17","30.8","123","65","-2","3","7","0","12","45","12","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Byeong Hun An","49","71","73","73","70","287","-1","16536","47","67","69","49","30","36","297.1","14","44","63","28","112","3","-1","5","-5","0","16","42","13","10"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Byeong Hun An","6","66","66","65","73","270","-14","241200","4","1","1","6","27","65","311.4","15","57","6","29","116","31","0","-9","-5","1","18","47","6","30"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Byeong Hun An","55","67","73","70","73","283","-1","16030","8","40","36","55","33","23","302.4","5","50","4","30","120","67","-1","4","-4","0","15","43","14","5"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Byeong Hun An","48","73","66","71","76","286","2","55500","47","19","25","48","39","9","298.9","33","44","44","28.8","115","33","4","-1","-1","1","14","41","14","10"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Byeong Hun An","49","69","72","71","73","285","1","15918","24","42","35","49","33","27","291.9","26","48","11","30","120","63","-1","4","-2","0","14","43","15","10"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Byeong Hun An","49","76","70","72","73","291","3","21079","92","58","56","49","33","60","295.6","19","44","31","28.8","115","42","0","6","-3","0","12","47","11","10"
"2017","9-Apr-17","41372","Masters","","Augusta National G.C.","7435","72","Masters","Byeong Hun An","33","76","73","74","70","293","5","62150","54","35","40","33","40","11","0","0","46","22","31","124","43","2","7","-4","0","13","44","13","10"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Byeong Hun An","40","73","69","76","72","290","2","21728","94","36","50","40","37","18","293","38","41","52","28","112","36","4","3","-5","0","13","45","13","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Byeong Hun An","8","72","70","69","71","282","-6","210000","53","20","8","8","34","39","291.3","24","50","11","28.8","115","38","2","-1","-7","1","13","49","9","30"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Byeong Hun An","5","68","66","69","69","272","-8","263438","14","3","9","5","29","37","298.4","18","47","24","27.3","109","12","-3","-3","-2","0","16","48","8","40"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Byeong Hun An","25","68","72","71","75","286","-2","66410","7","13","14","25","33","51","304.1","17","51","5","29","116","51","2","-3","-1","0","16","46","7","20"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Byeong Hun An","66","67","72","69","73","281","1","14008","19","55","42","66","36","33","299.8","28","45","62","29","116","28","-1","5","-3","0","14","43","15","5"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Byeong Hun An","29","70","74","66","71","281","1","45144","32","63","18","29","30","49","311.9","17","44","37","28.3","113","18","0","2","-1","1","15","40","14","10"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Byeong Hun An","28","71","69","74","72","286","2","64200","25","10","18","28","35","30","304.1","23","42","41","29","116","29","4","4","-6","1","12","44","14","10"
