"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","C.T. Pan","2","70","69","69","70","278","-10","589600","32","6","3","2","31","30","277.5","64","50","26","28.5","114","9","-3","1","-8","0","17","48","7","75"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","C.T. Pan","37","66","68","73","72","279","-1","28160","5","5","32","37","37","19","293.6","36","44","44","28.3","113","26","4","0","-5","1","12","46","13","10"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","C.T. Pan","56","75","71","74","72","292","4","19401","75","58","65","56","35","48","273.1","70","42","42","29.3","117","51","0","3","1","0","8","53","10","5"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","C.T. Pan","44","71","69","73","69","282","-2","17604","72","47","69","44","38","12","277.8","33","45","36","28.3","113","45","1","5","-8","0","12","50","10","10"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","C.T. Pan","40","76","68","70","75","289","1","33930","82","40","38","40","37","22","287.9","57","47","24","30.5","122","74","0","6","-5","0","16","42","11","10"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","C.T. Pan","8","70","68","64","70","272","-8","176800","76","43","4","8","37","29","286.3","59","54","8","29.5","118","42","0","-5","-3","0","13","54","5","30"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","C.T. Pan","68","65","74","70","73","282","2","14555","9","56","54","68","39","33","298.1","56","53","14","31.3","125","73","2","4","-4","0","11","51","7","5"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","C.T. Pan","14","72","66","67","68","273","-15","102000","107","36","19","14","36","12","301.5","38","50","27","27","108","18","-3","-6","-6","0","21","45","6","20"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","C.T. Pan","63","67","70","69","70","276","-4","12412","34","66","56","63","40","14","302","44","60","8","31.8","127","70","2","-4","-2","0","14","49","8","5"
"2017","27-Aug-17","41512","The Northern Trust","","Glen Oaks Club","7346","70","The Northern Trust","C.T. Pan","49","70","69","69","77","285","5","21595","39","25","22","49","42","8","279.9","67","43","55","29.8","119","37","-1","8","-2","0","8","53","9","10"
"2017","4-Sep-17","41520","Dell Technologies Championship","","TPC Boston","7342","71","Dell Technologies Championship","C.T. Pan","47","69","72","74","69","284","0","22779","12","34","53","47","34","52","282.6","61","46","43","29","116","34","1","3","-4","0","8","56","8","10"
"2018","15-Oct-17","41561","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","C.T. Pan","17","70","70","69","68","277","-11","101500","23","23","21","17","42","17","0","0","54","25","29.3","117","30","3","-8","-6","0","18","47","7","20"
"2018","22-Oct-17","41568","The CJ Cup at Nine Bridges","","The Club at Nine Bridges","7196","72","The CJ Cup at Nine Bridges","C.T. Pan","47","72","77","74","72","295","7","23759","51","67","56","47","44","18","0","0","53","21","32.8","131","67","-2","9","0","0","9","50","11","10"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","C.T. Pan","55","71","66","73","72","282","-2","15975","73","24","44","55","42","12","283.5","39","55","5","30.5","122","65","-2","5","-5","0","19","39","12","5"
"2018","19-Nov-17","41596","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","C.T. Pan","13","68","65","70","67","270","-12","116250","35","3","13","13","47","7","289.9","29","58","11","29.8","119","42","1","-6","-7","2","17","45","7","20"
"2018","29-Jan-18","41667","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","C.T. Pan","35","70","70","68","79","287","-1","30464","35","23","5","35","32","14","288.9","66","50","6","29.3","117","42","5","-2","-4","0","18","42","10","10"
"2018","4-Feb-18","41673","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","C.T. Pan","62","71","68","70","75","284","0","14766","65","37","42","62","35","14","295","58","58","1","32.8","131","72","2","5","-7","0","12","50","8","5"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","C.T. Pan","17","71","71","71","69","282","2","86366","36","24","31","17","32","51","295.9","38","47","14","30","120","59","3","0","-1","0","13","45","13","20"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","C.T. Pan","41","74","71","71","70","286","-2","30305","86","66","58","41","41","20","294.4","31","47","39","28.8","115","27","-1","10","-11","1","16","41","12","10"
