"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Charles Howell III","33","72","70","65","70","277","-7","25857","66","66","30","33","30","47","307.8","9","58","4","30.8","123","61","0","-3","-4","1","13","50","8","10"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Charles Howell III","5","67","69","67","65","268","-16","210750","20","28","15","5","33","27","313.4","16","58","16","29.3","117","20","-4","-4","-8","1","21","43","7","40"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Charles Howell III","7","69","72","69","68","278","-10","218167","12","25","16","7","39","12","0","0","55","7","29.5","118","48","1","-2","-9","1","16","47","8","30"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Charles Howell III","27","69","70","66","71","276","-4","39050","63","34","13","27","39","37","287.4","9","54","19","30.8","123","54","4","-2","-6","0","14","51","5","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Charles Howell III","6","67","67","66","69","269","-15","194250","7","6","5","6","38","26","297.3","4","55","10","28","112","17","-1","-6","-8","0","20","47","5","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Charles Howell III","8","71","67","66","66","270","-10","119000","88","42","27","8","26","47","297.8","25","44","56","26.8","107","7","-3","-5","-2","0","15","53","3","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Charles Howell III","58","73","68","65","69","275","-13","12198","129","107","54","58","33","69","306","4","55","24","29","116","64","1","-2","-12","1","23","37","10","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Charles Howell III","37","70","72","70","75","287","-1","26840","29","32","13","37","25","60","292.9","20","49","17","30.5","122","63","2","5","-8","0","15","43","14","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Charles Howell III","6","70","69","67","65","271","-13","207700","50","38","19","6","30","62","312","18","58","4","29.8","119","43","0","-9","-4","1","18","47","5","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Charles Howell III","55","72","68","69","72","281","1","13680","101","66","55","55","29","61","300.6","4","49","13","30.8","123","68","2","4","-5","0","10","53","7","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Charles Howell III","14","71","70","74","68","283","-1","94050","26","12","49","14","22","75","286.4","12","41","61","27.5","110","4","1","3","-5","0","12","51","7","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Charles Howell III","35","68","71","72","76","287","-1","28636","11","10","15","35","34","51","304.5","2","48","34","29.8","119","42","2","5","-8","0","18","38","15","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Charles Howell III","53","69","73","74","71","287","3","13326","5","31","53","53","35","49","301.9","1","43","27","28.5","114","49","5","3","-5","0","11","49","10","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Charles Howell III","34","68","73","70","71","282","-6","30785","11","47","50","34","29","70","311.9","2","48","54","28.5","114","29","5","-3","-8","0","19","43","8","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Charles Howell III","18","69","71","70","73","283","-5","89976","7","12","11","18","21","69","313","5","47","19","29","116","45","5","-1","-9","1","13","48","10","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Charles Howell III","3","68","66","69","67","270","-10","400200","13","2","10","3","26","57","309.6","12","49","17","28","112","19","-2","-2","-6","1","15","49","7","60"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Charles Howell III","57","69","75","71","74","289","1","13764","11","64","54","57","27","76","303","26","43","56","28","112","30","6","5","-10","2","15","39","12","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Charles Howell III","28","71","68","71","68","278","-2","40310","82","44","43","28","24","70","298.4","4","45","31","28.3","113","44","1","-3","0","0","13","49","9","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Charles Howell III","46","71","73","72","74","290","6","16900","27","50","48","46","24","71","318.8","4","46","22","30.5","122","57","5","3","-2","0","11","45","15","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Charles Howell III","52","67","71","68","72","278","-2","15158","18","35","30","52","30","70","332","1","54","6","30.5","122","67","5","-3","-4","0","15","45","11","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Charles Howell III","23","66","68","67","72","273","-11","43240","11","10","11","23","39","46","311","3","48","60","27.5","110","12","1","-7","-5","2","20","37","13","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Charles Howell III","22","66","75","68","70","279","-5","70200","2","50","23","22","29","65","288.6","10","47","35","28.3","113","24","-1","0","-4","1","17","40","14","20"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Charles Howell III","35","68","73","71","68","280","-4","36950","11","33","40","35","28","73","301.4","23","44","60","27.5","110","8","1","0","-5","1","12","49","10","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Charles Howell III","36","69","72","71","69","281","1","36057","13","29","39","36","26","58","314","11","46","38","29.3","117","34","4","-3","0","0","11","49","12","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Charles Howell III","71","73","67","75","77","292","4","11820","80","22","58","71","28","60","299","27","49","40","31.8","127","74","6","4","-6","1","10","46","14","5"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Charles Howell III","18","70","69","67","67","273","-11","68014","53","45","34","18","24","71","316.5","7","52","43","28.3","113","9","-3","-2","-6","0","21","42","8","20"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Charles Howell III","73","72","66","73","0","211","1","10472","101","41","73","0","25","0","299.3","0","39","0","31.7","95","0","4","1","-4","1","8","35","9","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Charles Howell III","14","71","69","70","69","279","-9","66000","47","21","19","14","24","63","295.5","10","50","46","28","112","4","4","-4","-9","0","20","41","11","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Charles Howell III","26","69","66","67","69","271","-9","42280","49","30","25","26","19","67","296.9","36","52","15","28.8","115","36","-1","-4","-4","0","15","51","6","10"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Charles Howell III","56","67","68","72","70","277","-11","12882","16","22","49","56","30","63","291.5","36","52","31","29","116","63","0","-2","-9","0","16","51","5","5"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Charles Howell III","71","70","71","72","73","286","2","12537","42","44","59","71","28","67","301.5","13","49","25","31.3","125","76","3","5","-6","0","10","50","12","5"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Charles Howell III","5","72","70","70","68","280","-8","239400","68","50","21","5","26","49","304.6","4","51","8","29.5","118","45","1","0","-9","1","17","43","11","40"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Charles Howell III","61","71","70","75","75","291","7","14338","33","19","45","61","29","34","311.9","4","42","13","31","124","74","4","6","-3","0","9","48","14","5"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Charles Howell III","44","70","71","72","72","285","5","18004","20","20","37","44","30","52","292.5","14","51","1","32.3","129","71","0","7","-2","0","8","52","11","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Charles Howell III","10","70","70","72","68","280","-4","126429","38","15","23","10","28","65","278.3","16","53","5","29.5","118","45","-3","3","-4","0","17","44","10","30"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Charles Howell III","21","71","68","70","71","280","-8","59141","51","23","23","21","37","56","305.9","2","52","16","29","116","32","0","2","-10","3","12","47","10","20"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Charles Howell III","5","66","70","69","70","275","-13","231825","4","12","6","5","26","69","310.9","3","59","5","30","120","56","0","-5","-8","1","16","50","5","40"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Charles Howell III","56","68","72","71","77","288","0","22200","5","13","26","56","26","75","300","7","47","37","29.3","117","52","2","2","-4","0","12","50","8","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Charles Howell III","38","75","69","71","69","284","-4","27690","122","70","55","38","22","62","317.8","3","54","4","30.5","122","68","1","1","-6","0","14","48","10","10"
