"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Chesson Hadley","72","72","68","73","0","213","0","9600","66","42","72","0","18","0","292.3","0","42","0","31.7","95","0","3","1","-4","0","13","29","11","5"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Chesson Hadley","5","65","66","67","70","268","-16","210750","7","2","2","5","26","63","310.6","21","57","22","28.8","115","14","-3","-6","-7","1","25","37","7","40"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Chesson Hadley","10","71","70","70","71","282","-5","165000","80","39","11","10","36","38","294.3","4","48","27","29.3","117","31","-1","2","-6","0","13","51","8","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Chesson Hadley","24","73","66","69","69","277","-3","45400","121","52","42","24","36","26","288.1","27","47","26","27.8","111","20","1","-2","-2","0","13","50","8","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chesson Hadley","1","68","65","67","67","267","-21","630000","4","2","1","1","38","29","290.4","26","58","6","27.5","110","7","1","-10","-12","1","24","42","5","100"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Chesson Hadley","14","75","70","67","71","283","-1","94050","115","64","19","14","34","29","276.6","28","48","14","29.3","117","32","0","0","-1","0","14","46","11","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Chesson Hadley","26","69","68","69","79","285","-3","45880","17","2","5","26","37","31","290.1","29","52","7","30.3","121","53","4","0","-7","0","14","49","7","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Chesson Hadley","56","69","73","71","80","293","5","13826","4","16","14","56","26","67","296.4","17","40","38","28","112","41","5","2","-2","0","13","42","16","5"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Chesson Hadley","38","72","67","73","73","285","1","23200","55","4","22","38","35","49","274.3","37","35","76","25.5","102","1","0","1","0","0","14","45","12","10"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Chesson Hadley","13","67","69","72","67","275","-5","102467","10","16","29","13","32","36","282.1","32","51","2","29.3","117","57","4","-2","-7","0","15","48","8","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Chesson Hadley","70","74","69","70","78","291","7","16000","102","68","61","70","34","44","276.5","41","42","65","29.3","117","53","0","6","1","0","12","45","11","5"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Chesson Hadley","9","66","73","67","69","275","-9","185143","3","17","11","9","34","57","296.9","36","49","25","28","112","12","2","-5","-6","0","18","45","9","30"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Chesson Hadley","12","68","70","68","68","274","-6","162000","4","12","10","12","32","35","307.6","22","52","10","28.8","115","23","-3","-1","-2","0","19","43","8","20"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Chesson Hadley","57","73","69","74","71","287","-1","13260","80","47","65","57","27","63","300","22","45","58","28.3","113","21","2","-4","1","0","16","45","8","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Chesson Hadley","32","66","70","70","68","274","-6","29058","5","21","38","32","33","63","283.8","43","51","57","29","116","10","-1","-4","-1","0","19","42","9","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Chesson Hadley","65","75","75","74","69","293","5","14420","65","71","74","65","29","72","0","0","46","61","29.5","118","37","-1","3","3","0","17","36","16","5"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Chesson Hadley","20","70","73","68","70","281","-11","80000","18","29","18","20","44","8","275.5","11","59","11","31","124","27","0","-3","-8","1","18","44","9","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Chesson Hadley","10","64","69","71","68","272","-15","141100","1","4","17","10","42","12","293.5","31","56","18","28.3","113","26","-4","-7","-4","0","23","42","6","30"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chesson Hadley","16","71","70","76","67","284","-4","43500","16","4","48","16","36","33","290","5","47","37","28.8","115","22","0","0","-4","1","15","47","6","20"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Chesson Hadley","44","73","69","70","73","285","1","19470","98","45","23","44","31","51","271","43","36","71","27.5","110","14","0","2","-1","0","9","54","8","10"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Chesson Hadley","67","72","68","73","77","290","2","12915","73","29","55","67","38","48","295.4","22","45","62","28.8","115","26","5","3","-6","0","12","49","9","5"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Chesson Hadley","4","71","72","71","71","285","-3","272800","6","11","4","4","30","45","297.9","14","43","13","26.8","107","4","-2","3","-4","0","20","40","8","40"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Chesson Hadley","50","72","66","75","70","283","-5","15919","88","28","59","50","33","51","288","37","45","69","27.3","109","4","-3","2","-4","0","15","49","7","10"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Chesson Hadley","8","67","72","66","66","271","-17","193200","10","49","20","8","37","49","289.3","18","58","11","28.5","114","40","0","-6","-11","1","21","44","6","30"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Chesson Hadley","24","71","72","66","74","283","-5","81000","40","46","11","24","35","43","288.9","29","45","51","28.3","113","22","0","0","-5","0","15","49","6","20"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Chesson Hadley","20","67","77","70","68","282","-6","71621","4","70","50","20","23","60","304.6","25","48","27","28.3","113","35","6","-1","-11","1","17","43","9","20"
