"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Chris Stroud","3","67","69","68","71","275","-13","406000","4","3","1","3","39","12","0","0","50","20","27","108","2","-2","-4","-7","0","20","46","5","60"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Chris Stroud","3","66","68","66","68","268","-16","312000","4","6","5","3","44","6","277.8","44","53","21","27.8","111","13","-2","-7","-7","0","23","42","7","60"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Chris Stroud","20","68","65","70","68","271","-9","54818","25","5","18","20","28","38","296.9","29","50","16","28.3","113","27","-3","-2","-4","0","19","43","10","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Chris Stroud","19","70","67","68","72","277","-7","63302","50","16","13","19","33","38","290.8","57","44","67","27.3","109","1","0","-3","-4","0","14","51","7","20"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Chris Stroud","12","69","66","73","68","276","-4","94800","31","9","42","12","41","9","275.8","59","47","26","28","112","23","-1","1","-4","0","16","46","8","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chris Stroud","9","73","67","68","65","273","-15","94500","77","33","27","9","41","16","283.5","46","56","11","28.5","114","25","-1","-6","-8","0","20","47","5","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Chris Stroud","31","73","69","72","72","286","-2","37588","76","29","36","31","39","19","280.8","57","51","12","29","116","25","1","4","-7","1","12","51","4","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Chris Stroud","12","68","72","71","70","281","-7","125440","18","18","12","12","35","33","286","57","55","5","30.3","121","60","-1","3","-9","0","14","51","7","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Chris Stroud","48","71","71","74","70","286","2","15335","36","31","53","48","32","69","270.3","49","39","60","26.3","105","7","3","4","-5","0","14","46","9","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Chris Stroud","80","76","67","79","0","222","6","17900","123","52","80","0","27","0","275","0","28","0","28","84","0","2","5","-1","0","7","36","9","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Chris Stroud","14","70","64","69","72","275","-5","102400","42","2","1","14","30","42","288.6","60","45","51","27.3","109","6","-4","-2","1","0","18","41","13","20"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Chris Stroud","69","74","68","74","76","292","4","12400","87","37","56","69","42","11","287.6","56","45","45","29","116","51","3","7","-6","0","14","41","16","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Chris Stroud","18","67","67","68","69","271","-9","78120","28","13","14","18","40","25","293.1","34","52","18","27.5","110","7","-4","-4","-1","0","20","42","9","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Chris Stroud","4","66","66","70","69","271","-9","227036","10","2","4","4","35","51","295","40","51","22","28.5","114","22","2","-5","-6","0","16","50","5","40"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Chris Stroud","59","69","71","70","68","278","-6","10387","36","57","68","59","43","17","289.1","54","46","68","27","108","4","-1","-6","1","0","21","39","10","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Chris Stroud","64","70","73","73","71","287","3","18950","35","69","72","64","38","31","287.1","47","45","47","30","120","60","2","4","-3","0","11","48","12","5"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Chris Stroud","19","69","70","69","70","278","-6","104000","32","27","16","19","32","57","276.9","38","48","27","28.5","114","30","-3","-2","-1","0","16","46","10","20"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Chris Stroud","45","69","69","73","71","282","-2","23424","17","15","37","45","33","62","286.5","56","45","54","28.8","115","32","2","0","-4","0","12","50","10","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Chris Stroud","43","69","73","69","71","282","2","28000","13","34","34","43","33","32","298.1","50","43","51","28.5","114","16","1","2","-1","0","17","37","17","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Chris Stroud","39","70","74","71","70","285","-3","27300","23","39","43","39","39","24","0","0","51","35","28.8","115","13","0","4","-7","0","17","46","6","10"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Chris Stroud","23","69","68","69","69","275","-9","52765","45","37","17","23","38","25","282.9","34","51","17","28.5","114","50","-2","0","-7","0","19","44","8","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Chris Stroud","45","71","66","69","72","278","-9","19448","88","31","30","45","40","27","277.9","56","43","63","26","104","2","1","-4","-6","0","20","42","9","10"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Chris Stroud","30","73","71","72","69","285","1","38116","68","48","45","30","34","12","283.9","57","42","13","28.3","113","44","-1","6","-4","0","12","47","13","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Chris Stroud","27","72","73","70","71","286","-2","18736","26","42","28","27","42","5","268.3","56","48","29","29","116","29","0","4","-6","1","12","50","6","10"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Chris Stroud","17","68","68","74","69","279","-9","83490","15","12","33","17","38","21","274.8","62","53","30","28.8","115","24","-1","-6","-2","0","15","51","6","20"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Chris Stroud","69","72","67","69","78","286","2","11918","55","29","27","69","38","27","283.8","21","43","54","28.5","114","60","-1","2","1","0","10","52","9","5"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Chris Stroud","22","67","66","73","67","273","-15","64055","10","2","25","22","43","16","278.9","44","59","7","28.8","115","49","-3","-6","-6","0","22","44","5","20"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Chris Stroud","42","70","69","76","71","286","-2","31400","25","7","55","42","39","16","280.1","54","40","73","27.5","110","8","-1","0","-1","0","16","42","14","10"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Chris Stroud","31","70","68","72","74","284","-4","36766","32","16","24","31","36","50","280.6","59","42","61","27.3","109","19","-2","2","-4","0","17","45","7","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Chris Stroud","10","65","67","68","70","270","-10","147200","7","5","7","10","35","58","278.1","54","52","23","29","116","36","-3","-4","-3","0","20","42","10","30"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Chris Stroud","37","66","69","70","69","274","-6","22851","12","26","40","37","39","46","279.6","68","53","34","29.8","119","58","-1","-4","-1","0","14","50","8","10"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Chris Stroud","5","68","68","67","63","266","-18","171550","37","22","13","5","45","22","275.5","42","53","27","26.8","107","3","-4","-11","-3","0","25","40","7","40"
