"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Daniel Berger","28","72","71","78","66","287","7","59588","50","33","57","28","41","21","294.6","21","49","2","32","128","63","6","-1","2","0","11","44","16","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Daniel Berger","22","68","69","69","67","273","-7","46760","29","28","38","22","42","18","288.9","25","57","15","29.8","119","27","-4","2","-5","0","18","45","7","20"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Daniel Berger","51","70","71","73","72","286","-2","9360","27","35","45","51","26","57","310.8","2","50","46","30","120","48","0","4","-6","0","15","44","13","5"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Daniel Berger","51","65","74","74","67","280","-4","14445","1","58","65","51","37","31","291.5","11","50","22","29.3","117","64","-1","0","-3","0","14","48","10","5"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Daniel Berger","13","68","66","68","67","269","-11","105000","32","20","25","13","32","26","309.1","7","52","15","29.3","117","46","0","-6","-5","0","16","51","5","20"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Daniel Berger","10","65","69","71","69","274","-10","157500","2","2","8","10","33","47","305.9","7","52","10","29","116","53","0","-6","-4","0","14","54","4","30"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Daniel Berger","24","70","68","77","70","285","-3","55440","30","6","46","24","25","55","300.3","9","49","15","29.5","118","45","3","3","-9","1","18","37","15","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Daniel Berger","10","67","66","69","70","272","-15","141100","19","4","6","10","44","6","304.4","11","58","6","29.8","119","48","-1","-1","-13","0","22","44","5","30"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Daniel Berger","2","68","71","71","64","274","-6","658800","6","10","12","1","36","17","295.8","5","49","10","28.8","115","29","-2","-3","-1","0","16","46","10","75"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Daniel Berger","13","73","68","68","69","278","-10","118125","85","40","23","13","30","69","303.1","7","49","41","28.5","114","20","-2","6","-14","2","17","43","8","20"
