"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","David Lingmerth","64","73","78","73","71","295","7","14630","44","71","70","64","35","40","0","0","47","39","29.5","118","48","5","0","2","0","13","43","13","5"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","David Lingmerth","78","69","68","69","72","278","-10","10431","48","48","54","78","33","69","286.9","60","51","65","27.8","111","33","0","-2","-8","1","14","51","6","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","David Lingmerth","47","72","70","75","72","289","1","15479","63","32","54","47","35","10","278.1","56","47","30","30.3","121","57","-1","4","-2","1","10","48","13","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","David Lingmerth","42","72","68","68","73","281","-3","21080","84","48","29","42","28","70","307.5","27","49","42","29.5","118","34","-2","-1","0","0","17","42","12","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","David Lingmerth","29","70","69","70","71","280","-4","42601","35","23","29","29","30","39","292.8","42","43","42","27.8","111","24","-3","5","-6","0","15","46","11","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","David Lingmerth","8","69","68","68","70","275","-5","168000","31","23","17","8","34","33","283.9","40","45","41","27","108","9","1","-4","-2","0","16","47","7","30"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","David Lingmerth","58","73","72","71","74","290","6","12426","70","64","58","58","30","50","256.1","72","57","1","33.5","134","75","4","2","0","0","9","49","13","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","David Lingmerth","52","75","71","69","74","289","1","14539","98","66","42","52","36","40","295.1","22","42","71","28.3","113","15","0","4","-3","0","13","47","10","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","David Lingmerth","5","72","69","66","66","273","-7","216960","82","60","25","5","29","48","286.9","64","48","33","28","112","15","0","-2","-5","0","16","47","9","40"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","David Lingmerth","49","72","72","70","73","287","-1","15149","45","64","47","49","42","11","300","33","43","56","27.5","110","24","3","2","-6","1","17","38","14","10"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","David Lingmerth","69","77","63","71","77","288","8","11658","149","64","50","69","28","58","277","52","40","54","27.5","110","25","0","7","1","0","14","40","15","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","David Lingmerth","16","67","68","69","69","273","-7","91186","18","8","12","16","34","55","301.1","26","47","54","27.5","110","7","1","-7","-1","0","15","49","8","20"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","David Lingmerth","74","67","70","73","71","281","1","10123","19","47","67","74","34","48","310","15","51","41","30","120","54","-1","8","-6","1","14","42","14","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","David Lingmerth","17","68","68","70","73","279","-9","93000","4","4","7","17","31","37","292.3","50","51","27","28.8","115","29","0","-2","-7","0","17","48","6","20"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","David Lingmerth","14","68","67","70","66","271","-9","100800","29","10","27","14","41","25","283.9","41","55","29","29","116","10","-2","-4","-3","0","17","48","6","20"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","David Lingmerth","39","68","72","73","72","285","-3","27300","5","18","29","39","42","12","0","0","55","11","31","124","61","2","-3","-2","0","14","49","8","10"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","David Lingmerth","24","68","72","65","68","273","-15","46170","29","75","34","24","29","67","301.4","15","53","20","27.5","110","36","-1","-5","-9","1","19","46","6","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","David Lingmerth","41","71","67","69","70","277","-10","25840","88","46","40","41","41","19","295.8","26","53","31","29.3","117","41","-4","4","-10","0","19","45","7","10"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","David Lingmerth","25","68","75","70","69","282","2","46563","6","42","37","25","35","25","277.9","52","40","59","26.8","107","2","-3","7","-2","0","14","45","11","20"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","David Lingmerth","13","69","67","73","69","278","-10","118125","18","6","23","13","46","5","284","47","52","16","29","116","32","-3","-3","-4","0","14","54","4","20"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","David Lingmerth","44","74","71","76","74","295","7","18745","32","18","42","44","36","14","285.5","44","40","32","29.3","117","54","4","3","0","0","12","42","17","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","David Lingmerth","33","71","70","70","65","276","-4","31525","74","66","68","33","35","24","285.6","21","50","31","29.3","117","40","-1","1","-4","1","12","49","10","10"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","David Lingmerth","1","67","65","72","69","273","-15","1116000","5","1","2","1","43","11","279.6","61","49","16","26.5","106","8","-6","-4","-5","1","22","41","7","100"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","David Lingmerth","64","68","68","72","70","278","-2","13440","51","34","67","64","41","21","278.9","53","44","70","27.8","111","9","1","-2","-1","0","10","55","6","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","David Lingmerth","6","67","70","64","68","269","-11","195736","27","50","9","6","46","9","292.4","36","53","34","28.3","113","15","2","-9","-4","1","14","52","5","30"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","David Lingmerth","74","69","72","70","77","288","0","22551","18","25","33","74","48","29","292.5","48","52","67","30.8","123","35","4","-1","-3","0","16","43","10","5"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","David Lingmerth","3","68","65","68","69","270","-14","455600","27","4","4","3","41","12","294.8","30","53","29","27.5","110","3","-2","-8","-4","0","22","43","6","60"
"2015","9-Aug-15","40763","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","David Lingmerth","6","70","71","66","68","275","-5","219000","22","26","11","6","27","21","312.8","51","42","21","27","108","15","0","0","-5","0","14","49","9","30"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","David Lingmerth","12","67","70","75","66","278","-10","185400","2","4","30","12","37","23","289","45","46","44","26","104","4","0","-2","-8","0","25","34","11","20"
