"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","David Toms","36","68","68","69","70","275","-9","28875","37","28","30","36","32","36","292.3","66","62","2","31.5","126","67","0","-5","-4","1","16","47","7","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","David Toms","27","68","73","68","67","276","-4","39050","38","59","36","27","48","1","270.4","56","51","38","29.8","119","33","3","-3","-4","0","13","50","9","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","David Toms","4","72","64","67","69","272","-16","131950","61","8","5","4","49","1","268.6","67","59","3","28.3","113","20","-2","-8","-6","0","23","43","5","40"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","David Toms","37","71","71","75","70","287","-1","28160","76","41","53","37","47","1","278.3","71","50","31","30","120","57","0","2","-3","0","13","48","10","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","David Toms","53","73","73","72","69","287","3","13326","77","68","67","53","42","3","258.6","73","41","44","28.5","114","49","-1","6","-2","0","12","46","13","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","David Toms","15","73","68","67","69","277","-11","119000","102","47","28","15","43","2","262.5","74","50","37","28","112","19","-1","-4","-6","0","18","48","5","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","David Toms","48","71","68","72","69","280","0","17327","68","41","59","48","36","7","276.1","72","41","65","27.5","110","11","0","1","-1","0","13","47","11","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","David Toms","5","72","66","65","70","273","-7","216960","82","23","1","5","30","42","281.1","71","49","30","27.8","111","12","3","-7","-3","0","17","46","8","40"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","David Toms","26","69","69","68","69","275","-5","44236","53","35","30","26","43","9","282","70","51","22","28.5","114","22","-3","3","-5","0","18","45","7","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","David Toms","13","65","70","67","68","270","-14","80571","7","16","14","13","46","4","285.3","63","52","34","27.8","111","18","-1","-10","-3","0","18","50","4","20"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","David Toms","18","67","69","67","67","270","-10","66780","19","36","26","18","43","5","289.1","73","56","8","29.8","119","44","-1","-5","-4","1","15","49","7","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","David Toms","74","69","73","74","0","216","3","15120","32","59","74","0","35","0","253.2","0","36","0","31","93","0","0","2","1","0","7","37","10","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","David Toms","14","73","66","67","65","271","-9","100800","112","52","38","14","47","2","269.5","70","54","39","29","116","10","-4","-4","-1","0","14","53","5","20"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","David Toms","9","68","66","72","72","278","-10","100000","5","1","5","9","41","2","268.5","72","54","18","29.3","117","28","-4","-6","0","0","16","50","6","30"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","David Toms","24","68","71","65","69","273","-15","46170","29","60","24","24","41","9","270.6","71","53","20","27.3","109","31","-5","-3","-7","1","22","40","9","20"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","David Toms","41","70","69","76","73","288","0","23940","30","16","46","41","45","1","270.3","73","39","68","27.5","110","8","2","5","-7","0","13","46","13","10"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","David Toms","69","72","67","73","73","285","-3","13938","95","49","67","69","40","31","261.3","71","50","54","29.5","118","65","0","0","-3","0","11","54","6","5"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","David Toms","13","73","71","68","69","281","-7","187500","77","61","31","13","42","6","262.9","75","50","16","28.5","114","31","4","-5","-6","0","17","46","8","20"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","David Toms","72","72","70","73","77","292","4","13916","65","42","55","72","28","37","283.3","72","35","73","27","108","12","2","5","-3","0","10","50","10","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","David Toms","62","70","66","69","78","283","3","13020","57","15","7","62","37","7","274.8","74","37","73","27","108","17","4","3","-4","1","11","46","12","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","David Toms","20","69","67","66","70","272","-8","71936","76","34","15","20","50","1","268.6","70","52","23","28.8","115","26","-2","-3","-3","0","18","45","8","20"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","David Toms","19","69","66","72","67","274","-10","47250","25","6","32","19","42","6","269.9","79","47","72","27.5","110","4","-2","-1","-7","0","17","48","7","20"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","David Toms","32","71","71","69","70","281","-7","31133","67","56","44","32","31","34","280.8","70","50","34","28.5","114","28","3","-4","-6","0","15","49","8","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","David Toms","2","67","69","66","69","271","-17","360800","11","12","1","2","46","1","257.8","73","58","9","28.3","113","8","-2","-9","-6","0","20","49","3","75"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","David Toms","39","70","72","67","72","281","-3","27200","39","62","34","39","39","2","257","75","45","37","28.3","113","25","3","-1","-5","0","13","49","10","10"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","David Toms","39","73","69","69","74","285","-3","11400","94","40","19","39","39","18","273.3","64","56","3","31","124","65","-1","0","-2","0","14","47","11","10"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","David Toms","33","70","70","70","74","284","-4","36720","64","20","14","33","36","24","270.4","70","49","36","29","116","40","1","-1","-4","0","12","52","8","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","David Toms","14","69","73","71","69","282","-2","88631","15","39","24","14","34","22","270.6","61","40","40","27.3","109","23","-1","1","-2","0","14","46","12","20"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","David Toms","36","68","71","71","0","210","-6","28029","17","26","36","0","34","7","264","81","36","61","27.7","83","16","-2","-2","-2","0","13","34","7","10"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","David Toms","71","72","73","75","75","295","7","14089","53","62","67","71","30","29","258.4","78","41","51","29","116","47","3","8","-4","0","14","39","17","5"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","David Toms","25","67","69","70","71","277","-3","53433","9","15","20","25","35","18","275.5","66","48","35","28.8","115","27","2","1","-6","0","15","45","12","20"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","David Toms","26","70","69","68","71","278","-2","44950","40","35","16","26","37","3","274.1","69","43","37","28.3","113","45","-1","3","-4","0","12","50","10","10"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","David Toms","11","67","66","67","71","271","-13","65333","10","4","2","11","43","9","266","70","52","39","27.8","111","10","-1","-7","-5","0","19","47","6","20"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","David Toms","73","67","71","70","75","283","3","12804","9","43","56","73","42","10","270.4","72","47","62","29.5","118","37","-3","5","1","0","9","51","12","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","David Toms","50","72","68","72","72","284","-4","9984","84","41","51","50","37","3","271.9","74","42","75","27.3","109","3","1","-1","-4","0","13","50","9","10"
