"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Derek Ernst","61","71","72","73","72","288","0","44250","28","31","53","61","34","39","0","0","49","42","29.5","118","52","-2","6","-4","1","11","47","13","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Derek Ernst","69","69","70","72","72","283","-1","12000","24","47","64","69","42","10","274","49","49","47","29.5","118","54","-1","2","-2","0","11","53","6","5"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Derek Ernst","30","79","76","76","70","301","9","61000","30","30","30","30","50","3","271.9","16","48","30","32.8","131","29","6","7","-4","0","10","45","15","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Derek Ernst","69","72","69","72","74","287","3","12276","84","63","70","69","33","38","308.1","25","49","42","31","124","68","2","3","-2","0","14","44","11","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Derek Ernst","33","66","69","71","72","278","-2","30375","6","9","24","33","38","16","293.8","17","47","26","29.3","117","47","1","4","-7","1","12","48","10","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Derek Ernst","34","71","71","71","69","282","-6","30785","54","67","64","34","43","2","300.6","18","49","46","28.8","115","41","-1","0","-5","0","21","36","15","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Derek Ernst","30","73","68","70","74","285","-3","40106","67","17","22","30","29","29","301.1","28","51","3","29.8","119","60","3","-5","-1","0","12","51","9","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Derek Ernst","82","71","69","72","0","212","2","11310","92","69","82","0","25","0","302.8","0","30","0","27.7","83","0","0","0","2","0","8","37","8","5"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Derek Ernst","63","69","71","68","71","279","-5","9964","36","57","57","63","37","63","306","11","46","68","28","112","24","0","-1","-4","0","14","50","7","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Derek Ernst","70","70","69","73","72","284","4","11457","67","50","69","70","34","48","289.4","13","44","48","29.3","117","62","2","5","-3","0","12","45","14","5"
