"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Dicky Pride","35","66","72","74","75","287","0","29139","6","6","18","35","43","5","262.8","58","46","40","28.5","114","12","2","1","-3","0","14","47","8","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Dicky Pride","27","70","70","66","68","274","-10","30628","63","57","35","27","38","58","281.4","69","48","60","27","108","4","-4","-1","-5","1","19","42","9","10"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Dicky Pride","7","66","71","70","63","270","-10","183825","5","28","28","7","39","14","275.1","53","45","37","26.8","107","7","-2","-5","-3","0","17","48","7","30"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Dicky Pride","64","68","72","68","78","286","-1","14416","28","72","51","64","40","27","280.6","55","50","42","29.3","117","41","-1","5","-5","1","14","44","11","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Dicky Pride","27","70","74","70","72","286","-2","18736","5","31","20","27","36","33","263","71","42","64","27.5","110","7","1","0","-3","0","12","50","10","10"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Dicky Pride","62","69","68","68","74","279","-9","12354","51","35","35","62","38","24","278.4","70","48","56","27.8","111","42","3","-3","-9","2","15","46","8","5"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Dicky Pride","60","71","75","68","74","288","1","15050","68","111","54","60","37","40","282.8","52","40","65","27.8","111","22","1","5","-5","0","14","45","11","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Dicky Pride","70","70","72","71","80","293","5","12400","21","30","29","70","40","15","277.9","54","38","67","27.8","111","27","2","7","-4","1","10","46","13","5"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Dicky Pride","58","70","70","72","0","212","-4","15330","45","38","58","0","27","56","266.5","78","36","61","28","84","30","0","1","-5","0","13","33","7","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Dicky Pride","62","71","69","69","70","279","-5","7315","77","63","61","62","36","50","288.5","36","52","39","29.5","118","50","0","-3","-2","0","14","49","9","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Dicky Pride","52","70","69","69","70","278","-6","11256","71","59","58","52","46","10","273.8","66","53","35","29.3","117","41","-4","-3","1","0","14","50","8","5"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Dicky Pride","33","66","70","65","70","271","-9","27751","8","35","18","33","35","34","316.4","21","51","64","28.8","115","9","-4","-3","-2","0","20","43","7","10"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Dicky Pride","29","66","70","71","74","281","-7","26705","5","8","14","29","33","13","277","69","48","53","28","112","15","-5","1","-3","1","14","49","7","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Dicky Pride","68","71","70","70","73","284","-4","6090","71","69","56","68","43","11","275.3","71","52","55","30","120","51","-2","3","-5","2","9","52","9","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Dicky Pride","18","68","68","68","67","271","-13","42778","23","29","29","18","42","11","287.8","51","55","34","29.5","118","44","-1","-3","-9","1","17","48","6","20"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Dicky Pride","50","66","70","69","69","274","-6","13549","18","44","50","50","38","24","296","67","52","55","29.5","118","29","-3","1","-4","0","15","48","9","10"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Dicky Pride","35","71","70","71","70","282","-6","13856","52","47","36","35","38","58","274.5","72","40","72","26.3","105","3","1","-3","-4","0","14","51","6","10"
