"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Dustin Johnson","1","69","63","66","66","264","-24","1400000","8","1","1","1","39","13","0","0","61","1","26.8","107","5","-4","-12","-8","2","28","37","2","100"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Dustin Johnson","6","70","66","69","73","278","-14","198750","11","2","1","6","34","30","297","1","60","2","31.5","126","22","0","-2","-12","1","22","39","10","30"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Dustin Johnson","2","68","73","70","66","277","-10","580800","22","39","11","2","30","62","310.9","1","47","33","27.5","110","1","5","-5","-10","1","17","46","7","75"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Dustin Johnson","2","66","70","69","66","271","-13","723600","1","5","6","2","34","12","302.1","15","53","1","29.3","117","55","1","-5","-9","0","19","47","6","75"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Dustin Johnson","4","69","74","73","72","288","0","395000","2","1","6","4","29","20","328.8","1","44","15","28.3","113","18","3","3","-6","1","13","45","11","40"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Dustin Johnson","59","68","74","72","74","288","0","22000","12","37","32","59","34","53","305.9","2","48","28","30","120","64","-2","8","-6","0","14","46","10","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Dustin Johnson","7","69","69","68","66","272","-8","207863","29","25","18","7","23","67","315.3","10","50","11","28","112","19","-7","6","-7","1","19","41","9","30"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Dustin Johnson","14","65","70","74","66","275","-5","102400","1","4","50","14","35","14","315.3","3","51","16","29.5","118","46","1","-3","-3","0","14","50","7","20"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Dustin Johnson","46","73","68","72","73","286","-2","18063","64","24","39","46","34","60","324.1","1","47","31","28.3","113","36","4","0","-6","1","14","45","10","10"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Dustin Johnson","24","68","67","75","67","277","-3","49445","24","8","43","24","27","64","310.9","1","45","31","28","112","36","-2","4","-5","2","12","47","9","20"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Dustin Johnson","4","69","69","70","73","281","1","326310","6","5","4","4","31","65","312.3","4","43","31","28.8","115","11","3","4","-6","0","11","49","12","40"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Dustin Johnson","31","66","66","71","71","274","-6","32296","16","9","20","31","36","54","306.5","5","51","25","28.5","114","30","-3","-1","-2","0","17","45","9","10"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Dustin Johnson","12","71","65","71","72","279","-9","144654","33","2","3","12","32","53","310.3","4","50","16","28.5","114","20","-2","-4","-3","0","17","48","6","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Dustin Johnson","4","69","67","68","66","270","-17","281067","50","26","17","4","40","27","313.6","6","49","48","26.3","105","3","-3","-4","-10","0","24","41","7","40"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Dustin Johnson","2","70","72","67","69","278","-6","589600","17","26","7","1","22","68","314.9","1","45","5","27.8","111","35","1","0","-7","0","15","48","9","75"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Dustin Johnson","1","68","73","69","69","279","-9","1570000","3","6","2","1","27","41","328.3","1","52","1","28","112","11","-4","1","-6","1","17","44","10","100"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Dustin Johnson","6","78","72","68","68","286","-2","215450","79","66","18","6","28","56","324.4","1","46","4","30","120","69","4","4","-10","0","18","39","14","30"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Dustin Johnson","6","70","67","73","69","279","-9","335000","12","3","5","6","34","45","297","30","43","49","26.5","106","1","3","2","-14","3","18","39","9","30"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Dustin Johnson","43","67","70","68","72","277","-11","22770","10","23","20","43","33","63","311","2","51","47","28","112","32","3","-7","-7","0","15","54","2","10"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Dustin Johnson","69","72","72","75","72","291","3","20000","60","61","68","69","31","62","311.5","1","47","37","29.3","117","52","2","8","-7","1","15","42","11","5"
