"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Eric Axley","48","71","70","68","71","280","0","13671","94","59","36","48","36","54","276.5","39","46","64","28.8","115","15","1","4","-5","0","12","48","12","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Eric Axley","24","68","66","72","72","278","-10","29050","4","3","15","24","31","64","284.5","41","51","33","28","112","13","-3","3","-10","0","22","38","12","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Eric Axley","77","72","70","77","0","219","6","10431","45","22","77","0","20","0","263.3","0","31","0","29.7","89","0","2","6","-2","0","8","34","10","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Eric Axley","81","68","73","74","0","215","5","12282","13","67","81","0","19","0","299.5","0","30","0","28.7","86","0","-1","9","-3","0","7","36","10","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Eric Axley","42","64","67","71","73","275","-5","22320","4","5","14","42","28","77","286.6","59","46","61","27.5","110","7","0","-1","-4","0","15","49","6","10"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Eric Axley","34","68","68","71","69","276","-4","26980","32","20","28","34","32","57","270.3","68","35","73","26","104","2","-1","1","-4","1","13","47","11","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Eric Axley","22","67","70","68","68","273","-7","46760","13","28","27","22","29","69","291.6","19","49","64","28.8","115","6","0","-2","-5","0","14","52","5","20"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Eric Axley","60","68","72","67","75","282","-5","14892","28","72","40","60","39","38","291.4","34","43","63","27.3","109","10","-1","0","-4","2","13","45","12","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Eric Axley","22","71","72","76","66","285","-3","28800","16","21","66","22","31","62","280","28","38","75","27","108","4","1","3","-7","2","12","46","11","20"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Eric Axley","45","70","69","72","69","280","0","16817","57","39","55","45","30","43","298.4","23","48","11","28.5","114","56","-1","2","-1","0","15","45","10","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Eric Axley","71","68","70","70","73","281","1","12736","51","59","67","71","33","64","279","52","48","56","29.5","118","50","1","0","0","0","11","49","12","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Eric Axley","32","68","67","70","68","273","-7","37922","48","26","40","32","42","25","283.3","61","50","59","27.5","110","7","0","-6","-1","0","19","43","8","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Eric Axley","58","67","68","75","74","284","-4","12760","8","6","38","58","22","70","272.3","77","39","76","26.5","106","9","1","5","-10","3","10","49","8","5"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Eric Axley","83","69","71","72","0","212","0","9861","65","68","83","0","30","0","286.8","0","41","0","31.3","94","0","0","3","-3","1","10","33","8","5"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Eric Axley","58","69","68","74","73","284","4","13702","26","15","46","58","27","54","282.4","57","40","57","28.3","113","45","0","6","-2","0","12","45","14","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Eric Axley","57","69","68","75","73","285","-3","9198","38","14","51","57","25","58","274.4","71","44","71","28","112","15","0","1","-4","0","14","49","8","5"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Eric Axley","34","68","71","72","74","285","-3","20353","10","17","23","34","32","28","278.6","54","47","41","28.3","113","23","1","0","-4","0","13","50","8","10"
"2018","11-Feb-18","41680","AT&T Pebble Beach Pro-Am","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach Pro-Am","Eric Axley","47","69","67","74","73","283","-4","18778","43","13","41","47","40","23","268","75","45","61","28.8","115","35","1","0","-5","1","14","45","12","10"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Eric Axley","54","72","71","72","71","286","-2","6810","73","65","62","54","41","44","289.5","48","42","61","28.3","113","37","1","7","-10","1","16","41","12","5"
