"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Gary Woodland","2","68","70","67","69","274","-14","756000","9","7","3","1","38","21","0","0","56","4","28.5","114","22","3","-7","-10","0","22","43","6","75"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Gary Woodland","13","71","70","67","73","281","-11","130000","18","13","5","13","46","19","285.1","5","60","2","31.3","125","19","2","-3","-10","1","19","44","6","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Gary Woodland","38","69","71","65","68","273","-15","21660","48","91","45","38","39","30","305","10","53","47","26.8","107","11","-3","-3","-9","0","25","39","6","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Gary Woodland","10","65","73","70","74","282","-6","135217","2","6","1","10","30","30","296.3","9","50","12","30","120","51","-4","4","-6","1","16","45","8","30"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Gary Woodland","37","67","72","72","69","280","-4","27900","19","38","54","37","33","38","321.9","8","43","71","28.3","113","13","2","-6","0","0","16","44","12","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Gary Woodland","16","72","78","71","71","292","4","90667","15","34","28","16","28","24","302.9","9","45","8","28.8","115","29","2","5","-3","0","11","47","13","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Gary Woodland","8","72","71","70","69","282","-2","148200","45","35","24","8","30","50","291.4","6","49","12","30","120","57","-1","2","-3","0","10","54","8","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Gary Woodland","20","73","71","70","70","284","-4","67167","76","46","36","20","37","31","300.1","9","56","2","31.3","125","70","4","0","-8","0","13","52","5","20"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Gary Woodland","26","70","77","69","76","292","4","66600","5","37","14","26","37","29","296.9","9","37","46","28.8","115","13","5","6","-7","1","12","42","16","10"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Gary Woodland","18","71","72","68","72","283","-5","89976","23","39","22","18","24","64","317.3","2","45","29","28.3","113","25","2","-6","-1","0","15","47","10","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Gary Woodland","11","67","71","70","72","280","-8","240000","4","4","5","11","38","22","281.6","46","48","28","27","108","4","-4","3","-7","0","21","39","11","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Gary Woodland","7","68","67","66","71","272","-8","207863","13","10","3","7","29","43","319.3","3","47","28","27.8","111","16","-1","-8","1","0","16","49","6","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Gary Woodland","57","71","68","75","75","289","1","13764","28","10","47","57","36","46","310.3","12","49","13","29","116","51","6","-3","-2","1","14","44","9","5"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Gary Woodland","52","72","71","75","74","292","12","24514","50","33","46","52","34","58","301.4","10","43","31","30.3","121","35","3","10","-1","0","10","44","15","5"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Gary Woodland","46","72","71","69","78","290","6","16900","43","40","15","46","29","53","310.3","14","44","39","29.5","118","41","-2","3","5","0","11","46","13","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Gary Woodland","72","69","70","69","75","283","3","12740","53","49","56","72","38","35","307.9","10","43","67","29.3","117","39","2","6","-5","1","10","47","13","5"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Gary Woodland","39","75","69","72","71","287","-1","36253","105","31","38","39","33","47","285.6","28","48","32","30.8","123","61","1","6","-8","1","10","51","9","10"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Gary Woodland","19","70","68","68","70","276","-4","89000","28","18","10","19","25","59","320.4","4","47","19","28.3","113","31","2","-2","-4","0","14","48","10","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Gary Woodland","13","73","66","69","68","276","-8","160000","90","27","16","13","33","51","299.8","2","52","8","28.3","113","24","-1","-4","-3","0","17","48","5","20"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Gary Woodland","29","71","70","73","65","279","-5","50867","39","33","56","29","39","28","308.8","6","51","21","29.3","117","46","4","-6","-3","0","19","41","10","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Gary Woodland","23","67","73","68","69","277","-3","69200","1","20","17","23","29","50","319.3","7","49","17","30.3","121","58","0","3","-6","0","16","43","13","20"
"2014","14-Sep-14","40434","Tour Championship","","East Lake G.C.","7307","70","Tour Championship","Gary Woodland","9","71","75","63","67","276","-4","231667","20","25","13","9","26","25","303.5","6","42","19","27.3","109","3","0","3","-7","2","9","52","9","30"
