"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","George Coetzee","74","75","77","74","71","297","9","41000","64","74","75","74","30","61","0","0","39","72","29.3","117","44","4","8","-3","1","10","47","7","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","George Coetzee","16","74","74","73","71","292","4","90667","33","21","28","16","26","37","295","33","40","46","27.5","110","7","2","2","0","1","9","48","13","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","George Coetzee","18","70","69","74","68","281","-7","105073","19","9","23","18","30","59","271.3","63","47","40","28.5","114","20","-5","2","-4","0","17","45","10","20"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","George Coetzee","12","72","73","69","69","283","-5","108000","28","37","19","12","36","23","0","0","47","27","28.3","113","26","-1","4","-8","0","18","41","13","20"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","George Coetzee","70","72","73","72","77","294","14","22652","52","60","46","70","41","40","298.1","56","51","30","34.8","139","75","3","10","1","0","8","45","16","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","George Coetzee","7","74","65","70","67","276","-12","293000","71","10","13","7","29","70","282.5","66","44","55","25.5","102","1","-2","-1","-9","1","21","39","11","30"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","George Coetzee","38","65","69","69","69","272","-8","23220","11","22","36","38","35","39","301.3","19","49","58","28.3","113","6","3","-5","-6","2","18","39","12","10"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","George Coetzee","57","72","76","76","75","299","11","53000","28","52","57","57","27","47","286.9","53","46","29","31.3","125","59","3","11","-3","0","8","47","15","5"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","George Coetzee","35","71","69","73","71","284","-4","15113","52","21","36","35","34","40","297.5","8","43","63","28.3","113","13","0","4","-8","0","15","48","7","10"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","George Coetzee","73","71","69","77","75","292","4","16490","58","43","70","73","36","52","291","31","51","19","30.3","121","74","5","1","-2","0","11","50","9","5"
"2016","3-Jul-16","41092","WGC - Bridgestone Invitational","WGC-Bridgestone Invitational","Firestone C.C. (South)","","70","WGC - Bridgestone Invitational","George Coetzee","21","71","72","71","69","283","3","91000","26","27","26","21","23","36","322.9","14","39","28","28.3","113","28","3","2","-2","0","10","50","11","20"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","George Coetzee","32","73","71","77","63","284","-4","34220","55","36","74","32","21","72","322.5","13","38","68","26.8","107","13","0","2","-6","1","17","41","11","10"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","George Coetzee","60","72","67","74","68","281","1","20000","81","34","77","60","29","76","310.3","3","50","59","30.5","122","47","1","1","-1","0","15","41","16","5"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","George Coetzee","40","69","79","68","72","288","0","62000","14","55","37","40","32","39","0","0","40","68","26.8","107","4","1","4","-5","0","15","45","9","10"
