"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Gonzalo Fernandez-Castano","39","67","71","70","76","284","-4","58000","2","5","14","39","40","7","0","0","54","20","30.5","122","66","0","-3","-1","0","14","49","8","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Gonzalo Fernandez-Castano","35","71","70","71","69","281","-3","33031","59","40","50","35","33","18","267","75","39","67","26.8","107","12","0","2","-5","1","12","49","9","10"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Gonzalo Fernandez-Castano","24","71","69","68","69","277","-3","45400","81","66","42","24","30","56","285.3","37","45","41","28.3","113","30","-3","2","-2","0","14","47","11","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Gonzalo Fernandez-Castano","54","77","77","77","70","301","13","51000","58","57","64","54","26","37","290","45","35","62","28.5","114","23","6","12","-5","0","11","42","15","5"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Gonzalo Fernandez-Castano","35","66","77","74","70","287","-1","28636","4","39","58","35","35","46","289.1","31","48","34","30","120","47","2","3","-6","0","18","39","13","10"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Gonzalo Fernandez-Castano","26","75","69","74","74","292","4","66600","53","15","18","26","39","19","291.5","21","42","29","28.8","115","13","1","4","-1","0","12","44","16","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Gonzalo Fernandez-Castano","53","74","71","67","75","287","3","13326","92","58","22","53","29","75","276.4","30","36","73","27","108","16","2","6","-5","1","10","47","13","5"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Gonzalo Fernandez-Castano","38","67","77","72","70","286","-2","38000","4","64","52","38","33","59","282.4","43","43","63","26.8","107","3","1","0","-3","0","19","40","10","10"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Gonzalo Fernandez-Castano","75","73","70","79","77","299","11","11718","64","48","74","75","32","67","296.9","37","40","71","28.8","115","47","2","9","0","0","14","40","12","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Gonzalo Fernandez-Castano","46","67","70","71","73","281","1","16443","10","21","29","46","36","16","277.1","51","47","20","29.3","117","57","-2","2","1","0","12","49","9","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Gonzalo Fernandez-Castano","26","68","68","71","66","273","-7","45880","40","28","44","26","37","47","294.1","29","52","18","29","116","44","-1","-3","-3","0","17","46","8","10"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Gonzalo Fernandez-Castano","64","68","71","70","71","280","0","13585","31","49","61","64","30","70","305.5","15","50","29","30","120","60","1","2","-3","0","10","53","8","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Gonzalo Fernandez-Castano","4","67","67","69","66","269","-11","235600","16","9","9","4","39","14","282.1","37","53","3","28.3","113","44","-2","-5","-4","1","21","40","8","40"
