"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Graham Delaet","7","72","67","68","71","278","-10","218167","30","13","6","7","38","21","0","0","51","16","28.3","113","15","-3","0","-7","0","21","42","7","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Graham Delaet","6","71","68","65","69","273","-15","231500","28","11","4","6","40","7","0","0","58","7","29.3","117","44","-1","-4","-10","0","21","46","4","30"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Graham Delaet","2","70","73","69","68","280","-8","366000","29","50","13","2","26","55","302","2","52","5","29.8","119","48","1","0","-9","1","16","45","10","75"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Graham Delaet","2","67","72","65","65","269","-15","545600","19","38","12","2","35","24","325.1","6","60","1","30","120","49","-3","-6","-6","1","20","44","7","75"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Graham Delaet","70","70","73","72","73","288","4","13199","35","68","69","70","29","45","299.8","23","48","18","31.5","126","76","0","8","-4","0","13","42","17","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Graham Delaet","34","78","72","70","74","294","6","68500","62","34","21","34","32","6","300.9","15","45","8","29.8","119","51","5","5","-4","0","12","46","11","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Graham Delaet","8","75","68","71","68","282","-2","148200","115","35","38","8","30","50","305.4","1","48","14","28.5","114","9","-1","3","-4","0","16","44","10","30"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Graham Delaet","19","70","71","72","70","283","-5","77568","59","27","23","19","37","23","298.9","26","48","43","28.3","113","9","2","0","-7","1","13","49","8","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Graham Delaet","29","69","68","71","73","281","-7","44200","20","12","28","29","38","17","301","15","63","1","31.8","127","74","-1","-1","-5","0","13","54","4","10"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Graham Delaet","7","68","66","68","70","272","-8","207863","13","2","6","7","32","30","318.9","4","52","6","29.8","119","63","0","-3","-5","0","13","54","5","30"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Graham Delaet","14","69","70","68","68","275","-5","102400","24","36","25","14","40","1","314.9","4","51","16","29.5","118","46","3","-5","-3","1","12","50","9","20"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Graham Delaet","51","70","68","71","68","277","-3","14591","76","52","67","51","36","54","297.3","22","51","25","30.3","121","67","3","-4","-2","0","11","54","6","5"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Graham Delaet","7","69","63","70","68","270","-10","183825","44","3","5","7","39","14","290.3","10","49","16","27.8","111","24","1","-3","-8","1","19","41","11","30"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Graham Delaet","15","69","68","68","70","275","-9","127889","20","9","10","15","34","55","299.3","11","52","9","29","116","46","-5","-1","-3","0","22","39","9","20"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Graham Delaet","50","71","74","67","71","283","-1","19017","39","70","40","50","33","62","309.1","5","49","25","29.5","118","50","2","-1","-2","0","13","48","10","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Graham Delaet","11","68","68","69","68","273","-7","200000","4","5","7","11","31","40","324.1","1","49","17","28.5","114","16","4","-9","-2","0","20","41","10","20"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Graham Delaet","39","71","70","71","72","284","-4","23400","43","36","38","39","35","15","302.8","14","52","17","29.8","119","57","-3","7","-8","0","15","47","9","10"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Graham Delaet","30","68","70","66","70","274","-14","31091","29","47","24","30","28","69","300.9","18","51","40","27.5","110","36","-3","-1","-10","0","19","48","5","10"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Graham Delaet","7","67","70","69","67","273","-11","211050","9","10","17","7","42","9","299.4","20","52","10","27.5","110","16","-2","0","-9","0","20","43","9","30"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Graham Delaet","57","76","65","64","76","281","-6","15232","147","90","24","57","39","38","303.9","14","54","26","30.5","122","62","1","-1","-6","1","16","44","10","5"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Graham Delaet","8","70","67","70","73","280","-4","187600","17","2","2","8","36","6","297.9","21","41","20","27.3","109","21","-4","9","-9","1","16","42","12","30"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Graham Delaet","42","67","67","75","73","282","-6","21236","8","4","26","42","34","47","311.4","2","52","35","29.3","117","35","2","0","-8","0","19","44","8","10"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Graham Delaet","56","75","69","70","74","288","0","22200","109","61","46","56","31","62","285.8","40","50","16","30.3","121","70","-1","7","-6","1","10","51","9","5"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Graham Delaet","53","70","68","67","74","279","-1","14976","56","25","17","53","34","30","289.1","12","51","25","29.5","118","44","-1","1","-1","0","9","55","8","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Graham Delaet","22","69","66","67","67","269","-8","62303","33","26","29","22","33","34","296.5","16","52","9","28.5","114","32","-2","-1","-5","0","17","46","9","20"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Graham Delaet","26","69","69","72","73","283","-5","45880","21","16","24","26","40","30","295.6","23","50","13","28.8","115","45","0","-2","-3","0","18","41","13","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Graham Delaet","4","67","66","64","69","266","-14","307200","27","8","2","4","45","8","291.6","25","53","19","27.8","111","9","0","-8","-6","2","16","49","4","40"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Graham Delaet","37","68","70","67","69","274","-6","22851","48","62","40","37","42","25","298.1","18","59","2","31.5","126","77","1","-4","-3","0","16","47","8","10"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Graham Delaet","68","71","73","68","75","287","-1","23331","41","61","45","68","55","3","313.3","5","59","13","32.5","130","75","0","4","-5","1","12","49","7","5"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Graham Delaet","32","67","68","69","77","281","-7","31133","7","2","4","32","35","10","319.1","3","57","5","30","120","68","1","-6","-2","0","17","47","6","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Graham Delaet","33","66","72","69","72","279","-9","21662","6","25","19","33","28","61","284.1","19","55","25","29.5","118","39","1","-8","-2","0","21","41","8","10"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Graham Delaet","7","73","62","65","66","266","-14","187050","128","36","13","7","39","6","300.8","36","56","7","28.8","115","37","0","-8","-6","0","24","40","6","30"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Graham Delaet","42","67","69","69","71","276","-12","19173","18","24","35","42","37","29","303.5","14","57","3","30","120","68","-2","-5","-5","0","16","52","4","10"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Graham Delaet","69","72","71","82","75","300","12","13065","76","57","72","69","25","47","297.2","22","42","48","31.3","125","59","4","12","-4","1","12","38","17","5"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Graham Delaet","53","72","70","69","75","286","6","13862","65","45","22","53","35","31","298","19","46","22","29.3","117","40","5","-1","2","0","13","44","12","5"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Graham Delaet","5","72","66","68","75","281","-3","268400","46","3","2","5","35","5","300.8","4","50","1","29.5","118","53","2","3","-8","2","9","51","10","40"
"2016","27-Mar-16","40994","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Graham Delaet","11","70","69","70","71","280","-8","66000","34","15","12","11","39","18","310.5","1","53","10","30","120","48","0","-3","-5","0","17","46","9","20"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Graham Delaet","27","67","72","72","72","283","-5","47260","10","12","19","27","29","61","301.5","13","50","29","29","116","40","1","-3","-3","0","19","41","10","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Graham Delaet","14","69","70","72","71","282","-2","88631","15","11","13","14","34","22","268.5","65","45","10","28.5","114","48","1","0","-3","0","14","47","10","20"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Graham Delaet","77","71","71","76","78","296","8","13505","30","24","51","77","32","20","290.9","22","45","30","30.3","121","69","3","8","-3","0","11","46","11","5"
"2016","17-Jul-16","41106","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Graham Delaet","8","71","69","67","63","270","-14","101500","77","63","36","8","45","3","293.9","17","55","14","29.5","118","50","1","-6","-9","1","22","39","10","30"
"2016","28-Aug-16","41148","Barclays Classic","The Northern Trust","Bethpage State Park (Black Course)","7468","71","Barclays Classic","Graham Delaet","78","73","72","76","73","294","10","15555","69","68","79","78","36","21","303.1","18","48","29","32.3","129","78","2","10","-2","0","8","49","13","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Graham Delaet","8","66","69","68","72","275","-13","121800","5","4","3","8","36","6","310.8","12","56","6","29","116","38","-5","-2","-6","0","21","44","6","30"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Graham Delaet","54","69","70","66","73","278","-6","15180","54","66","28","54","26","65","318.6","16","56","11","30.8","123","67","-2","2","-6","0","17","45","9","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Graham Delaet","54","68","73","73","74","288","0","15008","8","21","42","54","31","30","297.1","14","45","59","29","116","23","2","4","-6","0","14","45","12","5"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Graham Delaet","9","67","69","65","71","272","-12","180900","9","11","3","9","32","41","308","28","53","17","28.8","115","24","0","-4","-8","1","22","38","10","30"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Graham Delaet","17","73","68","68","68","277","-7","98000","103","49","25","17","37","10","294.8","16","46","19","28.3","113","37","-1","-2","-4","0","19","42","10","20"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Graham Delaet","10","66","68","70","70","274","-6","172800","5","5","8","10","40","11","291.3","40","52","5","29.8","119","62","0","-2","-4","0","15","48","9","30"
"2017","12-Mar-17","41344","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Graham Delaet","22","71","71","72","67","281","-3","60480","55","52","49","22","33","27","295.3","20","52","2","29.8","119","58","1","-1","-3","0","15","47","8","20"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Graham Delaet","6","65","67","69","73","274","-10","217750","2","1","2","6","39","5","289.5","13","60","1","30.5","122","74","-1","-3","-6","1","18","45","7","30"
