"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Greg Owen","73","70","74","74","82","300","12","11834","29","66","63","73","30","30","287.6","33","47","30","32","128","73","4","8","0","1","8","45","15","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Greg Owen","56","67","74","74","75","290","3","14784","10","39","53","56","36","38","270.3","44","42","53","28.5","114","12","6","2","-5","0","11","47","14","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Greg Owen","24","69","67","71","71","278","-10","29050","11","8","20","24","43","5","278.8","50","54","17","29.8","119","58","-2","3","-11","0","18","46","8","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Greg Owen","72","76","69","74","76","295","7","12214","106","57","69","72","36","40","287","36","47","39","31.3","125","70","1","9","-3","2","9","45","12","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Greg Owen","60","70","70","70","74","284","4","12644","58","64","43","60","26","66","288.6","18","39","59","27","108","15","-4","8","0","0","11","50","9","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Greg Owen","51","72","65","71","69","277","-3","14591","120","39","55","51","40","25","298.9","19","47","55","28.5","114","30","2","-3","-2","0","13","50","8","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Greg Owen","22","72","69","69","71","281","-7","41600","70","35","19","22","33","23","291.8","19","55","16","30","120","48","1","-3","-5","0","15","49","8","20"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Greg Owen","32","70","70","72","75","287","-1","32690","30","21","21","32","33","14","297.8","15","49","15","30.5","122","62","3","3","-7","0","12","51","8","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Greg Owen","38","74","70","70","73","287","-1","11700","63","31","20","38","32","56","273.9","44","50","23","30.5","122","57","-2","5","-4","0","14","46","11","10"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Greg Owen","43","66","70","70","71","277","-11","22770","5","18","25","43","33","63","283.9","34","54","23","28.5","114","40","4","-7","-8","0","23","38","10","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Greg Owen","46","71","67","68","67","273","-4","18460","87","67","65","46","35","16","289.7","31","50","22","29.8","119","61","1","0","-5","0","17","44","9","10"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Greg Owen","2","64","70","67","70","271","-9","648000","1","4","1","2","32","30","301.3","20","53","2","28.5","114","56","0","-5","-4","0","14","53","5","75"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Greg Owen","6","65","67","70","67","269","-11","195736","6","3","12","6","41","32","290.9","41","57","8","29.3","117","39","2","-10","-3","0","17","49","6","30"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Greg Owen","20","68","73","71","69","281","-7","95938","13","25","45","20","41","75","302.3","21","54","50","29.8","119","10","0","-4","-3","1","13","51","6","20"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Greg Owen","15","66","68","73","68","275","-9","113900","10","5","33","15","39","21","297.8","22","55","16","29","116","22","0","-5","-4","0","17","48","6","20"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Greg Owen","74","69","72","74","0","215","-1","11160","29","39","74","0","23","0","310.2","0","43","0","32.7","98","0","4","-1","-4","1","10","33","9","5"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Greg Owen","43","65","74","71","69","279","-5","19968","5","48","54","43","33","23","308.6","27","53","26","30.5","122","57","-2","0","-3","0","15","47","10","10"
"2016","1-Nov-15","40847","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Greg Owen","56","70","72","69","72","283","-5","15540","33","57","48","56","41","13","0","0","49","59","29.3","117","39","3","1","-9","1","19","37","14","5"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Greg Owen","5","69","65","67","64","265","-15","220400","68","25","23","5","30","44","311.8","17","58","2","29.8","119","61","-2","-5","-8","3","19","41","8","40"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Greg Owen","49","73","69","71","81","294","6","15528","90","38","27","49","29","20","293.4","31","49","8","31.8","127","66","-1","10","-3","0","14","42","13","10"
