"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Harold Varner III","70","69","72","72","75","288","4","13199","18","40","55","70","31","30","314.8","2","45","32","31.8","127","77","3","9","-8","0","16","38","16","5"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Harold Varner III","48","65","70","69","79","283","-5","14914","3","2","4","48","23","70","319","4","51","32","29.8","119","64","2","-1","-6","1","15","45","10","10"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Harold Varner III","39","71","70","68","71","280","-8","14402","83","67","36","39","39","7","288.6","14","62","2","31.8","127","73","-2","1","-7","1","15","48","7","10"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Harold Varner III","5","70","62","68","70","270","-14","235600","59","3","3","5","43","8","297.8","3","48","53","27.8","111","20","-2","-5","-7","0","21","44","7","40"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Harold Varner III","68","66","74","69","71","280","-2","11571","10","68","62","68","34","70","296.8","3","55","33","31.5","126","70","0","4","-6","0","16","43","12","5"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Harold Varner III","13","69","68","66","65","268","-12","77604","68","66","39","13","30","44","322.3","2","44","69","26.8","107","4","-1","-3","-8","1","22","37","12","20"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Harold Varner III","31","67","76","73","76","292","4","33150","3","57","50","31","23","57","299.8","16","47","19","30.3","121","42","2","8","-6","1","12","42","16","10"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Harold Varner III","26","74","68","66","71","279","-5","44385","112","62","26","26","33","19","295.4","17","51","7","29.8","119","57","0","2","-7","0","17","45","8","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Harold Varner III","68","72","70","78","74","294","10","12036","58","39","69","68","29","59","299.5","2","33","71","28.5","114","48","2","10","-2","0","10","44","16","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Harold Varner III","9","69","72","70","69","280","-8","161200","10","19","17","9","32","59","299.5","6","47","31","27.5","110","23","-1","0","-7","0","18","44","10","30"
