"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Harris English","40","69","67","70","70","276","-8","24600","51","28","38","40","29","52","300.1","52","53","49","29.8","119","35","1","-4","-5","1","16","45","10","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Harris English","7","71","67","71","69","278","-10","218167","21","7","11","7","39","12","0","0","57","2","31","124","73","-1","-4","-5","1","16","47","8","30"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Harris English","27","68","70","71","67","276","-4","39050","38","26","36","27","36","54","290","5","54","19","31.3","125","60","-1","2","-5","0","13","51","7","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Harris English","1","68","62","68","65","263","-21","1080000","17","1","2","1","33","57","292.8","10","55","10","27","108","5","-9","-8","-4","0","27","40","4","100"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Harris English","11","70","71","70","69","280","-12","155000","11","13","16","11","45","21","288.6","2","58","10","31.3","125","19","2","-4","-10","0","19","46","7","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Harris English","4","66","66","67","67","266","-14","268800","5","4","2","4","25","57","303.1","13","45","48","26","104","3","-1","-6","-7","0","23","40","9","40"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Harris English","33","67","66","71","68","272","-16","30780","20","8","34","33","36","48","309.6","1","56","17","28.3","113","43","-2","-6","-8","1","24","38","8","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Harris English","9","65","67","69","71","272","-12","179800","3","3","3","9","37","13","314.4","16","53","20","28.5","114","17","-2","-4","-6","1","20","42","8","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Harris English","10","70","69","69","67","275","-9","174200","35","23","24","10","32","20","308.1","4","49","10","28","112","30","0","-2","-7","0","16","49","7","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Harris English","16","69","77","74","72","292","4","90667","2","11","21","16","27","29","302.1","12","48","2","30","120","54","3","3","-2","1","10","47","12","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Harris English","38","72","69","74","72","287","3","23940","45","12","49","38","28","66","287.8","8","52","3","31.5","126","71","3","6","-6","1","9","49","12","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Harris English","14","69","71","75","68","283","-5","102300","17","16","42","14","33","55","303.3","3","51","12","29.8","119","42","5","2","-12","2","18","36","15","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Harris English","31","68","73","75","68","284","0","34469","4","22","53","31","33","67","285.8","7","46","15","29","116","60","1","0","-1","0","13","47","11","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Harris English","30","66","70","73","68","277","-3","37200","2","11","50","30","26","59","300.4","18","54","3","30","120","62","-1","-2","0","0","14","49","8","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Harris English","48","69","75","75","72","291","11","26504","6","44","51","48","42","16","280.9","46","42","44","29.8","119","26","6","9","-4","1","11","39","18","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Harris English","7","66","64","72","67","269","-11","186775","16","2","14","7","34","68","300.3","16","44","67","27","108","4","1","-6","-6","1","19","42","10","30"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Harris English","74","67","73","74","69","283","-1","9071","17","57","77","74","39","46","298.4","29","50","44","29.8","119","64","-5","6","-2","0","12","51","7","5"
