"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hideto Tanihara","8","66","65","70","69","270","-10","119000","5","2","6","8","30","22","304.5","12","45","48","27","108","12","-2","-3","-5","0","20","42","10","30"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hideto Tanihara","73","66","70","69","72","277","-3","11252","20","47","59","73","38","8","289.6","63","48","53","29.3","117","54","0","0","-3","0","13","49","10","5"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Hideto Tanihara","51","70","76","74","72","292","12","27694","12","57","59","51","27","63","276.1","61","41","54","30.5","122","34","1","12","-1","0","8","47","14","5"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Hideto Tanihara","33","71","66","73","67","277","-3","45289","55","13","46","33","35","38","278.6","70","53","29","30.8","123","54","1","-1","-3","0","12","52","7","10"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Hideto Tanihara","54","73","73","73","74","293","5","49250","48","43","46","54","33","33","0","0","37","72","27.5","110","9","2","5","-2","0","8","53","9","5"
"2017","15-Jan-17","41288","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hideto Tanihara","27","67","65","67","70","269","-11","39100","38","13","10","27","32","33","312.6","22","47","59","28","112","14","-1","-5","-5","0","19","45","8","10"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Hideto Tanihara","32","75","67","67","74","283","-1","70500","61","36","18","32","33","49","287.4","61","44","44","28.8","115","33","0","3","-4","1","16","40","13","10"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Hideto Tanihara","39","67","70","72","72","281","-3","26650","11","16","31","39","39","5","266","70","41","58","28","112","37","0","3","-6","0","14","47","11","10"
"2017","6-Aug-17","41491","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Hideto Tanihara","50","74","71","71","70","286","6","51250","62","62","58","50","30","18","281","75","42","47","28.8","115","39","-2","10","-2","1","12","42","14","10"
"2017","13-Aug-17","41498","PGA Championship","","Quail Hollow Club","7600","71","PGA Championship","Hideto Tanihara","67","71","75","74","75","295","11","19900","25","60","64","67","36","26","281.4","72","31","74","27.8","111","6","3","14","-6","2","8","41","19","5"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Hideto Tanihara","20","72","70","74","69","285","-3","90250","48","29","41","20","37","17","0","0","40","69","27.5","110","5","2","0","-5","0","16","43","13","20"
