"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Hudson Swafford","30","68","69","70","67","274","-10","36450","37","37","47","30","32","36","297.5","61","61","6","31.3","125","61","0","-4","-6","1","18","45","6","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Hudson Swafford","8","70","64","69","67","270","-10","119000","65","11","18","8","32","12","306.1","9","53","7","29.3","117","55","-1","-1","-8","1","17","45","9","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Hudson Swafford","25","65","71","70","65","271","-17","41681","6","34","54","25","41","17","305.6","7","59","4","29.5","118","75","-1","-5","-11","0","25","39","8","20"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Hudson Swafford","61","67","71","68","77","283","3","13020","11","38","24","61","36","26","292.3","19","46","34","30.3","121","65","2","6","-5","1","11","46","12","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Hudson Swafford","43","72","68","69","72","281","-7","11223","61","33","34","43","35","47","299.9","9","49","48","28.3","113","20","-3","3","-7","0","15","49","8","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Hudson Swafford","43","70","74","76","68","288","0","18374","59","70","70","43","36","25","303.3","19","48","43","29.8","119","49","-1","4","-3","0","11","50","11","10"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Hudson Swafford","24","66","71","66","69","272","-8","57040","16","39","20","24","40","25","301","14","52","18","29.3","117","47","-2","-3","-3","0","17","46","9","20"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Hudson Swafford","11","69","68","73","74","284","0","125125","8","5","5","11","33","28","297.1","46","48","13","29.5","118","41","0","0","0","0","11","51","9","20"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Hudson Swafford","52","72","67","65","74","278","-2","15158","110","49","12","52","40","26","308.5","8","48","46","29.3","117","39","1","-1","-2","0","13","48","11","5"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Hudson Swafford","67","71","67","73","68","279","-1","10812","98","61","74","67","40","13","312","11","55","12","32.3","129","77","3","1","-5","0","12","50","9","5"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Hudson Swafford","8","70","69","71","67","277","-11","168000","25","12","22","8","29","54","306.6","11","51","27","28","112","15","-2","1","-10","1","20","41","9","30"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Hudson Swafford","18","69","67","68","69","273","-11","68014","38","16","18","18","44","1","303.5","42","55","19","30.3","121","62","1","-6","-6","0","21","41","10","20"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Hudson Swafford","12","70","67","66","67","270","-10","123200","59","28","12","12","38","47","291.1","20","60","4","30.5","122","44","-4","-5","-1","0","18","48","4","20"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Hudson Swafford","51","65","73","71","71","280","-4","14445","1","46","44","51","34","52","291.1","12","45","56","28.3","113","45","-4","5","-5","0","17","43","11","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Hudson Swafford","34","69","70","68","69","276","-11","33611","50","56","40","34","43","10","303.1","16","51","38","28.8","115","33","-3","-1","-7","0","17","49","6","10"
