"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jason Dufner","34","73","67","71","72","283","-5","64000","52","18","22","34","34","39","0","0","48","47","28.8","115","34","4","-1","-8","1","18","39","13","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Jason Dufner","5","67","72","69","69","277","-15","276000","5","9","5","5","50","3","268.5","20","57","13","29.8","119","12","1","-5","-11","2","18","46","5","40"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jason Dufner","29","67","68","67","70","272","-8","38080","12","17","13","29","24","60","290.9","45","45","48","27.3","109","17","-2","-2","-4","0","21","38","13","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jason Dufner","65","70","72","76","68","286","2","13869","35","55","76","65","32","20","291.1","44","48","18","29.8","119","66","5","3","-6","0","14","45","11","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jason Dufner","9","69","77","68","76","290","2","151250","2","11","2","9","36","2","291.3","41","40","46","27.3","109","3","4","4","-6","0","14","44","12","30"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jason Dufner","14","72","73","68","70","283","-1","94050","45","64","24","14","36","21","272.8","38","51","7","30.5","122","64","4","0","-5","0","13","47","12","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jason Dufner","48","69","74","72","72","287","-1","24073","19","52","37","48","36","39","282.1","44","45","47","28.8","115","47","-3","7","-5","1","17","40","10","10"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Jason Dufner","48","70","70","69","71","280","0","17327","45","52","47","48","34","20","298.1","33","54","3","31.8","127","74","0","4","-4","0","14","44","14","10"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jason Dufner","2","67","69","69","66","271","-9","691200","6","11","11","1","32","26","287.6","61","53","5","28.8","115","28","0","-6","-3","0","17","47","8","75"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Jason Dufner","19","71","69","71","72","283","-5","65238","28","17","20","19","38","34","288.9","50","48","22","29.5","118","63","1","6","-12","1","17","40","14","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Jason Dufner","51","70","74","74","71","289","1","25030","19","31","52","51","33","47","272.3","57","52","9","31.5","126","71","-1","7","-5","1","11","46","14","5"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Jason Dufner","66","70","74","73","77","294","14","43375","28","53","60","66","32","19","293.5","47","45","26","32.3","129","72","2","10","2","0","7","47","15","5"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Jason Dufner","26","74","70","69","69","282","-6","49700","54","39","29","26","46","3","0","0","51","35","28.8","115","13","1","-4","-3","1","17","42","11","10"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Jason Dufner","10","72","70","72","68","282","-6","135500","28","15","19","10","39","10","0","0","53","9","29.5","118","47","0","-3","-3","0","13","52","7","30"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jason Dufner","17","71","69","70","70","280","0","85400","35","18","12","17","36","17","272","62","46","24","28.3","113","19","0","3","-3","0","13","47","11","20"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Jason Dufner","49","79","71","71","74","295","7","55000","69","57","48","49","27","41","282.9","69","50","5","30.5","122","66","3","11","-7","0","13","45","10","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jason Dufner","24","70","71","71","70","282","-2","44643","38","27","23","24","29","61","270.9","44","41","58","27","108","4","0","1","-3","1","13","48","8","20"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Jason Dufner","49","74","71","74","73","292","4","25600","54","33","46","49","42","13","304.5","16","47","25","30.3","121","40","3","7","-6","0","17","36","17","10"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Jason Dufner","37","74","67","66","72","279","-5","25370","93","48","20","37","41","11","273","55","55","3","30.3","121","75","2","-3","-4","0","17","43","12","10"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jason Dufner","43","68","72","67","71","278","-2","18993","26","51","30","43","34","30","274.6","48","51","25","29.8","119","50","3","-5","0","0","14","46","12","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Jason Dufner","8","71","65","64","66","266","-11","213000","87","40","15","8","42","1","288.8","35","52","9","28.5","114","32","-2","-4","-5","1","15","50","6","30"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Jason Dufner","24","66","67","74","75","282","-6","57040","3","2","9","24","39","34","289","35","51","10","29.3","117","55","2","0","-8","4","14","41","10","20"
"2015","21-Jun-15","40714","U.S. Open","","Chambers Bay","7668","70","U.S. Open","Jason Dufner","18","68","72","73","70","283","3","113686","7","17","19","18","41","40","300.1","53","55","5","32.8","131","49","0","6","-3","0","15","41","14","20"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Jason Dufner","58","73","71","67","74","285","-3","24824","87","61","33","58","51","13","295.5","37","54","50","30.5","122","26","1","-1","-3","0","19","39","12","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Jason Dufner","68","71","75","69","77","292","4","18200","24","70","52","68","41","5","285.1","57","51","15","31.3","125","76","4","5","-5","0","12","45","14","5"
"2015","23-Aug-15","40777","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Jason Dufner","51","67","70","65","73","275","-5","12787","35","52","27","51","33","49","293.4","49","57","15","30.5","122","44","1","-3","-3","0","17","43","12","5"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Jason Dufner","30","66","68","69","75","278","-2","46933","5","2","7","30","33","27","300.3","40","46","57","28.3","113","5","0","0","-2","1","12","50","6","10"
"2015","7-Sep-15","40792","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7242","71","Deutsche Bank Championship","Jason Dufner","60","69","70","74","73","286","2","17820","16","21","53","60","33","50","297.6","40","52","7","30.8","123","66","4","0","-2","0","16","41","12","5"
"2016","1-Nov-15","40847","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Jason Dufner","35","69","75","69","65","278","-10","36925","24","66","59","35","35","48","0","0","53","39","28.5","114","23","1","-3","-8","1","17","46","7","10"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Jason Dufner","40","71","66","70","71","278","-6","24800","81","23","40","40","41","16","278.5","37","52","21","29","116","45","-3","2","-5","0","19","42","10","10"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Jason Dufner","9","67","70","66","69","272","-10","123500","23","21","7","9","47","7","280","34","56","22","29.8","119","29","0","-3","-7","1","13","53","5","30"
"2016","17-Jan-16","40924","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jason Dufner","9","67","67","65","68","267","-13","150800","32","25","6","9","30","44","306.8","25","57","6","29.8","119","61","-4","-2","-7","0","24","38","9","30"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Jason Dufner","1","64","65","64","70","263","-25","1044000","1","1","1","1","42","5","290.3","49","54","15","26","104","10","0","-13","-12","0","30","37","5","100"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Jason Dufner","51","71","74","69","72","286","-1","16380","68","101","54","51","39","32","285.9","45","51","9","30.5","122","67","5","0","-6","0","15","45","11","5"
