"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Jason Kokrak","12","67","65","68","73","273","-11","101250","4","2","2","12","29","53","331.5","1","49","51","28.3","113","12","1","-9","-3","2","17","43","10","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Jason Kokrak","10","69","65","69","69","272","-8","121917","63","6","8","10","35","58","294.8","2","50","43","28.5","114","10","-1","-5","-2","2","16","43","10","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jason Kokrak","20","66","67","70","68","271","-9","54818","5","5","18","20","29","32","315.1","4","48","33","29","116","50","0","-3","-6","0","17","47","8","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Jason Kokrak","15","66","69","68","73","276","-8","102300","10","12","9","15","35","24","326.6","5","46","58","28","112","10","1","-4","-5","1","21","37","11","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jason Kokrak","19","74","68","70","72","284","-3","71775","135","53","18","19","33","54","290.1","7","52","5","31.5","126","63","2","0","-5","0","14","48","9","20"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jason Kokrak","41","70","66","70","73","279","-1","22200","57","18","24","41","29","61","297.9","11","50","10","28","112","23","2","5","-8","1","15","44","8","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jason Kokrak","14","74","68","68","73","283","-1","94050","98","22","8","14","32","38","298.6","4","47","20","29.3","117","32","0","3","-4","0","14","46","11","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Jason Kokrak","4","67","71","67","73","278","-10","297600","5","5","3","4","36","40","296.1","18","49","27","28","112","8","-3","-1","-6","0","21","41","9","40"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jason Kokrak","31","71","71","77","70","289","1","36766","32","16","56","31","32","33","298.3","11","45","9","28.5","114","53","2","1","-2","0","10","53","7","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Jason Kokrak","12","71","73","66","70","280","-4","110200","36","50","12","12","36","41","296.4","2","47","12","28.3","113","44","0","1","-5","0","14","49","8","20"
