"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jim Furyk","35","70","70","73","74","287","0","29139","58","25","31","35","41","10","267.4","50","51","6","30.3","121","53","-1","0","1","0","12","48","12","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jim Furyk","23","68","68","71","72","279","-5","57955","13","5","17","23","37","6","279","65","47","24","29","116","50","-2","3","-6","0","15","47","10","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Jim Furyk","62","78","77","75","76","306","18","47000","62","59","62","62","34","5","279.9","63","44","15","32","128","67","7","11","0","0","4","50","14","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jim Furyk","20","71","69","71","73","284","0","64068","26","7","11","20","34","29","269.5","46","47","20","29.5","118","43","1","4","-5","1","10","49","12","20"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jim Furyk","6","70","74","68","71","283","-5","200725","12","33","11","6","35","24","278.9","57","46","8","28.3","113","45","0","-2","-3","0","13","51","8","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Jim Furyk","14","74","68","72","75","289","1","148500","40","7","7","14","46","2","289.6","27","47","9","30","120","30","4","4","-7","0","14","44","13","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Jim Furyk","7","71","66","71","70","278","-6","187050","36","1","3","7","41","7","265.5","62","48","9","28.8","115","55","0","-4","-2","0","9","60","3","30"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jim Furyk","2","72","69","69","65","275","-13","745200","44","17","11","2","40","2","288.1","57","49","10","27.8","111","19","-3","-3","-7","1","15","52","4","75"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Jim Furyk","2","70","68","72","66","276","-12","1080000","29","4","12","2","40","13","276","61","55","2","28.3","113","28","-2","-7","-3","0","19","46","7","75"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jim Furyk","51","69","69","71","71","280","0","15061","24","23","50","51","35","14","287","63","51","16","30.5","122","67","4","-2","-2","0","13","47","11","5"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Jim Furyk","19","73","68","72","70","283","-5","65238","64","24","39","19","37","43","285","66","45","45","27.5","110","24","1","0","-6","0","11","56","4","20"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Jim Furyk","12","73","70","73","67","283","3","156679","68","33","35","12","45","2","273.4","61","45","18","29.3","117","16","5","2","-4","0","14","41","17","20"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Jim Furyk","4","68","71","71","65","275","-13","478380","3","9","7","4","43","2","285.9","26","48","32","27","108","2","-5","1","-9","1","16","50","5","40"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Jim Furyk","2","67","63","65","69","264","-16","615600","16","1","1","2","41","7","271","67","59","1","28.8","115","55","-5","-6","-5","0","18","52","2","75"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Jim Furyk","15","69","68","69","69","275","-5","97500","14","12","10","15","46","1","292.1","50","51","8","29","116","47","1","-3","-3","0","11","55","6","20"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Jim Furyk","5","66","68","72","66","272","-12","367500","4","2","13","5","46","3","276.6","69","50","14","27.8","111","20","-2","-5","-5","0","17","50","5","40"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Jim Furyk","8","66","69","69","70","274","-10","248000","2","3","1","8","42","8","265.6","68","50","18","27.8","111","20","-3","1","-8","0","17","48","7","30"
