"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jim Renner","2","65","73","72","67","277","-10","580800","2","6","5","2","42","6","277.4","29","48","27","27.8","111","3","-3","-1","-6","0","19","44","9","75"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Jim Renner","24","66","72","74","72","284","-4","50651","3","9","16","24","30","63","295.8","33","50","31","29","116","28","-1","1","-4","0","15","47","9","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Jim Renner","70","75","67","71","75","288","0","13396","133","67","64","70","36","35","288","50","54","12","30.5","122","68","-1","1","0","1","18","37","12","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jim Renner","69","71","74","74","76","295","7","13800","23","59","62","69","27","41","285.8","65","45","29","30","120","64","6","6","-5","0","15","38","16","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Jim Renner","68","69","71","71","73","284","4","14145","29","52","59","68","33","24","300.1","31","43","55","28.5","114","37","2","3","-1","0","13","42","17","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Jim Renner","16","65","70","68","70","273","-7","91186","2","8","11","16","40","26","287.9","59","56","2","29","116","35","-3","0","-4","0","20","42","7","20"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Jim Renner","81","66","74","72","0","212","2","9800","5","67","81","0","25","0","291","0","40","0","31.7","95","0","-1","6","-3","0","11","31","11","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Jim Renner","61","71","72","72","73","288","0","8560","47","63","59","61","22","70","280.3","51","52","35","30.8","123","68","-2","4","-2","0","10","53","8","5"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Jim Renner","66","69","69","74","73","285","1","12272","9","22","61","66","34","57","276.9","47","49","14","30.8","123","76","4","3","-6","1","12","45","13","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jim Renner","74","72","71","74","0","217","1","13561","65","55","74","0","22","0","286","0","34","0","28.7","86","0","3","3","-5","1","7","37","8","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Jim Renner","69","69","70","76","73","288","8","12060","32","39","72","69","35","14","285","59","41","54","28.8","115","63","1","6","1","0","7","54","7","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jim Renner","48","67","68","70","70","275","-5","16085","27","20","40","48","40","28","274.6","65","49","47","28.5","114","21","-1","-3","-1","0","13","53","4","10"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jim Renner","41","67","69","74","66","276","-8","18330","21","22","58","41","46","15","275.3","44","48","64","27.5","110","8","-4","2","-6","0","18","46","6","10"
