"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","27-Jul-14","40385","RBC Canadian Open","","Royal Montreal G.C.","7153","70","RBC Canadian Open","Joel Dahmen","53","66","72","68","72","278","-2","13034","5","37","22","53","35","38","287.6","15","39","69","26.8","107","7","2","1","-5","0","15","44","13","5"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Joel Dahmen","48","68","72","72","72","284","-3","17897","1","24","34","48","43","14","270.4","53","46","58","28.8","115","15","-4","7","-6","0","20","38","11","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Joel Dahmen","80","69","72","74","0","215","-1","5370","30","69","80","0","28","0","287.8","0","39","0","31.3","94","0","0","4","-5","0","9","37","8","5"
"2017","21-May-17","41414","AT&T Byron Nelson","","TPC Las Colinas","7166","70","AT&T Byron Nelson","Joel Dahmen","9","68","70","68","67","273","-7","195000","14","25","24","9","29","37","290.1","31","49","10","28","112","25","-3","1","-5","0","15","49","8","30"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Joel Dahmen","18","70","66","69","70","275","-5","86613","48","18","13","18","30","41","288.4","43","48","15","28.8","115","52","-1","0","-4","0","12","53","7","20"
"2017","25-Jun-17","41449","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Joel Dahmen","62","69","71","71","69","280","0","14484","51","69","67","62","34","53","301.9","21","45","62","29.3","117","36","5","0","-5","1","14","42","14","5"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Joel Dahmen","42","67","68","72","66","273","-7","18662","34","37","62","42","38","24","305.4","27","50","63","29.8","119","36","2","-3","-6","0","19","42","10","10"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Joel Dahmen","51","70","70","73","74","287","-1","10449","32","27","40","51","34","19","289.5","26","42","69","27.8","111","15","4","-1","-4","0","15","43","14","5"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Joel Dahmen","23","68","70","69","69","276","-8","71000","21","32","25","23","41","20","284.5","33","50","40","28.5","114","21","-3","0","-5","0","17","46","9","20"
"2018","19-Nov-17","41596","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Joel Dahmen","49","64","71","70","72","277","-5","15302","2","12","33","49","44","19","290.4","27","50","58","28.8","115","19","2","-2","-5","0","16","48","5","10"
"2018","14-Jan-18","41652","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Joel Dahmen","73","68","70","74","68","280","0","11966","41","63","76","73","30","47","298.1","63","49","52","29.5","118","50","4","-5","1","0","16","44","11","5"
"2018","11-Feb-18","41680","AT&T Pebble Beach Pro-Am","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach Pro-Am","Joel Dahmen","55","71","72","69","72","284","-3","16576","81","94","60","55","40","23","296.8","35","48","44","29.8","119","55","-1","-1","-1","1","10","52","9","5"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Joel Dahmen","33","74","71","73","67","285","5","29954","82","59","66","33","42","1","283.6","65","50","4","30.8","123","67","5","0","0","0","5","58","8","10"
"2018","25-Mar-18","41722","Corales Puntacan Resort Championship","","Corales Golf Club","7670","72","Corales Puntacan Resort Championship","Joel Dahmen","13","71","66","74","67","278","-10","53000","52","14","28","13","46","12","287.3","54","53","4","28.5","114","44","-3","-1","-6","0","19","45","7","20"
"2018","1-Apr-18","41729","Houston Open","","Golf Club of Houston (Tournament Course)","7441","72","Houston Open","Joel Dahmen","76","68","71","75","0","214","-2","12950","24","42","76","0","26","0","278.2","0","37","0","29.3","88","0","0","1","-3","0","10","37","6","5"
