"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","John Merrick","65","71","67","70","74","282","-2","12540","81","48","50","65","26","63","302.6","44","49","64","29.3","117","20","-1","2","-3","0","14","47","10","5"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","John Merrick","64","77","75","69","74","295","7","14630","72","73","66","64","42","5","0","0","45","54","30.8","123","70","6","3","-2","1","12","43","11","5"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","John Merrick","55","72","75","69","71","287","-1","46250","39","60","53","55","41","5","0","0","47","55","29","116","37","4","0","-5","1","13","44","14","5"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","John Merrick","28","71","76","71","74","292","0","63000","18","29","28","28","49","11","271.6","17","55","18","32","128","25","4","4","-8","0","15","43","13","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","John Merrick","48","66","70","69","69","274","-14","13817","13","34","45","48","42","13","283.4","70","57","12","29.5","118","75","-1","-1","-12","1","17","49","5","10"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","John Merrick","47","69","74","72","74","289","1","15479","17","50","38","47","38","4","285.1","43","50","12","30.8","123","66","3","-1","-1","0","11","49","12","10"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","John Merrick","19","75","65","69","68","277","-7","63302","120","48","34","19","46","1","300.4","42","59","2","31.3","125","71","0","-4","-3","1","16","44","11","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","John Merrick","32","70","70","72","74","286","2","31540","12","7","19","32","35","24","264.4","61","52","3","31.5","126","71","0","8","-6","0","11","48","13","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","John Merrick","43","65","74","76","73","288","0","18476","2","10","42","43","41","11","276.1","68","50","19","30.8","123","69","-3","6","-3","1","15","43","10","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","John Merrick","79","72","75","80","0","227","11","11222","49","69","79","0","27","0","284.2","0","28","0","29.7","89","0","7","2","2","0","6","35","9","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","John Merrick","54","74","68","75","72","289","1","14656","124","41","53","54","37","23","280.9","64","52","17","30","120","57","-1","2","0","1","10","52","6","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","John Merrick","62","69","72","72","73","286","-2","14416","20","47","64","62","40","7","282.5","61","58","3","31.3","125","72","6","-3","-5","0","15","46","9","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","John Merrick","23","71","70","70","73","284","-4","58157","23","17","22","23","29","29","295.8","36","50","6","29.5","118","54","1","5","-10","0","16","45","10","20"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","John Merrick","75","72","71","77","0","220","4","18900","68","52","75","0","31","0","277.7","0","33","0","29.3","88","0","0","6","-2","0","9","33","11","5"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","John Merrick","63","70","68","77","70","285","5","12354","58","35","69","63","37","12","274.8","57","48","12","30.3","121","69","3","6","-4","1","11","46","11","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","John Merrick","26","67","72","67","67","273","-7","45880","28","69","34","26","38","44","292.5","41","50","37","28.8","115","38","1","-4","-4","1","20","36","15","10"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","John Merrick","46","74","71","73","72","290","6","16900","83","67","62","46","33","28","292.4","54","43","48","29.3","117","37","4","2","0","0","10","46","16","10"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","John Merrick","76","71","69","71","75","286","2","8883","81","57","73","76","43","17","289.3","52","45","72","29.5","118","60","-1","7","-4","0","11","48","13","5"
"2014","17-Aug-14","40406","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","John Merrick","32","70","67","68","67","272","-8","29327","73","47","42","32","40","13","294.4","61","53","26","29.8","119","44","0","-3","-5","1","16","45","10","10"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","John Merrick","42","69","70","65","72","276","-8","20495","38","45","18","42","36","18","296.5","63","48","63","27","108","1","-3","4","-9","1","22","36","11","10"
