"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","John Rollins","46","74","68","66","71","279","-5","13860","100","66","38","46","27","59","300.6","24","48","56","28.8","115","24","0","-2","-3","0","16","47","7","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","John Rollins","77","74","76","77","82","309","21","12950","54","70","74","77","22","78","0","0","39","75","31.3","125","75","1","20","0","0","11","35","21","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","John Rollins","32","65","76","66","70","277","-3","31831","4","59","22","32","37","48","279.6","27","50","43","29","116","18","1","-1","-3","0","16","45","10","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","John Rollins","51","69","68","70","69","276","-4","12902","48","36","55","51","24","60","298.5","24","49","23","29","116","50","1","3","-8","0","16","45","10","5"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","John Rollins","19","72","67","67","71","277","-7","63302","84","38","19","19","35","24","300.3","43","49","42","29","116","28","3","-4","-6","1","12","52","7","20"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","John Rollins","58","69","69","71","75","284","-4","7665","11","20","34","58","42","8","294.6","16","50","41","31","124","65","3","1","-8","0","14","48","10","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","John Rollins","65","68","76","72","76","292","4","13312","18","70","42","65","34","43","287.4","54","44","67","28.8","115","22","1","7","-4","0","14","42","14","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","John Rollins","74","74","66","73","76","289","1","13056","114","35","64","74","40","7","289.8","45","46","62","29.3","117","49","5","-1","-3","0","15","44","11","5"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","John Rollins","77","73","71","77","0","221","5","18400","85","64","77","0","24","0","276.7","0","34","0","30","90","0","0","6","-1","0","8","37","6","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","John Rollins","63","69","72","69","73","283","3","13440","24","60","56","63","25","65","301.6","14","38","74","27.8","111","12","3","2","-2","0","12","46","13","5"
