"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Jon Curran","31","69","72","69","75","285","-3","37952","38","27","8","31","39","10","271.8","75","46","54","28.5","114","18","-1","3","-5","0","13","49","10","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Jon Curran","8","68","72","67","70","277","-11","168000","4","22","11","8","32","28","292.5","45","57","1","29.8","119","57","-1","-6","-4","0","19","45","8","30"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Jon Curran","54","70","70","69","68","277","-3","12544","59","67","68","54","41","25","276.8","64","54","39","30.8","123","54","1","-2","-2","0","11","54","6","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Jon Curran","10","69","64","69","70","272","-15","141100","50","4","6","10","41","19","269.6","61","57","9","29.3","117","41","-3","-7","-5","0","19","49","4","30"
"2015","2-Mar-15","40603","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Jon Curran","71","71","72","74","76","293","13","12078","35","42","60","71","39","3","268.1","68","40","59","30.5","122","65","5","9","-1","0","7","48","14","5"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Jon Curran","2","70","71","70","70","281","-7","198000","5","4","3","1","41","8","260.5","74","43","58","26.8","107","1","-3","3","-7","0","17","45","10","75"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Jon Curran","40","72","71","72","69","284","0","23600","80","57","53","40","34","30","260.6","66","45","40","28.5","114","26","-6","6","0","0","11","52","7","10"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Jon Curran","44","77","73","71","74","295","7","18745","69","66","42","44","37","10","273.5","71","41","27","29.3","117","54","3","7","-3","0","12","43","15","10"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jon Curran","81","73","71","76","0","220","4","12638","88","70","81","0","20","0","278.5","0","32","0","29.7","89","0","3","3","-2","0","6","38","10","5"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Jon Curran","33","68","72","68","68","276","-4","31525","26","51","41","33","39","10","255","72","52","18","30.3","121","59","1","-4","-1","0","11","55","5","10"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Jon Curran","6","67","63","67","68","265","-12","246725","8","1","2","6","39","4","267.6","71","55","2","28.8","115","39","-2","-4","-6","0","18","48","6","30"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Jon Curran","53","70","71","72","68","281","1","13992","57","67","66","53","37","7","265.9","75","44","38","27.8","111","32","2","3","-4","0","16","40","15","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jon Curran","10","67","67","67","69","270","-10","147200","27","16","8","10","42","18","268.6","70","50","38","27.8","111","9","1","-8","-3","0","18","46","8","30"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Jon Curran","79","70","70","75","0","215","-1","10382","53","44","79","0","18","0","296.3","0","28","0","27.3","82","0","5","2","-8","1","13","27","12","5"
"2016","1-Nov-15","40847","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Jon Curran","53","69","70","67","76","282","-6","16287","24","42","22","53","39","26","0","0","46","73","27.8","111","6","-1","-1","-4","0","15","49","7","5"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Jon Curran","29","68","71","67","70","276","-8","42160","24","51","29","29","35","45","253.8","76","50","40","28.3","113","28","-2","-1","-5","0","17","46","9","10"
