"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Jon Rahm","5","70","68","66","68","272","-12","0","42","13","5","5","36","28","300.8","15","51","15","28.8","115","46","1","-10","-3","1","18","46","6","40"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jon Rahm","64","68","69","69","72","278","-2","0","51","48","49","64","38","45","290.6","28","47","61","29.3","117","43","2","-1","-3","0","11","52","9","5"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Jon Rahm","10","69","68","66","70","273","-11","0","42","23","14","10","35","45","286.4","12","50","40","27.5","110","17","-3","4","-12","1","20","42","7","30"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Jon Rahm","23","76","69","72","70","287","7","0","100","45","43","23","28","59","306.9","3","45","30","29.8","119","10","1","7","-1","1","15","36","17","20"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Jon Rahm","3","64","67","70","70","271","-13","400200","1","1","3","3","38","9","308.3","4","50","43","27","108","2","2","-8","-7","0","20","45","7","60"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Jon Rahm","59","74","71","73","75","293","9","21035","110","58","50","59","35","36","284.4","40","47","16","31","124","74","1","13","-5","0","11","44","15","5"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Jon Rahm","2","67","71","72","67","277","-11","440533","3","3","6","2","34","5","328.5","6","45","23","27","108","17","6","-6","-11","2","19","41","8","75"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jon Rahm","25","65","70","69","69","273","-7","47227","4","9","15","25","32","62","312.9","7","52","34","29.8","119","45","-2","-2","-3","1","17","43","10","20"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jon Rahm","14","69","66","69","67","271","-13","88800","45","14","21","14","39","61","314.4","2","51","53","26.8","107","2","-2","-5","-6","0","21","46","2","20"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Jon Rahm","15","66","71","72","67","276","-12","96000","6","11","22","15","31","36","297.8","16","56","11","29.3","117","41","1","-4","-9","1","22","38","10","20"
"2017","6-Nov-16","41218","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Jon Rahm","15","65","69","69","68","271","-13","92840","5","12","21","15","29","45","322.6","9","56","11","29.8","119","50","0","-7","-6","1","21","40","10","20"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Jon Rahm","50","67","69","69","73","278","-6","16884","14","24","32","50","36","49","287.8","28","48","59","28.3","113","36","-1","0","-5","0","20","41","8","10"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Jon Rahm","34","71","66","70","72","279","-9","28669","79","21","21","34","30","70","288.3","35","52","15","28","112","36","1","-8","-2","0","20","43","7","10"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jon Rahm","1","72","69","69","65","275","-13","1206000","77","21","13","1","34","19","296.4","16","53","12","28.5","114","9","0","-2","-11","3","14","48","7","100"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Jon Rahm","16","70","69","65","70","274","-10","90953","38","38","17","16","36","11","316.8","7","52","29","29.8","119","46","-2","-3","-5","0","16","50","6","20"
"2017","12-Feb-17","41316","AT&T Pebble Beach","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Jon Rahm","5","73","67","67","68","275","-12","262800","63","24","6","5","39","33","287.4","18","53","22","28.5","114","12","-4","-2","-6","1","16","50","4","40"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Jon Rahm","3","67","70","67","68","272","-12","497000","1","8","5","3","29","65","331.8","2","43","46","26.5","106","4","1","-7","-6","1","17","47","7","60"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Jon Rahm","10","71","72","69","67","279","-9","182000","66","55","21","10","34","44","295.9","15","52","26","28.5","114","17","1","-5","-5","0","20","42","9","30"
"2017","9-Apr-17","41372","Masters","","Augusta National G.C.","7435","72","Masters","Jon Rahm","27","73","70","73","75","291","3","78100","19","6","11","27","33","40","0","0","48","14","30.3","121","32","6","7","-10","1","12","46","10","10"
