"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Jonathan Randolph","28","68","71","66","69","274","-10","42160","19","45","24","28","32","43","301.5","48","54","28","29.5","118","40","1","-3","-8","0","19","45","7","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Jonathan Randolph","73","71","72","75","73","291","3","7680","47","63","74","73","24","63","280.6","44","50","46","31","124","71","1","5","-3","0","9","51","12","5"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jonathan Randolph","78","65","73","72","0","210","0","10192","6","69","78","0","19","0","280.8","0","34","0","29","87","0","3","2","-5","0","11","33","9","5"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Jonathan Randolph","49","72","73","68","76","289","5","16233","54","61","26","49","26","56","293.3","31","29","73","25.8","103","6","1","9","-5","0","15","39","16","10"
"2015","8-Mar-15","40609","Puerto Rico Open at Coco Beach","Puerto Rico Open","Trump International Puerto Rico","7506","72","Puerto Rico Open","Jonathan Randolph","27","73","72","73","68","286","-2","18736","41","42","54","27","35","41","264.6","66","43","58","28.3","113","16","-2","0","0","0","13","51","6","10"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Jonathan Randolph","20","70","71","71","70","282","-6","71621","30","32","32","20","25","57","291.8","58","52","8","29.3","117","60","5","-5","-6","2","16","42","10","20"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Jonathan Randolph","34","69","63","65","74","271","-6","36636","33","8","2","34","31","43","289.1","34","50","22","29","116","44","-2","-2","-2","1","13","50","7","10"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Jonathan Randolph","60","67","69","71","70","277","-3","13888","27","34","62","60","36","54","290.5","29","54","13","31.5","126","72","0","3","-6","0","13","50","8","5"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Jonathan Randolph","39","71","69","67","71","278","-6","13650","71","47","32","39","28","77","296.6","24","47","72","28.5","114","17","2","-2","-6","0","16","46","10","10"
"2015","26-Jul-15","40749","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Jonathan Randolph","87","71","70","76","0","217","1","9802","69","56","87","0","16","0","297.3","0","32","0","28","84","0","5","0","-4","0","11","34","6","5"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Jonathan Randolph","52","69","68","70","74","281","-3","15467","43","19","33","52","38","27","297.6","24","52","40","29.8","119","46","0","2","-5","0","17","44","8","5"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Jonathan Randolph","65","68","70","76","72","286","-2","8736","25","23","65","65","31","24","293.1","42","50","42","29.5","118","55","2","2","-6","0","18","40","13","5"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Jonathan Randolph","54","73","67","75","73","288","0","15008","96","11","52","54","33","21","279.4","60","51","20","31","124","62","-1","5","-4","0","16","42","12","5"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Jonathan Randolph","24","66","69","68","72","275","-13","24300","5","11","4","24","34","57","279.3","64","49","65","27.3","109","3","-2","-3","-8","1","16","50","5","20"
"2017","23-Apr-17","41386","Valero Texas Open","","TPC San Antonio (ATT Oaks)","7435","72","Valero Texas Open","Jonathan Randolph","27","68","70","75","74","287","-1","42160","6","7","19","27","33","35","289","49","41","52","28","112","36","1","4","-6","0","16","41","15","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Jonathan Randolph","8","69","73","73","67","282","-6","210000","9","20","34","8","39","9","278.5","56","41","59","25.8","103","1","-1","-2","-3","0","17","44","11","30"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Jonathan Randolph","86","68","73","79","0","220","10","10880","14","70","86","0","22","0","282.7","0","23","0","26.7","80","0","-1","13","-2","0","10","27","14","5"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Jonathan Randolph","42","71","71","73","75","290","2","44975","29","24","35","42","49","4","0","0","47","45","29.3","117","19","1","5","-4","0","13","45","13","10"
"2017","2-Jul-17","41456","Quicken Loans National","The National","TPC Potomac at Avenel Farm","7107","70","Quicken Loans National","Jonathan Randolph","29","70","73","70","68","281","1","45144","32","47","40","29","34","28","294.3","52","39","64","27.8","111","8","-3","5","-1","0","14","43","15","10"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Jonathan Randolph","20","67","68","70","69","274","-6","69501","16","16","16","20","32","64","306.8","38","50","36","28.3","113","12","2","-2","-6","2","10","53","6","20"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Jonathan Randolph","68","68","69","68","75","280","-4","11536","24","29","35","68","44","16","288.8","53","57","11","30.8","123","69","-2","1","-3","0","15","47","9","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Jonathan Randolph","77","70","67","75","0","212","-1","6475","58","42","77","0","29","0","280.2","0","37","0","29.7","89","0","0","0","-1","0","11","35","6","5"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Jonathan Randolph","83","66","70","75","0","211","1","10034","18","44","83","0","25","0","306","0","39","0","30.7","92","0","-2","7","-4","0","11","34","8","5"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Jonathan Randolph","3","69","69","71","67","276","-12","292400","18","9","9","3","33","20","280.8","49","45","54","25.5","102","1","1","-7","-6","0","23","39","9","60"
"2018","19-Nov-17","41596","The RSM Classic","RSM Classic","Seaside Course","7005","70","The RSM Classic","Jonathan Randolph","73","72","67","69","76","284","2","12152","121","65","62","73","34","67","279.4","60","46","70","29","116","24","1","4","-3","0","12","48","10","5"
"2018","14-Jan-18","41652","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Jonathan Randolph","39","69","68","69","66","272","-8","23560","65","48","56","39","34","20","304.1","48","49","52","29","116","39","3","-6","-5","1","12","53","6","10"
"2018","11-Feb-18","41680","AT&T Pebble Beach Pro-Am","","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach Pro-Am","Jonathan Randolph","66","69","69","72","76","286","-1","15318","43","21","41","66","37","42","298.8","31","45","61","27.8","111","15","1","7","-9","1","18","38","12","5"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Jonathan Randolph","68","72","71","77","73","293","13","13266","56","39","73","68","38","14","291.9","50","36","67","28.5","114","26","6","6","1","1","3","50","18","5"
