"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Justin Rose","5","68","71","65","68","272","-16","300000","4","11","4","5","42","3","0","0","59","2","29.3","117","44","-1","-6","-9","1","22","43","4","40"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Justin Rose","45","70","72","68","73","283","-1","18779","35","55","33","45","28","51","282.5","60","43","42","28.3","113","36","1","3","-5","1","10","53","6","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Justin Rose","34","74","77","70","73","294","6","68500","33","46","28","34","25","44","301","14","42","28","28.5","114","23","7","1","-2","0","15","43","7","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Justin Rose","8","71","68","69","74","282","-2","148200","26","3","4","8","30","50","284.9","13","47","20","29.3","117","32","0","2","-4","0","13","48","11","30"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Justin Rose","14","76","70","69","74","289","1","148500","67","26","10","14","37","29","292.9","16","46","14","30","120","30","4","5","-8","3","14","36","17","20"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Justin Rose","8","71","67","69","68","275","-13","197200","54","22","20","8","30","68","290.4","44","51","31","27.3","109","8","2","-5","-10","0","19","48","4","30"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Justin Rose","5","69","67","71","71","278","-10","276000","7","3","5","5","27","41","310.8","7","46","22","27.3","109","14","-1","3","-12","3","13","48","7","40"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Justin Rose","4","67","71","71","69","278","-10","440000","4","4","8","4","30","65","278.8","51","48","28","26.5","106","1","-3","-5","-2","0","18","46","8","40"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Justin Rose","12","72","69","70","72","283","3","156679","50","20","10","12","41","21","285.5","37","46","10","30","120","32","5","3","-5","1","13","41","16","20"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Justin Rose","1","74","65","71","70","280","-4","1170000","83","11","5","1","36","11","300.3","33","48","13","28.3","113","13","-4","3","-3","0","15","47","9","100"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Justin Rose","23","72","70","69","72","283","-5","78876","49","19","12","23","38","16","299","8","50","16","29.8","119","46","3","1","-9","1","13","49","8","20"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Justin Rose","4","65","67","70","69","271","-9","308000","2","2","4","4","31","22","311.3","14","55","4","29","116","47","-3","-2","-4","1","14","50","7","40"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Justin Rose","24","70","72","67","67","276","-8","84000","35","53","32","24","42","7","297.5","18","49","22","29","116","46","-1","0","-7","0","20","41","10","20"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Justin Rose","30","68","70","70","72","280","-4","46500","13","16","16","30","30","60","282.3","21","46","43","28.8","115","33","0","-5","1","1","13","47","11","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Justin Rose","35","69","71","70","70","280","0","43200","13","20","29","35","34","24","313.3","13","48","24","29.8","119","42","0","3","-3","0","12","49","10","10"
"2014","14-Sep-14","40434","Tour Championship","","East Lake G.C.","7307","70","Tour Championship","Justin Rose","4","72","66","66","69","273","-7","343333","23","10","4","4","32","9","293.9","13","49","7","28.5","114","12","3","-6","-4","0","18","43","11","40"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Justin Rose","48","72","71","76","74","293","5","49300","28","21","41","48","34","34","0","0","47","27","30","120","54","3","6","-4","0","13","42","16","10"
"2015","8-Mar-15","40609","WGC - Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7528","72","WGC-Cadillac Championship","Justin Rose","55","73","74","73","77","297","9","51000","27","31","40","55","23","69","300.6","25","44","32","29.8","119","59","4","10","-5","0","14","41","11","5"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Justin Rose","37","69","68","72","72","281","-7","29700","28","18","26","37","31","63","302.1","9","56","14","29.3","117","35","-2","2","-7","0","17","47","7","10"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Justin Rose","2","67","70","67","70","274","-14","880000","2","3","2","2","44","6","293","35","54","2","29","116","17","-2","-3","-9","0","24","38","10","75"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Justin Rose","1","69","66","65","66","266","-22","1242000","32","13","1","1","46","3","293.1","12","54","23","25.8","103","3","-2","-9","-11","0","25","45","1","100"
