"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Justin Thomas","72","72","70","71","0","213","0","9600","66","66","72","0","23","0","306.7","0","37","0","30","90","0","0","1","-1","0","7","40","7","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Justin Thomas","10","68","73","72","69","282","-6","135217","10","22","23","10","30","30","288.4","30","40","67","26.5","106","1","-1","2","-7","0","19","40","13","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Justin Thomas","37","73","68","72","72","285","-3","25420","64","24","39","37","40","19","311.1","9","43","56","27.3","109","20","2","3","-8","2","17","37","14","10"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Justin Thomas","71","74","66","67","75","282","2","11088","120","67","48","71","38","47","294.6","11","46","71","28.8","115","6","2","3","-3","0","15","44","9","5"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Justin Thomas","4","71","68","69","67","275","-13","165333","47","12","8","4","36","8","296.4","8","53","24","28.8","115","15","1","-4","-10","0","19","47","6","40"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Justin Thomas","23","67","70","69","69","275","-9","52765","21","37","17","23","29","71","294.1","7","48","34","27.8","111","34","-5","1","-5","1","15","48","8","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Justin Thomas","6","67","61","70","70","268","-12","163600","23","1","5","6","33","17","314.9","3","49","35","27.3","109","10","-1","-3","-8","2","16","46","8","30"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Justin Thomas","7","68","63","68","69","268","-20","177650","29","4","1","7","32","54","310.5","2","53","20","26.3","105","8","-4","0","-16","1","26","39","4","30"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Justin Thomas","17","67","68","69","72","276","-8","94500","9","3","5","17","33","47","306.3","6","53","6","29","116","53","1","1","-10","0","17","47","7","20"
"2015","22-Feb-15","40595","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Justin Thomas","41","68","69","75","75","287","3","24120","8","2","19","41","27","45","299.6","19","39","33","28.3","113","44","4","5","-6","1","12","45","12","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Justin Thomas","10","67","72","73","68","280","-4","126429","4","11","23","10","30","56","279.5","13","48","18","28.3","113","22","-3","0","-1","0","14","49","8","30"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Justin Thomas","49","69","71","73","71","284","-4","15393","18","29","55","49","34","64","302.4","8","54","10","30.8","123","65","3","5","-12","1","15","44","11","10"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Justin Thomas","50","71","68","73","71","283","-5","15919","65","41","52","50","29","65","308.5","7","49","61","27","108","2","-1","6","-10","0","19","44","5","10"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Justin Thomas","11","70","67","68","69","274","-10","129800","22","12","10","11","34","57","296.4","1","50","10","27.3","109","23","2","-7","-5","1","17","48","4","20"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Justin Thomas","12","68","66","72","66","272","-16","115920","22","5","25","12","40","31","302.4","5","57","12","28.5","114","40","-3","0","-13","1","21","44","5","20"
"2015","10-May-15","40672","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Justin Thomas","24","73","70","65","75","283","-5","81000","77","46","5","24","38","25","308.5","4","47","37","28.3","113","22","5","-2","-8","0","21","37","12","20"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Justin Thomas","7","69","73","65","70","277","-11","228975","13","42","6","7","25","57","310.5","15","52","8","27.5","110","16","-2","5","-14","3","17","41","10","30"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Justin Thomas","55","70","67","68","69","274","-3","16046","61","52","54","55","30","50","306.7","4","45","56","28.8","115","39","0","2","-5","1","13","47","10","5"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Justin Thomas","54","67","67","66","75","275","-5","15209","27","16","5","54","34","72","311.6","3","55","18","30","120","63","-3","0","-2","1","15","48","6","5"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Justin Thomas","5","63","67","69","67","266","-18","171550","1","1","3","5","40","55","295","3","58","9","28.3","113","25","-3","-9","-6","0","23","44","5","40"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Justin Thomas","4","66","71","68","67","272","-12","242875","10","19","18","4","36","38","309.5","7","55","16","29.5","118","33","-4","-1","-7","2","15","48","7","40"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Justin Thomas","18","72","70","68","70","280","-8","126000","39","27","17","18","32","49","303","9","53","4","29.3","117","53","3","-1","-10","1","19","40","11","20"
