"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","K.J. Choi","14","68","71","70","72","281","-7","129500","9","13","11","14","31","61","0","0","56","4","30","120","57","-2","0","-5","0","18","45","7","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","K.J. Choi","20","67","69","69","66","271","-9","54818","12","25","40","20","27","43","289.4","50","51","11","29","116","50","-2","-1","-6","0","18","46","7","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","K.J. Choi","2","74","70","70","66","280","-8","366000","99","66","27","2","29","38","278.3","55","51","8","29","116","31","-2","4","-10","1","18","41","12","75"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","K.J. Choi","42","71","70","69","71","281","-3","21080","66","63","40","42","37","13","296.9","48","52","25","30.3","121","52","0","2","-5","0","14","50","5","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","K.J. Choi","12","69","72","67","68","276","-8","127300","18","40","24","12","34","12","289.5","49","46","27","27","108","15","2","-2","-8","0","17","48","5","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","K.J. Choi","44","72","72","69","75","288","4","15892","45","46","24","44","34","29","274.6","32","41","61","29.3","117","32","6","-2","0","0","11","46","15","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","K.J. Choi","60","70","76","70","75","291","3","13454","26","66","52","60","38","25","264.5","76","41","72","28.8","115","20","0","9","-6","1","9","49","12","5"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","K.J. Choi","34","70","75","78","71","294","6","48600","5","21","42","34","42","9","285.5","41","44","21","30.3","121","36","3","8","-5","0","12","43","16","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","K.J. Choi","31","70","67","74","73","284","0","34469","20","1","16","31","39","19","277.3","24","41","44","27.5","110","22","0","1","-1","0","15","43","13","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","K.J. Choi","13","74","70","72","65","281","-7","187500","101","64","52","13","39","17","264.6","71","49","21","28.3","113","28","2","1","-10","1","17","43","10","20"
