"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Keegan Bradley","10","65","66","76","72","279","-9","189000","2","1","6","10","41","6","0","0","50","20","29","116","31","-1","-3","-5","0","19","44","8","30"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Keegan Bradley","11","71","68","68","68","275","-13","116667","28","11","10","11","33","44","0","0","55","12","29","116","37","1","-8","-6","0","19","47","6","20"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Keegan Bradley","18","69","66","65","69","269","-19","74328","48","22","12","18","42","13","301.1","16","47","80","26.3","105","6","-6","-1","-12","2","20","45","5","20"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Keegan Bradley","16","69","72","71","71","283","-5","97600","17","22","13","16","29","38","293.4","18","51","8","30","120","51","-1","-1","-3","0","15","47","10","20"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Keegan Bradley","20","68","70","72","68","278","-6","80847","13","14","33","20","29","45","301.9","16","49","10","28.8","115","44","1","-4","-3","0","15","50","6","20"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Keegan Bradley","12","69","68","66","73","276","-4","94800","31","23","5","12","34","33","298.4","9","48","17","28.8","115","39","2","-1","-5","0","15","47","9","20"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Keegan Bradley","50","74","76","75","74","299","11","54500","33","34","46","50","22","56","297.8","23","39","54","29.3","117","45","2","14","-5","0","11","44","12","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Keegan Bradley","2","71","67","66","72","276","-12","669600","40","5","2","2","37","31","296.3","17","46","44","26.5","106","3","0","-1","-11","0","21","43","7","75"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Keegan Bradley","43","66","77","73","72","288","0","18374","3","55","42","43","28","71","309.4","5","46","54","28","112","6","0","0","0","1","14","46","7","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Keegan Bradley","8","69","66","65","75","275","-13","197200","20","7","2","8","38","17","298.9","20","53","17","28","112","19","-1","-3","-9","1","20","44","6","30"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Keegan Bradley","29","70","68","68","71","277","-3","43944","45","25","18","29","31","34","302","25","43","55","28","112","19","-1","0","-2","0","15","45","12","10"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Keegan Bradley","37","67","75","70","73","285","-3","25420","5","37","31","37","38","34","310.4","11","51","6","30","120","68","2","0","-5","0","16","46","7","10"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Keegan Bradley","4","69","69","76","67","281","1","326310","6","5","23","4","38","40","313.3","3","48","5","31.3","125","54","0","6","-5","1","13","42","16","40"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Keegan Bradley","31","66","69","71","68","274","-6","32296","16","20","34","31","38","44","303.4","10","40","75","26.5","106","2","0","-1","-5","0","17","44","11","10"
