"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kevin Streelman","53","72","73","71","75","291","3","15908","30","51","46","53","43","2","0","0","46","49","28.3","113","15","3","6","-6","0","14","44","11","5"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Kevin Streelman","34","70","73","72","68","283","-5","64000","15","31","44","34","33","44","0","0","46","58","27.8","111","17","2","0","-7","1","13","49","8","10"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Kevin Streelman","3","67","71","70","67","275","-17","382000","5","7","5","3","50","3","265.4","24","54","21","28.3","113","1","-2","-13","-2","2","22","39","9","60"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Kevin Streelman","53","71","68","74","70","283","-1","14285","66","38","70","53","44","3","301.8","38","50","37","30.8","123","64","7","0","-8","1","16","38","17","5"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Kevin Streelman","35","72","69","73","67","281","-3","33031","83","40","59","35","41","2","298.1","29","45","32","29.3","117","55","1","0","-4","1","12","48","11","10"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Kevin Streelman","25","75","74","72","72","293","5","76000","42","25","28","25","27","29","299","19","40","46","28.5","114","23","-2","7","0","0","10","47","15","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Kevin Streelman","38","73","69","71","74","287","3","23940","70","22","24","38","35","24","261.5","69","47","20","29.8","119","49","6","2","-5","0","11","48","12","10"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Kevin Streelman","42","72","71","74","79","296","8","34200","20","10","16","42","40","13","285.8","39","40","36","29.8","119","26","8","6","-6","0","10","45","16","10"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Kevin Streelman","53","69","72","70","76","287","3","13326","5","22","16","53","42","3","288","5","43","27","28.8","115","55","7","0","-4","0","12","47","11","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Kevin Streelman","14","72","69","71","70","282","-6","120750","44","17","28","14","33","14","303.9","23","44","38","27.5","110","15","0","5","-11","1","18","40","12","20"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Kevin Streelman","1","69","68","64","64","265","-15","1116000","61","39","7","1","41","17","290.5","48","53","10","27.3","109","5","0","-11","-4","0","26","36","9","100"
"2014","20-Jul-14","40378","British Open","","Royal Liverpool Golf Club","7312","72","British Open","Kevin Streelman","54","72","74","69","75","290","2","23791","49","56","34","54","38","16","275.3","49","48","32","29.8","119","46","1","6","-5","0","11","50","9","5"
"2014","3-Aug-14","40392","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Kevin Streelman","71","78","71","78","73","300","20","42250","75","72","74","71","28","36","296.8","44","35","63","30.8","123","67","4","16","0","0","6","42","22","5"
"2014","24-Aug-14","40413","The Barclays","The Northern Trust","Ridgewood Country Club","7319","71","The Barclays","Kevin Streelman","46","75","67","69","71","282","-2","21394","111","59","44","46","39","20","274.9","48","47","35","28.3","113","24","-2","-1","1","0","18","39","14","10"
"2014","1-Sep-14","40421","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7214","71","Deutsche Bank Championship","Kevin Streelman","26","73","67","65","73","278","-6","61600","65","23","7","26","42","7","296.1","37","55","1","29","116","40","3","-1","-8","1","25","32","8","10"
"2014","7-Sep-14","40427","BMW Championship","","Cherry Hills C.C.","7352","70","BMW Championship","Kevin Streelman","59","75","70","76","66","287","7","17520","64","58","66","59","35","20","305.1","30","45","47","29.8","119","42","7","1","-1","0","13","44","13","5"
"2015","19-Oct-14","40469","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Kevin Streelman","2","71","67","63","65","266","-18","669600","79","30","5","2","32","43","305.6","37","60","1","29.5","118","40","0","-9","-9","1","24","39","8","75"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Kevin Streelman","26","68","68","71","75","282","-6","49700","5","2","5","26","34","50","0","0","46","61","27.5","110","2","-1","-2","-3","0","17","47","6","10"
"2015","9-Nov-14","40490","","WGC-HSBC Champions","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Kevin Streelman","56","77","72","71","75","295","7","45250","68","59","45","56","30","52","0","0","41","53","28.5","114","32","4","-1","4","0","15","40","13","5"
"2015","12-Jan-15","40554","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Kevin Streelman","22","69","73","67","73","282","-10","70667","12","24","11","22","48","4","269.6","22","57","20","30.8","123","24","2","-6","-6","0","18","46","8","20"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Kevin Streelman","51","72","66","69","68","275","-5","12967","111","69","61","51","37","8","302.5","25","56","3","31","124","68","2","-3","-4","1","11","52","8","5"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Kevin Streelman","41","71","69","66","69","275","-13","19950","89","75","40","41","36","37","294","29","56","3","29","116","63","-3","-1","-9","1","18","47","5","10"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Kevin Streelman","30","70","72","73","64","279","-5","36729","42","56","73","30","39","13","285.4","48","51","15","30","120","64","-2","0","-3","0","15","47","10","10"
"2015","15-Mar-15","40616","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Kevin Streelman","40","68","69","74","73","284","0","23600","10","2","14","40","40","1","273","36","47","23","29.8","119","50","2","3","-5","0","10","53","8","10"
"2015","22-Mar-15","40623","Arnold Palmer Invitational presented by MasterCard","Arnold Palmer Invitational","Bay Hill Club","7419","72","Arnold Palmer Invitational","Kevin Streelman","67","75","67","74","74","290","2","12915","101","55","66","67","49","2","284.3","45","45","62","29.3","117","40","4","3","-5","0","15","43","11","5"
"2015","5-Apr-15","40637","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Kevin Streelman","42","70","69","69","74","282","-6","21236","50","41","18","42","39","15","289.9","31","57","10","30.8","123","66","-2","1","-5","0","15","49","7","10"
"2015","12-Apr-15","40644","The Masters","Masters","Augusta National G.C.","7435","72","Masters","Kevin Streelman","12","70","70","70","72","282","-6","196000","12","8","5","12","48","1","290.5","40","51","7","29.5","118","32","0","1","-7","0","12","54","6","20"
"2015","19-Apr-15","40651","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Kevin Streelman","55","71","65","71","75","282","-2","13334","36","7","20","55","38","27","280.6","36","45","40","28.3","113","55","1","-1","-2","0","14","47","10","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Kevin Streelman","9","69","71","70","68","278","-10","184600","13","19","23","9","28","37","303.5","28","47","31","28","112","24","-1","-1","-8","1","16","47","8","30"
"2015","24-May-15","40686","DEAN & DELUCA Invitational","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Kevin Streelman","58","71","69","66","74","280","0","14365","74","51","24","58","30","53","280.8","35","49","39","30","120","55","-2","4","-2","0","12","49","10","5"
"2015","7-Jun-15","40700","The Memorial Tournament presented by Nationwide","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Kevin Streelman","18","71","70","65","75","281","-7","78120","49","45","5","18","51","1","289","35","52","6","30.3","121","68","3","1","-11","1","17","44","8","20"
"2015","5-Jul-15","40728","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7287","70","The Greenbrier Classic","Kevin Streelman","77","67","70","71","73","281","1","12596","27","50","67","77","45","12","293.9","32","49","64","29.8","119","58","0","2","-1","0","8","55","9","5"
"2015","16-Aug-15","40770","PGA Championship","","Whistling Straits (Straits Course)","7501","72","PGA Championship","Kevin Streelman","54","73","71","74","70","288","0","22500","55","50","64","54","46","1","285","58","50","21","30","120","68","3","4","-7","0","12","49","10","5"
"2015","30-Aug-15","40784","The Barclays","The Northern Trust","Plainfield C.C.","7012","70","The Barclays","Kevin Streelman","53","70","71","70","71","282","2","19008","46","50","54","53","32","36","297.6","48","49","33","30.5","122","60","-1","5","-2","0","12","46","14","5"
"2015","7-Sep-15","40792","Deutsche Bank Championship","Dell Technologies Championship","TPC Boston","7242","71","Deutsche Bank Championship","Kevin Streelman","69","73","70","69","77","289","5","16500","59","52","47","69","36","34","298.3","36","42","65","28.8","115","39","0","6","-1","0","12","45","13","5"
