"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Kyle Stanley","33","66","69","72","70","277","-7","25857","3","6","30","33","34","24","328.8","2","55","17","30.3","121","54","-2","-1","-4","1","16","44","11","10"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Kyle Stanley","19","73","67","68","75","283","-5","81900","44","18","9","19","28","71","0","0","47","39","28.3","113","15","-2","4","-7","0","18","42","11","20"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Kyle Stanley","55","68","71","70","72","281","1","12320","38","34","36","55","31","69","296.5","1","53","25","31.8","127","65","3","2","-4","0","11","50","10","5"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Kyle Stanley","60","73","68","67","73","281","-3","12960","96","65","44","60","37","30","286.3","23","38","77","27","108","5","3","-3","-3","0","18","40","13","5"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Kyle Stanley","61","74","69","72","76","291","4","14256","135","73","53","61","34","51","286.3","11","44","47","30.8","123","56","2","7","-5","0","11","46","15","5"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Kyle Stanley","54","69","74","74","72","289","1","14656","38","55","53","54","33","48","305.8","14","49","36","29.3","117","37","-3","7","-3","1","14","44","10","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Kyle Stanley","52","71","67","71","76","285","-3","15477","54","22","35","52","40","7","292.8","39","52","23","29.8","119","58","-1","0","-2","1","14","45","11","5"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Kyle Stanley","60","74","71","75","71","291","3","14904","84","59","67","60","29","29","305.5","17","42","52","28.5","114","34","-2","10","-5","0","16","40","13","5"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Kyle Stanley","71","73","69","76","77","295","7","19800","85","37","68","71","37","34","290","20","50","12","31.8","127","71","4","10","-7","0","12","45","11","5"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Kyle Stanley","84","74","66","76","0","216","6","12006","130","52","84","0","22","0","298.5","0","38","0","31.7","95","0","3","2","1","0","9","32","11","5"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Kyle Stanley","68","73","68","73","70","284","4","12992","99","60","72","68","34","18","293.6","41","46","46","30.3","121","65","-2","9","-3","0","12","44","16","5"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Kyle Stanley","74","74","68","80","76","298","10","11904","87","37","74","74","36","46","307.8","17","48","22","31.5","126","74","3","5","2","1","9","42","19","5"
