"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Mark Anderson","68","71","75","74","70","290","6","11716","36","68","77","68","37","36","273.9","39","39","60","29.3","117","65","0","8","-2","0","7","53","11","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Mark Anderson","17","72","65","70","71","278","-10","98600","83","12","20","17","30","68","292.6","40","46","62","27","108","5","4","-6","-8","0","18","46","8","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Mark Anderson","81","73","68","74","0","215","5","12282","106","67","81","0","26","0","293.2","0","31","0","29.7","89","0","2","4","-1","0","7","36","10","5"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Mark Anderson","54","70","70","67","70","277","-3","12544","59","67","48","54","35","57","285.8","34","50","61","29.8","119","27","1","1","-5","1","12","49","9","5"
"2015","31-May-15","40693","AT&T Byron Nelson Championship","","TPC Las Colinas","6864","69","AT&T Byron Nelson Championship","Mark Anderson","69","68","68","68","74","278","1","14271","21","40","47","69","25","69","292.8","24","47","46","29","116","44","3","-2","0","0","13","45","14","5"
"2015","28-Jun-15","40721","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Mark Anderson","15","67","71","65","68","271","-9","102400","27","59","25","15","31","66","281.9","46","54","13","29","116","36","0","-6","-3","1","15","48","8","20"
"2017","29-Jan-17","41302","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Mark Anderson","49","70","73","74","70","287","-1","16536","32","48","69","49","29","41","280.3","59","44","63","28.5","114","9","0","2","-3","0","11","51","10","10"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Mark Anderson","10","68","69","69","67","273","-15","64286","17","21","15","10","43","11","289.8","46","62","2","30","120","51","-5","-5","-5","0","19","49","4","30"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Mark Anderson","44","69","70","72","71","282","-2","17604","35","32","53","44","32","49","266.1","69","42","51","27","108","19","2","0","-4","0","14","47","10","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Mark Anderson","24","70","72","71","72","285","-3","59357","15","20","19","24","33","44","276","63","41","59","26.8","107","5","2","0","-5","1","10","52","9","20"
"2017","9-Jul-17","41463","The Greenbrier Classic","Greenbrier Classic","The Old White Course","7286","70","The Greenbrier Classic","Mark Anderson","50","68","68","71","71","278","-2","17202","25","22","32","50","42","14","295.8","67","46","60","28.5","114","19","4","-3","-3","0","14","48","8","10"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Mark Anderson","50","70","67","69","70","276","-8","13821","55","29","44","50","37","56","302.4","18","58","6","31.3","125","73","-1","0","-7","1","12","53","6","10"
