"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","19-Jul-15","40742","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Martin Piller","19","69","66","70","69","274","-10","47250","25","6","18","19","30","71","289.8","47","50","52","27.8","111","6","2","-4","-8","1","22","36","12","20"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Martin Piller","81","72","70","74","0","216","0","10620","89","56","81","0","25","0","292.5","0","39","0","31","93","0","1","2","-3","0","5","44","5","5"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Martin Piller","62","70","70","69","73","282","-2","13568","79","69","46","62","29","51","317.9","7","49","56","29","116","29","0","-2","0","0","14","48","8","5"
"2016","22-Nov-15","40868","The RSM Classic","RSM Classic","Seaside Course","","70","The RSM Classic","Martin Piller","82","67","71","73","0","211","-1","10032","23","36","82","0","30","0","283.7","0","36","0","29","87","0","1","1","-3","0","12","34","5","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Martin Piller","24","68","72","65","68","273","-15","49445","32","88","35","24","39","20","289.1","52","51","35","26.8","107","20","0","-4","-11","1","22","42","5","20"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Martin Piller","63","70","72","73","82","297","9","13780","34","38","41","63","24","53","285","57","40","64","28.8","115","11","2","14","-7","0","12","42","16","5"
"2016","24-Apr-16","41022","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Martin Piller","4","70","68","71","70","279","-9","233740","21","5","6","4","41","9","288.9","24","50","10","27.3","109","16","-1","-2","-6","0","15","52","4","40"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Martin Piller","41","69","72","72","77","290","2","22642","9","13","10","41","26","52","273.3","70","38","70","27","108","6","0","5","-3","0","11","48","13","10"
"2016","29-May-16","41057","Dean & DeLuca Invitational","Fort Worth Invitational","Colonial C.C.","7209","70","Dean & DeLuca Invitational","Martin Piller","6","66","66","68","71","271","-9","216913","5","1","4","6","31","39","299.6","15","53","9","28.5","114","23","-1","-7","-1","0","21","40","10","30"
"2018","8-Oct-17","41554","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Martin Piller","69","71","72","70","79","292","4","12400","47","66","55","69","34","12","304.4","34","45","63","30.3","121","61","7","2","-5","0","14","42","14","5"
"2018","29-Oct-17","41575","Sanderson Farms Championship","","Country Club of Jackson","7421","72","Sanderson Farms Championship","Martin Piller","43","71","71","70","74","286","-2","13094","50","49","32","43","24","69","289","28","40","74","27","108","6","2","1","-5","0","12","50","10","10"
"2018","12-Nov-17","41589","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Martin Piller","4","66","68","71","65","270","-14","312400","5","7","14","4","30","70","286.1","30","40","77","24.3","97","1","-6","-1","-7","1","25","35","10","40"
"2018","21-Jan-18","41659","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Martin Piller","3","64","67","67","70","268","-20","306800","5","4","2","3","35","37","292.6","37","49","39","25.3","101","4","-3","-6","-11","0","28","36","8","60"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Martin Piller","67","72","72","75","71","290","6","14832","61","64","74","67","27","52","277.6","73","36","59","27.8","111","35","1","11","-6","0","9","50","11","5"
"2018","25-Feb-18","41694","Honda Classic","","PGA National Champion Course","7140","70","Honda Classic","Martin Piller","67","69","76","75","72","292","12","13596","12","59","73","67","35","35","293","47","32","73","27.8","111","14","3","11","-2","1","11","37","21","5"
"2018","1-Apr-18","41729","Houston Open","","Golf Club of Houston (Tournament Course)","7441","72","Houston Open","Martin Piller","24","68","73","70","67","278","-10","54163","24","70","55","24","39","22","286.4","45","55","28","28.8","115","26","1","-9","-2","0","19","46","5","20"
