"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Matt Every","47","72","77","68","73","290","2","18223","30","66","56","47","29","68","0","0","48","34","29.5","118","48","3","5","-6","0","17","39","13","10"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Matt Every","7","67","68","69","66","270","-10","171417","22","10","9","7","43","10","272.3","52","55","15","29","116","18","-2","-2","-6","0","18","46","8","30"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Matt Every","36","71","67","68","71","277","-7","25833","63","34","30","36","34","50","284.6","29","57","3","30","120","61","-1","-1","-5","0","19","43","8","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Matt Every","8","69","65","69","67","270","-10","119000","48","11","18","8","28","38","283.5","64","45","48","27","108","12","-2","-3","-5","0","22","39","10","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Matt Every","13","65","68","69","66","268","-20","103740","6","8","18","13","32","79","290","45","58","9","29","116","64","-3","-3","-14","3","20","44","4","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Matt Every","37","72","66","67","75","280","-4","27900","84","27","13","37","39","7","297.8","47","52","25","29.5","118","34","3","-1","-6","1","15","45","10","10"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Matt Every","6","69","69","69","67","274","-10","216913","18","14","17","6","25","65","288.4","52","43","42","26.3","105","5","0","-3","-7","1","16","48","6","30"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Matt Every","24","66","73","65","73","277","-3","45400","6","52","9","24","33","40","282.8","46","42","57","27.5","110","15","0","2","-5","0","15","45","12","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Matt Every","8","68","71","72","71","282","-2","148200","1","3","11","8","34","29","277.5","24","48","14","29.3","117","32","3","2","-7","0","15","45","11","30"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Matt Every","1","69","70","66","70","275","-13","1116000","17","10","3","1","34","51","282.4","48","52","7","28","112","8","-1","-4","-8","0","21","43","8","100"
