"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Matt Kuchar","7","68","68","68","66","270","-10","171417","38","17","9","7","35","58","272.4","51","53","25","29.5","118","25","-2","-3","-5","0","15","52","5","30"
"2014","6-Jan-14","40183","Hyundai Tournament of Champions","Sentry Tournament of Champions","Plantation Course at Kapalua","7452","73","Hyundai Tournament of Champions","Matt Kuchar","6","68","68","75","67","278","-14","198750","9","2","16","6","50","3","272.3","14","55","18","29.5","118","6","4","-12","-6","0","23","40","9","30"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Matt Kuchar","8","68","68","68","66","270","-10","119000","25","25","27","8","30","22","292.4","40","49","23","28","112","22","-2","-1","-7","1","15","49","7","30"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Matt Kuchar","13","69","74","74","74","291","3","110000","2","1","9","13","27","29","298.3","21","42","28","28.8","115","29","3","4","-4","0","15","41","14","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Matt Kuchar","38","73","71","69","74","287","3","23940","70","46","24","38","38","9","268.8","49","46","29","30","120","57","5","1","-3","0","8","53","11","10"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Matt Kuchar","4","70","72","65","75","282","-6","272800","12","16","2","4","40","7","276.1","60","42","28","27.3","109","25","-1","-2","-3","0","16","46","10","40"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Matt Kuchar","2","66","67","68","72","273","-15","691200","3","2","1","1","36","25","289.9","49","62","1","29.5","118","44","0","-7","-8","0","22","43","7","75"
"2014","13-Apr-14","40280","Masters","","Augusta National G.C.","7435","72","Masters","Matt Kuchar","5","73","71","68","74","286","-2","342000","27","15","3","5","43","7","283","46","46","14","29","116","16","3","1","-6","0","15","45","11","40"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Matt Kuchar","1","66","73","70","64","273","-11","1044000","1","4","7","1","41","7","268.5","56","53","1","28","112","36","0","-6","-5","0","19","47","4","100"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Matt Kuchar","17","71","71","69","71","282","-6","135333","48","37","14","17","40","13","277.1","57","44","59","27.5","110","10","-1","1","-6","0","16","48","6","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Matt Kuchar","7","69","67","68","68","272","-8","207863","29","15","13","7","36","7","290.6","51","46","35","27.3","109","7","1","-5","-4","0","16","48","8","30"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Matt Kuchar","15","74","69","69","70","282","-6","102300","87","48","31","15","45","6","288.5","53","48","22","28.5","114","43","2","0","-8","2","16","42","10","20"
