"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Matthew Fitzpatrick","23","71","71","69","71","282","-2","0","36","31","16","23","37","36","283.6","13","40","53","26.8","107","11","-1","0","-1","0","9","58","3","20"
"2014","15-Jun-14","40343","U.S. Open","","Pinehurst C.C. (No 2)","7546","70","U.S. Open","Matthew Fitzpatrick","48","71","73","78","69","291","11","0","36","44","61","48","45","2","274.4","60","46","10","30.8","123","47","8","4","-1","0","12","40","17","10"
"2016","8-Nov-15","40854","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Matthew Fitzpatrick","7","68","69","69","67","273","-15","173750","16","9","13","7","39","10","0","0","59","8","30.5","122","62","-3","0","-12","0","22","44","5","30"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Matthew Fitzpatrick","35","76","71","72","73","292","4","72500","56","48","41","35","38","3","282.4","62","46","29","30","120","45","3","9","-8","2","10","43","16","10"
"2016","20-Mar-16","40987","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Matthew Fitzpatrick","27","70","71","72","69","282","-6","41934","27","36","38","27","44","8","285.6","43","43","52","27","108","15","0","-3","-3","0","15","48","9","10"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Matthew Fitzpatrick","7","71","76","74","67","288","0","311667","13","33","23","7","41","10","270.6","51","54","1","32","128","55","2","2","-4","0","11","50","11","30"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Matthew Fitzpatrick","54","73","70","79","71","293","13","26066","46","27","64","54","33","29","273.6","64","40","56","30.5","122","34","0","13","0","0","10","40","21","5"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Matthew Fitzpatrick","49","72","70","70","67","279","-1","25000","81","70","66","49","42","6","286","55","50","59","30","120","25","3","1","-5","0","10","53","9","10"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Matthew Fitzpatrick","16","72","74","70","65","281","-7","103667","34","43","37","16","33","33","0","0","58","1","30.3","121","57","0","-2","-5","0","15","50","6","20"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Matthew Fitzpatrick","68","72","68","76","73","289","9","13056","96","55","68","68","29","60","297.3","24","33","70","25.8","103","2","2","13","-6","1","12","41","13","5"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Matthew Fitzpatrick","16","71","67","72","68","278","-6","105125","28","15","25","16","45","1","265.4","76","52","5","29.3","117","51","2","-1","-7","1","18","39","14","20"
"2017","19-Mar-17","41351","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Matthew Fitzpatrick","13","67","69","72","76","284","-4","163125","1","3","3","13","35","48","282.8","56","42","42","26.8","107","5","-2","4","-6","0","15","46","11","20"
"2017","9-Apr-17","41372","Masters","","Augusta National G.C.","7435","72","Masters","Matthew Fitzpatrick","32","71","78","73","70","292","4","68200","4","35","36","32","39","17","0","0","46","22","29.5","118","16","5","6","-7","0","15","40","15","10"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Matthew Fitzpatrick","35","70","73","70","76","289","1","58637","18","33","26","35","46","17","0","0","47","45","29.5","118","28","2","0","-1","0","19","36","14","10"
"2017","23-Jul-17","41477","British Open","","Royal Birkdale G.C.","7156","70","British Open","Matthew Fitzpatrick","44","69","73","68","73","283","3","31070","26","24","18","44","30","17","283","66","45","34","29.8","119","46","1","7","-5","1","12","43","15","10"
"2017","6-Aug-17","41491","WGC-Bridgestone Invitational","","Firestone C.C. (South)","7400","70","WGC-Bridgestone Invitational","Matthew Fitzpatrick","50","73","71","71","71","286","6","51250","53","52","49","50","24","55","288","71","47","13","30.5","122","71","3","3","0","0","12","44","15","10"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Matthew Fitzpatrick","9","68","69","72","73","282","-6","176000","11","6","9","9","42","3","0","0","46","44","29","116","30","1","-4","-3","0","15","48","9","30"
"2018","4-Mar-18","41701","WGC-Mexico Championship","","Club de Golf Chapultepec","7345","71","WGC-Mexico Championship","Matthew Fitzpatrick","30","71","69","74","68","282","-2","81429","32","29","42","30","37","9","297.6","52","47","35","28.8","115","20","1","-1","-2","0","11","52","9","10"
