"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Max Homa","9","69","68","66","69","272","-12","135000","19","18","7","9","29","53","310.4","7","52","33","28.3","113","12","-1","-7","-4","1","22","37","12","30"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Max Homa","30","69","70","68","67","274","-10","36450","51","58","47","30","27","58","318.1","4","55","35","29.8","119","35","2","-4","-8","2","17","43","9","10"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Max Homa","71","73","70","71","75","289","1","6930","77","68","66","71","36","40","293.9","19","51","33","31.8","127","70","3","5","-7","0","13","46","12","5"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Max Homa","48","71","71","71","71","284","-4","17544","54","67","64","48","38","17","293.3","37","53","17","30.5","122","68","0","1","-5","0","14","48","10","10"
"2015","12-Oct-14","40462","Frys.com Open","Safeway Open","Silverado C.C. (North)","7203","72","Frys.com Open","Max Homa","39","72","68","72","72","284","-4","23400","63","22","38","39","28","60","301.8","17","53","9","29.5","118","46","-1","-1","-2","0","16","47","7","10"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Max Homa","43","72","70","68","75","285","-3","12180","70","52","19","43","26","57","294.8","13","47","64","29","116","22","1","3","-7","0","18","43","8","10"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Max Homa","29","68","71","69","68","276","-8","37134","29","58","40","29","34","52","284.8","26","39","73","25.5","102","2","-3","2","-7","0","13","55","3","10"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Max Homa","6","69","67","63","69","268","-12","163600","49","44","7","6","24","56","304.8","17","47","48","26.8","107","2","1","-7","-6","1","18","45","8","30"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Max Homa","29","66","71","71","67","275","-12","44200","12","31","51","29","38","45","298.6","20","51","38","28","112","22","-4","-3","-5","0","20","44","8","10"
"2015","29-Mar-15","40630","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Max Homa","56","69","81","77","70","297","9","14074","3","66","73","56","35","20","293.1","22","43","13","29.3","117","54","5","8","-4","0","14","37","19","5"
"2015","26-Apr-15","40658","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Max Homa","65","70","68","69","76","283","-5","14283","50","36","33","65","36","54","293.4","11","50","54","28.3","113","34","6","-5","-6","1","16","46","6","5"
"2015","17-May-15","40679","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Max Homa","76","72","71","75","0","218","2","13206","65","55","76","0","20","0","295.2","0","29","0","28","84","0","2","6","-6","0","9","35","9","5"
"2015","14-Jun-15","40707","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Max Homa","66","68","70","68","79","285","5","12600","20","30","15","66","29","51","297.1","27","46","19","29.5","118","74","2","4","-1","0","11","47","12","5"
"2015","12-Jul-15","40735","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Max Homa","35","70","66","70","69","275","-9","22678","88","22","32","35","43","33","282.4","20","52","33","29","116","38","-2","-3","-4","0","18","46","7","10"
"2015","2-Aug-15","40756","Quicken Loans National","The National","Robert Trent Jones G.C.","7385","71","Quicken Loans National","Max Homa","72","72","68","72","77","289","5","13065","97","63","63","72","30","65","303.6","12","50","57","30.5","122","59","2","7","-4","0","13","46","9","5"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Max Homa","85","72","68","77","0","217","7","11008","84","58","85","0","16","0","297.7","0","32","0","29.3","88","0","2","8","-3","0","10","31","9","5"
"2017","23-Jul-17","41477","Barbasol Championship","","RTJ Trail (Grand National)","7302","71","Barbasol Championship","Max Homa","71","68","68","74","72","282","-2","7000","23","29","68","71","31","69","302.1","16","51","55","29.8","119","51","0","3","-5","0","11","54","5","5"
