"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Miguel Angel Carballo","72","68","70","72","0","210","0","10696","25","42","72","0","18","0","305.7","0","35","0","29.7","89","0","1","1","-2","0","9","36","9","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Miguel Angel Carballo","46","69","76","74","73","292","4","15934","4","43","56","46","41","3","290.8","24","45","9","29.3","117","65","0","7","-3","0","11","49","11","10"
"2014","8-Jun-14","40336","FedEx St. Jude Classic","","TPC Southwind","7239","70","FedEx St. Jude Classic","Miguel Angel Carballo","53","68","70","74","71","283","3","13241","24","35","61","53","31","43","287.3","20","42","47","28.8","115","49","1","7","-5","1","10","47","13","5"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Miguel Angel Carballo","18","68","68","72","63","271","-9","78120","40","28","55","18","36","54","296.1","25","47","55","27.8","111","15","1","-5","-5","3","13","47","8","20"
"2016","18-Oct-15","40833","Frys.com Open","","Silverado C.C. (North)","7203","72","Frys.com Open","Miguel Angel Carballo","32","72","69","67","73","281","-7","31133","89","39","20","32","30","42","304.6","20","50","34","28.5","114","28","0","0","-7","1","16","45","9","10"
"2016","14-Feb-16","40952","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Miguel Angel Carballo","70","69","71","75","0","215","0","13300","35","34","70","0","33","0","281.7","0","30","0","28","84","0","0","1","-1","0","11","32","11","5"
"2016","12-Jun-16","41071","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Miguel Angel Carballo","52","66","75","75","67","283","3","14384","4","61","69","52","30","33","285.8","48","38","66","28.5","114","54","1","6","-4","1","10","48","11","5"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Miguel Angel Carballo","79","73","72","78","76","299","11","10974","55","47","79","79","26","48","305.3","54","42","49","31","124","80","2","12","-3","0","8","45","19","5"
"2016","7-Aug-16","41127","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Miguel Angel Carballo","56","73","66","71","67","277","-3","14718","128","56","68","56","32","62","286.4","47","52","34","29.8","119","45","2","-3","-2","0","15","46","10","5"
"2016","14-Aug-16","41134","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Miguel Angel Carballo","16","70","64","69","69","272","-12","69600","71","9","16","16","40","56","288.8","34","53","35","28","112","12","-1","-5","-6","0","19","46","7","20"
"2017","30-Oct-16","41211","Sanderson Farms Championship","","C.C. of Jackson","7421","72","Sanderson Farms Championship","Miguel Angel Carballo","14","70","69","71","67","277","-11","73500","51","30","34","14","30","30","297.5","34","54","14","29","116","38","-1","-3","-7","1","18","46","5","20"
"2017","13-Nov-16","41225","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Miguel Angel Carballo","60","68","72","71","69","280","-4","15050","20","59","67","60","40","23","282.1","44","52","29","30.5","122","68","-2","3","-5","0","18","41","12","5"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Miguel Angel Carballo","70","67","72","71","74","284","-4","11542","11","39","53","70","37","32","278.5","62","44","74","27.5","110","27","0","-2","-2","0","17","42","13","5"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Miguel Angel Carballo","30","68","71","69","68","276","-12","19950","17","38","33","30","40","28","291.3","38","51","58","28.3","113","14","1","-3","-10","2","15","49","5","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Miguel Angel Carballo","73","75","70","74","78","297","9","14550","116","56","65","73","35","29","276.9","62","40","63","28.8","115","38","0","11","-2","1","7","49","12","5"
"2017","16-Jul-17","41470","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Miguel Angel Carballo","50","68","68","68","72","276","-8","13821","24","21","27","50","45","11","296.5","30","54","30","29.8","119","53","-4","1","-5","1","13","52","5","10"
"2017","30-Jul-17","41484","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Miguel Angel Carballo","70","70","69","72","74","285","-3","11760","70","46","65","70","37","8","298","45","51","21","30","120","73","-1","3","-5","0","15","46","10","5"
"2017","20-Aug-17","41505","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Miguel Angel Carballo","69","68","69","70","71","278","-2","11600","58","66","62","69","37","33","303.3","35","53","49","30.3","121","44","0","4","-6","2","12","47","8","5"
