"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Morgan Hoffmann","46","70","72","67","70","279","-5","13860","34","66","45","46","27","59","304.4","17","52","33","31.3","125","66","0","0","-5","0","11","55","6","10"
"2014","20-Oct-13","40105","Shriners Hospitals for Children Open","","TPC Summerlin","7243","71","Shriners Hospitals for Children Open","Morgan Hoffmann","43","67","67","71","72","277","-7","19800","20","13","30","43","30","48","323.8","2","43","70","27.3","109","1","0","-2","-5","1","20","40","8","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Morgan Hoffmann","49","69","71","72","67","279","-5","14660","24","55","67","49","38","26","284.6","29","51","34","28.8","115","36","2","0","-7","0","18","42","11","10"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Morgan Hoffmann","65","68","69","71","70","278","-2","11648","25","36","64","65","22","64","316","2","47","39","28.8","115","42","1","1","-4","1","12","48","10","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Morgan Hoffmann","16","72","66","72","73","283","-5","97600","63","6","4","16","30","30","292.3","21","46","37","28.3","113","18","1","-2","-4","0","18","42","11","20"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Morgan Hoffmann","15","69","66","70","71","276","-8","102300","40","12","13","15","36","19","307.1","28","55","12","30.3","121","52","2","-3","-7","1","16","46","8","20"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Morgan Hoffmann","25","74","69","71","71","285","1","42587","98","35","38","25","30","50","287.4","10","41","61","28.5","114","9","0","2","-1","0","8","55","9","20"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Morgan Hoffmann","35","67","71","71","78","287","-1","28636","5","5","8","35","35","46","288.8","33","43","66","28","112","8","1","4","-6","1","15","42","12","10"
"2014","27-Apr-14","40294","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Morgan Hoffmann","34","70","68","70","74","282","-6","30785","36","22","28","34","29","70","289.8","45","45","67","25.8","103","2","0","-1","-5","0","23","36","9","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Morgan Hoffmann","17","71","70","70","71","282","-6","135333","48","25","14","17","41","6","293.6","10","46","42","27.3","109","7","0","1","-7","0","20","40","10","20"
"2014","18-May-14","40315","HP Byron Nelson Championship","AT&T Byron Nelson","TPC Las Colinas","7166","70","HP Byron Nelson Championship","Morgan Hoffmann","16","68","66","68","73","275","-5","100050","13","2","6","16","25","59","290.3","53","43","55","26.5","106","3","0","0","-5","0","20","40","9","20"
"2014","22-Jun-14","40350","Travelers Championship","","TPC River Highlands","6841","70","Travelers Championship","Morgan Hoffmann","67","68","70","69","73","280","0","12586","40","52","44","67","31","72","291.4","47","45","64","28.3","113","27","4","-4","0","0","15","42","15","5"
"2014","29-Jun-14","40357","Quicken Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quicken Loans National","Morgan Hoffmann","71","70","68","78","78","294","10","12740","16","7","48","71","24","71","294.3","51","38","72","27.8","111","6","3","10","-3","0","12","40","18","5"
