"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","28-Oct-13","40113","CIMB Classic","","Kuala Lumpur Golf & C.C.","6964","72","CIMB Classic","Nicholas Thompson","40","69","71","76","72","288","0","28000","12","18","46","40","38","21","0","0","57","2","32.8","131","78","3","2","-5","0","14","45","12","10"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Nicholas Thompson","69","71","69","67","69","276","-12","11172","98","91","70","69","33","69","289.3","51","49","77","28","112","40","1","-2","-11","3","16","43","10","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Nicholas Thompson","71","72","70","76","77","295","7","12017","63","32","63","71","30","30","283.1","49","45","43","30.5","122","63","2","6","-1","0","10","48","11","5"
"2014","2-Mar-14","40238","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Nicholas Thompson","33","68","70","66","74","278","-2","30375","22","38","9","33","38","16","283.9","40","53","1","30","120","64","-3","2","-1","0","12","51","8","10"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Nicholas Thompson","44","76","69","69","74","288","4","15892","130","64","38","44","30","50","270.4","44","43","50","29.3","117","32","0","5","-1","0","9","50","13","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Nicholas Thompson","26","71","73","71","70","285","-3","45880","40","46","42","26","39","19","283.4","43","51","12","30.5","122","59","2","5","-10","1","15","42","14","10"
"2014","6-Apr-14","40273","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Nicholas Thompson","24","71","69","74","70","284","-4","50651","76","18","30","24","39","10","287","55","55","5","31","124","72","-3","3","-4","1","10","54","6","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Nicholas Thompson","12","70","70","68","72","280","-4","110200","20","15","3","12","40","13","286.1","6","50","4","28.5","114","49","0","0","-4","0","16","45","10","20"
"2014","25-May-14","40322","Crowne Plaza Invitational at Colonial","Fort Worth Invitational","Colonial C.C.","7204","70","Crowne Plaza Invitational at Colonial","Nicholas Thompson","3","69","68","69","66","272","-8","371200","24","17","18","3","36","12","292.6","45","50","24","28.3","113","18","0","-5","-3","0","15","50","7","60"
"2014","13-Jul-14","40371","John Deere Classic","","TPC Deere Run","7268","71","John Deere Classic","Nicholas Thompson","37","67","71","68","69","275","-9","20709","17","35","35","37","43","17","293.5","42","53","29","29.5","118","60","-2","-1","-6","0","16","50","5","10"
