"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","13-Oct-13","40098","Frys.com Open","Safeway Open","CordeValle Golf Club","7379","71","Frys.com Open","Pat Perez","58","72","70","70","70","282","-2","11050","66","66","64","58","30","47","283.1","64","49","51","28.5","114","19","-1","4","-5","0","18","40","12","5"
"2014","10-Nov-13","40126","The McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Pat Perez","48","68","71","72","69","280","0","13671","38","34","56","48","37","48","278.9","31","47","62","28","112","6","1","1","-2","0","11","54","6","10"
"2014","17-Nov-13","40133","Mayakoba Golf Classic","","El Camaleon","6987","71","Mayakoba Golf Classic","Pat Perez","16","66","68","71","69","274","-10","84171","4","6","22","16","31","67","287.3","22","54","17","28.5","114","27","0","-1","-9","0","19","46","5","20"
"2014","12-Jan-14","40189","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Pat Perez","8","68","67","66","69","270","-10","119000","25","17","6","8","30","22","296.1","33","49","23","27.8","111","21","-2","-3","-5","0","15","53","3","30"
"2014","19-Jan-14","40196","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","6950","72","Humana Challenge","Pat Perez","58","69","70","66","70","275","-13","12198","48","74","45","58","36","48","290.5","42","54","36","28.5","114","49","1","-2","-12","1","17","48","6","5"
"2014","26-Jan-14","40203","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Pat Perez","2","67","71","72","70","280","-8","366000","7","6","4","2","33","19","275.4","62","49","17","28.3","113","18","2","-4","-6","0","18","44","10","75"
"2014","2-Feb-14","40210","Waste Management Phoenix Open","","TPC Scottsdale","7152","71","Waste Management Phoenix Open","Pat Perez","11","65","68","70","71","274","-10","155000","3","5","9","11","32","53","307.9","26","57","6","29.5","118","34","0","-8","-2","0","22","38","12","20"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Pat Perez","7","69","70","71","71","281","-6","205700","35","15","5","7","36","38","267.6","49","51","6","29.5","118","35","-1","-2","-3","2","13","46","11","30"
"2014","16-Feb-14","40224","Northern Trust Open","Genesis Open","Riviera C.C.","7349","71","Northern Trust Open","Pat Perez","75","69","72","73","78","292","8","12730","18","40","59","75","28","51","299.6","24","40","61","27.8","111","24","4","6","-2","1","15","38","13","5"
"2014","16-Mar-14","40252","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Pat Perez","44","68","71","77","72","288","4","15892","1","3","58","44","37","12","272","40","44","43","28","112","6","0","10","-6","0","15","43","9","10"
"2014","23-Mar-14","40259","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Pat Perez","67","70","70","70","83","293","5","12772","26","16","12","67","36","40","283.6","42","45","54","30.5","122","59","2","9","-6","0","14","43","13","5"
"2014","30-Mar-14","40266","Valero Texas Open","","TPC San Antonio (ATT Canyons)","7435","72","Valero Texas Open","Pat Perez","11","68","71","69","77","285","-3","136400","2","4","4","11","29","49","289.8","29","41","33","25.5","102","2","-1","3","-5","0","17","44","8","20"
"2014","20-Apr-14","40287","RBC Heritage","","Harbour Town G.L.","7101","71","RBC Heritage","Pat Perez","18","74","69","74","64","281","-3","75632","92","37","62","18","39","19","275.3","34","50","4","29","116","60","3","-2","-4","0","16","46","7","20"
"2014","4-May-14","40301","Wells Fargo Championship","","Quail Hollow Club","7562","72","Wells Fargo Championship","Pat Perez","44","73","71","66","77","287","-1","20861","67","47","11","44","27","41","286.1","64","39","65","26.8","107","9","5","3","-9","0","15","46","8","10"
"2014","11-May-14","40308","The Players Championship","","TPC Sawgrass","7215","72","The Players Championship","Pat Perez","48","68","73","75","71","287","-1","24073","12","25","52","48","38","22","280.5","48","49","21","29","116","52","-2","1","0","0","15","46","9","10"
"2014","1-Jun-14","40329","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Pat Perez","69","71","70","77","74","292","4","12400","28","24","65","69","34","60","292.6","42","46","37","30","120","68","3","4","-3","1","7","52","11","5"
"2014","6-Jul-14","40364","The Greenbrier Classic","","The Old White Course","7287","70","The Greenbrier Classic","Pat Perez","75","66","69","75","0","210","0","12155","10","8","75","0","27","0","282","0","38","0","30.3","91","0","1","1","-2","0","6","43","4","5"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Pat Perez","46","71","71","71","70","283","-1","25375","54","53","56","46","42","7","280.4","58","49","22","29.8","119","57","-1","6","-6","1","5","61","4","10"
"2015","2-Nov-14","40483","CIMB Classic","","Kuala Lumpur Golf & C.C.","6985","72","CIMB Classic","Pat Perez","33","72","73","69","69","283","-5","38675","39","48","39","33","37","33","0","0","48","52","28.8","115","13","1","-3","-3","2","14","43","13","10"
"2015","16-Nov-14","40497","Mayakoba Golf Classic","OHL Classic at Mayakoba","El Camaleon","6987","71","Mayakoba Golf Classic","Pat Perez","69","66","73","72","73","284","0","12261","7","58","59","69","35","40","282.5","39","43","63","28.3","113","45","-1","7","-6","0","18","39","12","5"
"2015","18-Jan-15","40560","Sony Open in Hawaii","","Waialae C.C.","7044","70","Sony Open in Hawaii","Pat Perez","17","67","68","70","65","270","-10","68444","23","30","49","17","36","9","288.9","54","48","44","27.5","110","13","1","-5","-6","0","21","40","11","20"
"2015","25-Jan-15","40567","Humana Challenge","CareerBuilder Challenge","PGA West Palmer Course","","72","Humana Challenge","Pat Perez","30","66","68","70","70","274","-14","31091","11","14","24","30","41","9","283.5","57","50","47","27.8","111","43","-2","-3","-9","0","18","50","4","10"
"2015","1-Feb-15","40574","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Pat Perez","26","70","69","68","71","278","-6","50243","42","20","20","26","46","2","272.9","73","50","19","28.8","115","46","-2","-2","-2","0","11","56","5","10"
"2015","8-Feb-15","40581","Farmers Insurance Open","","Torrey Pines South Course","7628","72","Farmers Insurance Open","Pat Perez","74","75","65","77","83","300","12","12096","130","21","62","74","37","3","270.8","72","50","11","32.3","129","74","3","11","-2","1","12","39","15","5"
"2015","15-Feb-15","40588","AT&T Pebble Beach","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach National Pro-Am","Pat Perez","4","66","68","68","68","270","-17","281067","12","13","6","4","40","27","276.1","58","52","35","26.8","107","4","-2","-3","-12","1","25","36","10","40"
