"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2015","26-Oct-14","40476","McGladrey Classic","RSM Classic","Seaside Course","7005","70","McGladrey Classic","Patton Kizzire","54","66","71","70","70","277","-3","12544","5","28","48","54","32","65","295.1","9","54","39","30.8","123","54","-1","2","-4","0","12","52","7","5"
"2016","25-Oct-15","40840","Shriners Hospitals for Children Open","","TPC Summerlin","7255","71","Shriners Hospitals for Children Open","Patton Kizzire","2","65","69","72","63","269","-15","355733","5","10","16","2","27","59","312.3","16","57","8","28.3","113","9","-4","-6","-5","0","23","43","5","75"
"2016","9-Nov-15","40855","Sanderson Farms Championship","","Country Club of Jackson","7364","72","Sanderson Farms Championship","Patton Kizzire","4","67","69","66","70","272","-16","154570","11","12","1","4","25","68","290.1","11","53","36","27.3","109","2","-2","-5","-9","1","18","49","4","40"
"2016","16-Nov-15","40862","OHL Classic at Mayakoba","","El Camaleon","6987","71","OHL Classic at Mayakoba","Patton Kizzire","58","66","71","70","74","281","-3","13764","5","23","40","58","30","67","276.6","42","50","40","29.5","118","54","-2","2","-3","0","19","41","9","5"
"2016","24-Jan-16","40931","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Patton Kizzire","42","71","67","69","69","276","-12","19173","91","54","63","42","34","46","304.5","12","53","25","27.8","111","42","3","-5","-10","1","19","44","7","10"
"2016","1-Feb-16","40939","Farmers Insurance Open","","Torrey Pines South Course","7698","72","Farmers Insurance Open","Patton Kizzire","8","67","73","71","76","287","-1","175500","3","18","17","8","19","67","292.5","33","42","48","28.3","113","5","-3","7","-5","0","15","44","12","30"
"2016","7-Feb-16","40945","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Patton Kizzire","60","69","72","77","69","287","3","14105","30","48","67","60","23","66","296.3","34","42","58","28.5","114","30","2","4","-3","0","12","46","13","5"
"2016","21-Feb-16","40959","Northern Trust Open","Genesis Open","Riviera C.C.","7322","71","Northern Trust Open","Patton Kizzire","52","70","69","75","69","283","-1","16184","39","28","72","52","28","50","268.3","74","44","44","29.8","119","57","-2","7","-6","0","16","42","13","5"
"2016","28-Feb-16","40966","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","Honda Classic","Patton Kizzire","26","75","64","75","68","282","2","39816","106","14","56","26","39","10","284.6","60","45","32","28.3","113","17","4","2","-4","0","17","38","15","10"
"2016","13-Mar-16","40980","Valspar Championship","","Innisbrook Resort (Copperhead Course)","7340","71","Valspar Championship","Patton Kizzire","33","71","73","70","72","286","2","35304","25","43","30","33","26","55","286.8","46","40","43","28.3","113","24","4","4","-6","0","11","49","11","10"
"2016","17-Apr-16","41015","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Patton Kizzire","14","69","68","71","74","282","-2","88631","15","4","4","14","35","15","274.1","56","40","40","27.5","110","28","0","1","-3","0","15","44","13","20"
"2016","2-May-16","41030","Zurich Classic of New Orleans","","TPC Louisiana","7425","72","Zurich Classic of New Orleans","Patton Kizzire","8","67","70","68","0","205","-11","203000","5","10","8","0","26","64","290","25","40","21","27.7","83","16","-2","-3","-6","0","12","41","1","30"
"2016","8-May-16","41036","Wells Fargo Championship","","Quail Hollow Club","7575","72","Wells Fargo Championship","Patton Kizzire","24","72","69","74","72","287","-1","62233","53","13","19","24","30","29","271.6","72","43","41","27.8","111","14","1","4","-6","0","14","46","11","20"
"2016","15-May-16","41043","Players Championship","The Players Championship","TPC Sawgrass","7215","72","The Players Championship","Patton Kizzire","76","71","70","82","77","300","12","19740","62","56","76","76","38","21","296.4","21","50","25","31.8","127","76","2","6","4","1","8","47","10","5"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Patton Kizzire","38","73","67","70","71","281","-7","34000","96","43","46","38","48","2","287.6","41","50","27","28","112","27","2","-4","-5","0","19","42","10","10"
"2016","26-Jun-16","41085","Quick Loans National","The National","Congressional Country Club - Blue Course","7569","71","Quick Loans National","Patton Kizzire","57","70","71","71","72","284","0","15318","55","47","46","57","31","50","287.9","46","54","16","29.5","118","42","0","2","-2","0","14","46","11","5"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Patton Kizzire","68","76","70","75","75","296","12","19848","134","67","73","68","35","36","287","33","39","60","29","116","33","3","9","0","0","8","48","12","5"
"2016","24-Jul-16","41113","RBC Canadian Open","","Glen Abbey G.C.","7253","72","RBC Canadian Open","Patton Kizzire","70","73","72","73","73","291","3","11741","55","47","60","70","29","24","318.8","19","41","53","28","112","40","5","10","-12","2","15","37","15","5"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Patton Kizzire","49","71","71","68","69","279","-1","25000","55","70","46","49","32","57","284.4","62","53","29","30.3","121","39","-1","4","-4","0","14","46","11","10"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Patton Kizzire","53","67","68","71","68","274","-6","12964","22","26","57","53","33","49","319.5","13","52","55","30.3","121","39","-2","1","-5","0","17","44","11","5"
"2017","16-Oct-16","41197","Safeway Open","","Silverado C.C. (North)","7166","72","Safeway Open","Patton Kizzire","2","64","71","66","70","271","-17","648000","2","5","1","2","23","67","289.4","36","54","21","27.3","109","3","-5","-7","-5","0","22","45","5","75"
"2017","22-Jan-17","41295","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Patton Kizzire","50","65","71","73","72","281","-7","13703","2","13","43","50","34","49","283.8","46","48","53","27.8","111","30","3","-7","-3","0","14","52","5","10"
"2017","5-Feb-17","41309","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Patton Kizzire","57","71","70","67","73","281","-3","14941","54","61","42","57","27","65","310.1","23","51","34","30.3","121","59","1","-1","-3","0","15","46","10","5"
"2017","19-Feb-17","41323","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Patton Kizzire","70","70","71","73","76","290","6","14140","50","49","66","70","27","58","277.6","48","47","16","31","124","71","-2","7","1","0","10","47","14","5"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Patton Kizzire","66","69","71","74","73","287","7","13248","42","55","66","66","30","58","285.5","49","37","68","27.5","110","12","5","2","0","0","13","41","16","5"
"2017","16-Apr-17","41379","RBC Heritage","","Harbour Town G.L.","7099","71","RBC Heritage","Patton Kizzire","32","72","66","70","72","280","-4","35193","91","25","20","32","27","70","291.5","8","44","43","28","112","37","0","1","-5","0","16","45","10","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Patton Kizzire","66","73","71","72","77","293","5","15300","81","44","49","66","28","62","282.3","49","46","26","30","120","65","-2","3","4","0","11","47","13","5"
