"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","3-Nov-13","40119","WGC-HSBC Champions","","Sheshan International Golf Club","7266","72","WGC-HSBC Champions","Peter Uihlein","55","71","73","73","70","287","-1","46250","28","38","58","55","27","68","0","0","42","70","27.5","110","11","-2","7","-6","0","17","40","14","5"
"2014","9-Mar-14","40245","WGC-Cadillac Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7481","72","WGC-Cadillac Championship","Peter Uihlein","25","73","77","71","72","293","5","76000","23","34","28","25","17","67","295.5","31","41","38","28.3","113","18","3","9","-7","0","14","41","15","20"
"2015","9-Nov-14","40490","Sanderson Farms Championship","","Country Club of Jackson","7354","72","Sanderson Farms Championship","Peter Uihlein","4","70","71","69","65","275","-13","165333","27","35","19","4","21","74","315.9","1","53","24","28","112","4","0","-4","-9","0","17","51","4","40"
"2017","26-Mar-17","41358","Puerto Rico Open","","Coco Beach Golf & C.C.","7506","72","Puerto Rico Open","Peter Uihlein","5","69","68","68","66","271","-17","109500","30","21","12","5","41","22","295.6","21","54","38","27.8","111","8","-1","-6","-10","0","23","43","6","40"
"2017","2-Apr-17","41365","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Peter Uihlein","23","71","71","72","69","283","-5","53709","66","40","32","23","34","44","291.4","25","55","9","30.3","121","55","3","0","-8","0","17","44","10","20"
"2017","4-Jun-17","41428","Memorial Tournament","","Muirfield Village G.C.","7392","72","Memorial Tournament","Peter Uihlein","25","76","69","68","73","286","-2","66410","82","49","27","25","41","7","301.3","23","43","46","27","108","8","5","0","-7","1","19","37","11","20"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Peter Uihlein","78","68","73","73","0","214","4","11840","14","70","78","0","18","0","297.7","0","29","0","28","84","0","1","5","-2","0","5","40","9","5"
"2017","23-Jul-17","41477","British Open","","Royal Birkdale G.C.","7156","70","British Open","Peter Uihlein","44","72","72","69","70","283","3","31070","79","45","43","44","24","59","301.3","25","48","11","31.3","125","75","2","4","-3","0","6","57","9","10"
"2018","15-Oct-17","41561","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Peter Uihlein","10","73","68","65","69","275","-13","175000","60","33","9","10","29","72","0","0","54","25","28.3","113","9","-1","-3","-9","2","19","43","7","30"
"2018","29-Oct-17","41575","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Peter Uihlein","5","72","67","69","72","280","-8","288000","48","12","6","5","34","30","0","0","45","48","27.5","110","5","2","-5","-5","0","16","48","8","40"
"2018","21-Jan-18","41659","CareerBuilder Challenge","","PGA West Stadium Course","7113","72","CareerBuilder Challenge","Peter Uihlein","17","70","64","70","69","273","-15","88500","88","19","21","17","33","49","295.9","29","51","29","27.3","109","41","0","-8","-7","0","25","37","10","20"
"2018","4-Feb-18","41673","Waste Management Phoenix Open","","TPC Scottsdale","7266","71","Waste Management Phoenix Open","Peter Uihlein","52","68","72","73","69","282","-2","16091","12","50","62","52","31","34","318.4","7","51","23","30.5","122","62","2","-3","-1","1","11","49","11","5"
"2018","18-Feb-18","41687","Genesis Open","","Riviera C.C.","7322","71","Genesis Open","Peter Uihlein","26","70","73","69","70","282","-2","46996","21","53","37","26","27","52","287.6","53","40","38","27.8","111","35","0","4","-6","1","10","51","10","10"
"2018","4-Mar-18","41701","WGC-Mexico Championship","","Club de Golf Chapultepec","7345","71","WGC-Mexico Championship","Peter Uihlein","37","74","72","70","67","283","-1","73000","57","53","50","37","26","56","305.1","29","41","59","27.8","111","6","4","0","-5","1","15","40","16","10"
"2018","18-Mar-18","41715","Arnold Palmer Invitational","","Bay Hill Club","7419","72","Arnold Palmer Invitational","Peter Uihlein","66","73","72","74","72","291","3","18512","69","66","74","66","34","66","300.9","17","54","1","32","128","76","4","4","-5","0","12","46","13","5"
