"tournament_season","tournament_date","tournament_day_number","tournament_name","tournament_last_played_as","course_name","course_yardage","course_par","tournament_name","player_name","place","score_r1","score_r2","score_r3","score_r4","score_total","score_topar","winnings","place_r1","place_r2","place_r3","place_r4","fairways_hit","fairways_rank","driving_yards","driving_rank","greens_hit","greens_rank","putts_average","putts_total","putts_rank","score_topar_par3","score_topar_par4","score_topar_par5","eagles","birdies","pars","bogeys","points"
"2014","9-Feb-14","40217","AT&T Pebble Beach National Pro-Am","AT&T Pebble Beach Pro-Am","Pebble Beach Golf Links","6816","72","AT&T Pebble Beach","Rafael Cabrera-Bello","64","74","71","71","0","216","1","13200","135","104","64","0","27","0","280.2","0","38","0","30.3","91","0","1","2","-2","0","6","42","5","5"
"2014","9-Mar-14","40245","Puerto Rico Open","","Trump International Puerto Rico","7506","72","Puerto Rico Open","Rafael Cabrera-Bello","24","69","67","68","74","278","-10","29050","11","8","8","24","39","20","292.8","20","50","41","28.5","114","25","-1","-1","-8","0","18","46","8","20"
"2014","10-Aug-14","40399","PGA Championship","","Valhalla Golf Club","7458","71","PGA Championship","Rafael Cabrera-Bello","73","69","71","74","80","294","10","17700","20","26","63","73","33","59","292.3","29","41","66","30","120","60","0","9","1","0","7","51","11","5"
"2015","20-Jul-15","40743","The Open Championship","","Old Course at St. Andrews","7297","72","The Open Championship","Rafael Cabrera-Bello","40","71","73","68","71","283","-5","43480","41","61","45","40","51","13","291.3","54","60","7","31.8","127","61","0","-2","-3","0","19","39","14","10"
"2016","6-Mar-16","40973","WGC - Mexico Championship","WGC-Mexico Championship","Trump National Doral (Blue)","7543","72","WGC-Cadillac Championship","Rafael Cabrera-Bello","11","73","71","67","74","285","-3","145000","37","29","7","11","23","59","293.9","42","46","29","28.3","113","15","-4","5","-4","0","17","44","8","20"
"2016","3-Apr-16","41001","Shell Houston Open","Houston Open","Golf Club of Houston (Tournament Course)","7441","72","Shell Houston Open","Rafael Cabrera-Bello","4","71","72","68","65","276","-12","326400","83","64","19","4","36","24","281.1","59","56","2","29.3","117","42","2","-9","-5","1","13","55","3","40"
"2016","10-Apr-16","41008","Masters","","Augusta National G.C.","7435","72","Masters","Rafael Cabrera-Bello","17","74","73","75","70","292","4","145000","43","33","32","17","39","24","282.1","25","45","21","30.5","122","34","5","7","-8","1","12","44","13","20"
"2016","5-Jun-16","41064","the Memorial Tournament","Memorial Tournament","Muirfield Village G.C.","7392","72","Memorial Tournament","Rafael Cabrera-Bello","52","69","73","71","71","284","-4","19822","29","62","62","52","46","4","287.1","43","47","48","28.5","114","47","3","-1","-6","1","17","40","13","5"
"2016","19-Jun-16","41078","U.S. Open","","Oakmont Country Club","7219","70","U.S. Open","Rafael Cabrera-Bello","32","74","70","69","75","288","8","61197","67","35","21","32","39","5","287.3","34","51","5","32.8","131","63","2","8","-2","0","13","40","18","10"
"2016","17-Jul-16","41106","The Open Championship","","Royal Troon G.C.","7190","71","The Open Championship","Rafael Cabrera-Bello","39","68","71","75","74","288","4","37091","12","11","25","39","38","15","290.6","26","47","16","30.5","122","66","2","5","-3","1","11","44","15","10"
"2016","31-Jul-16","41120","PGA Championship","","Baltusrol G.C.","7428","70","PGA Championship","Rafael Cabrera-Bello","49","72","70","70","67","279","-1","25000","81","70","66","49","32","57","288.6","49","52","42","30","120","25","1","0","-2","0","12","50","9","10"
"2016","21-Aug-16","41141","Wyndham Championship","","Sedgefield Country Club","7127","70","Wyndham Championship","Rafael Cabrera-Bello","5","63","68","65","70","266","-14","189840","1","6","2","5","34","40","311.1","34","57","21","28.8","115","9","3","-10","-7","3","17","44","7","40"
"2017","23-Oct-16","41204","CIMB Classic","","Kuala Lumpur Golf & C.C.","7005","72","CIMB Classic","Rafael Cabrera-Bello","10","69","67","69","70","275","-13","150000","16","8","9","10","41","13","0","0","61","3","30.5","122","61","1","-6","-8","0","17","51","4","30"
"2017","30-Oct-16","41211","WGC-HSBC Champions","","Sheshan International Golf Club","7261","72","WGC-HSBC Champions","Rafael Cabrera-Bello","19","71","74","68","69","282","-6","93000","24","38","26","19","32","39","0","0","55","5","30.5","122","59","0","-3","-3","0","17","44","11","20"
"2017","26-Feb-17","41330","The Honda Classic","Honda Classic","PGA National Champion Course","7140","70","The Honda Classic","Rafael Cabrera-Bello","37","68","70","67","74","279","-1","28160","24","28","20","37","29","60","280.9","59","47","23","29","116","43","-1","1","-1","0","15","44","12","10"
"2017","5-Mar-17","41337","WGC-Mexico Championship","","Club de Golf Chapultepec","7330","71","WGC-Mexico Championship","Rafael Cabrera-Bello","38","72","69","71","72","284","0","64000","41","32","33","38","36","25","290.8","50","41","58","27.8","111","11","0","1","-1","0","13","47","11","10"
"2017","7-May-17","41400","Wells Fargo Championship","","Eagle Point Golf Club","7396","72","Wells Fargo Championship","Rafael Cabrera-Bello","24","69","71","73","72","285","-3","59357","9","5","19","24","39","9","289.9","28","47","20","28.8","115","38","-5","0","2","0","13","50","8","20"
"2017","14-May-17","41407","The Players Championship","","TPC Sawgrass","7189","72","The Players Championship","Rafael Cabrera-Bello","4","69","70","73","70","282","-6","462000","7","5","10","4","30","58","288.6","36","44","47","27.3","109","6","-2","1","-5","1","15","45","10","40"
"2017","11-Jun-17","41435","FedEx St. Jude Classic","","TPC Southwind","7244","70","FedEx St. Jude Classic","Rafael Cabrera-Bello","4","70","66","65","71","272","-8","252000","48","18","1","4","35","13","287.1","47","43","41","26.5","106","11","-1","-2","-5","0","19","43","9","40"
"2017","18-Jun-17","41442","U.S. Open","","Erin Hills","7741","72","U.S. Open","Rafael Cabrera-Bello","42","72","73","71","74","290","2","44975","45","55","43","42","43","37","0","0","46","51","29.5","118","28","1","3","-2","0","15","42","13","10"
